 6 ,25,38,41,43,46,49
 6 ,25,32,38,41,43,49
 6 ,25,38,41,43,45,49
 6 ,15,25,38,41,43,49
 6 ,25,32,41,43,46,49
 6 ,25,41,43,45,46,49
 6 ,15,25,41,43,46,49
 6 ,25,32,41,43,45,49
 6 ,15,25,32,41,43,49
 6 ,15,25,41,43,45,49
 4 ,7 ,9 ,30,39,42,44
 4 ,7 ,9 ,30,39,42,47
 4 ,7 ,9 ,30,34,39,42
 4 ,7 ,9 ,17,30,39,42
 4 ,9 ,30,39,42,44,47
 4 ,9 ,30,34,39,42,44
 4 ,9 ,17,30,39,42,44
 4 ,9 ,30,34,39,42,47
 4 ,9 ,17,30,39,42,47
 4 ,9 ,17,30,34,39,42
 7 ,9 ,27,28,31,42,44
 7 ,9 ,17,27,28,42,45
 7 ,9 ,17,27,28,42,44
 7 ,9 ,17,27,31,42,45
 6 ,7 ,9 ,27,31,42,44
 6 ,7 ,9 ,28,31,42,44
 6 ,7 ,9 ,17,27,31,44
 6 ,7 ,9 ,17,28,31,44
 6 ,7 ,9 ,17,27,42,45
 7 ,9 ,17,27,42,44,45 
