Source,Type,Name,Value
Model,Base Correlation,CDX.NA.IG.9-V4.20121220.0.corr,0.388874079436693
Model,Base Correlation Strike,CDX.NA.IG.9-V4.20121220.0.strike,1.03606407571505
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.1.corr,0.208494256728631
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.1.strike,0.36990473572329
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.2.corr,0.266048257847893
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.2.strike,0.863111050021009
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.3.corr,0.287589502088217
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.3.strike,1.2330157857443
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.4.corr,0.365519597524016
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.4.strike,1.84952367861645
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.5.corr,0.557574069708451
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.5.strike,3.6990473572329
