Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,245738.7392089970000000,0.0000,3.0000,07/10/2010,121.0000000000000000,500.000000000,500.000000000,500.000000000,61.125000000,61.375000000,61.625000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,386472.6053692260000000,3.0000,7.0000,07/10/2010,121.0000000000000000,866.714312250,873.9047889605,881.095265671,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,231287.0933374620000000,7.0000,10.0000,07/10/2010,121.0000000000000000,340.203615977,346.4701408405,352.736665704,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,120761.5953110870000000,10.0000,15.0000,07/10/2010,121.0000000000000000,142.000000000,146.500000000,151.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,57504.6632659948000000,15.0000,30.0000,07/10/2010,121.0000000000000000,53.000000000,55.000000000,57.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,194556.4097597460000000,0.0000,3.0000,07/10/2010,132.0000000000000000,500.000000000,500.000000000,500.000000000,71.500000000,71.750000000,72.000000000
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,465130.6846449760000000,3.0000,7.0000,07/10/2010,132.0000000000000000,989.454777385,994.6069329365,999.759088488,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,372834.1879182180000000,7.0000,10.0000,07/10/2010,132.0000000000000000,538.766721433,543.0741349255,547.381548418,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,212539.9224491530000000,10.0000,15.0000,07/10/2010,132.0000000000000000,238.000000000,241.000000000,244.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,68242.6199825237000000,15.0000,30.0000,07/10/2010,132.0000000000000000,81.000000000,82.500000000,84.000000000,NULL,NULL,NULL
