ReferenceEntityLongName,ProductDescription,TradeTag_ECD Id,Quantifi Trade Id,Today_CDS Spread Quote 1Y,Yesterday_CDS Spread Quote 1Y,Today_CDS Spread Quote 2Y,Yesterday_CDS Spread Quote 2Y,Today_CDS Spread Quote 3Y,Yesterday_CDS Spread Quote 3Y,Today_CDS Spread Quote 4Y,Yesterday_CDS Spread Quote 4Y,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y,Today_CDS Spread Quote 7Y,Yesterday_CDS Spread Quote 7Y,Today_CDS Spread Quote 10Y,Yesterday_CDS Spread Quote 10Y,Today_RecoveryRate,Yesterday_RecoveryRate,Today_JTD,Yesterday_JTD,Today_APCorrelation,Yesterday_APCorrelation,Today_DPCorrelation,Yesterday_DPCorrelation,Today_BaseCorrelationLevelDelta,Yesterday_BaseCorrelationLevelDelta,Today_BaseCorrelationSkewDelta,Yesterday_BaseCorrelationSkewDelta,Today_Theta,Yesterday_Theta,Today_SpreadDelta_1 Years,Yesterday_SpreadDelta_1 Years,Today_SpreadDelta_2 Years,Yesterday_SpreadDelta_2 Years,Today_SpreadDelta_3 Years,Yesterday_SpreadDelta_3 Years,Today_SpreadDelta_4 Years,Yesterday_SpreadDelta_4 Years,Today_SpreadDelta_5 Years,Yesterday_SpreadDelta_5 Years,Today_SpreadDelta_7 Years,Yesterday_SpreadDelta_7 Years,Today_SpreadDelta_10 Years,Yesterday_SpreadDelta_10 Years,Today_SpreadGamma_1 Years,Yesterday_SpreadGamma_1 Years,Today_SpreadGamma_2 Years,Yesterday_SpreadGamma_2 Years,Today_SpreadGamma_3 Years,Yesterday_SpreadGamma_3 Years,Today_SpreadGamma_4 Years,Yesterday_SpreadGamma_4 Years,Today_SpreadGamma_5 Years,Yesterday_SpreadGamma_5 Years,Today_SpreadGamma_7 Years,Yesterday_SpreadGamma_7 Years,Today_SpreadGamma_10 Years,Yesterday_SpreadGamma_10 Years,Today_SpreadHdgeDelta_1 Years,Yesterday_SpreadHdgeDelta_1 Years,Today_SpreadHdgeDelta_2 Years,Yesterday_SpreadHdgeDelta_2 Years,Today_SpreadHdgeDelta_3 Years,Yesterday_SpreadHdgeDelta_3 Years,Today_SpreadHdgeDelta_4 Years,Yesterday_SpreadHdgeDelta_4 Years,Today_SpreadHdgeDelta_5 Years,Yesterday_SpreadHdgeDelta_5 Years,Today_SpreadHdgeDelta_7 Years,Yesterday_SpreadHdgeDelta_7 Years,Today_SpreadHdgeDelta_10 Years,Yesterday_SpreadHdgeDelta_10 Years,Today_SpreadHdgeNotnl_1 Years,Yesterday_SpreadHdgeNotnl_1 Years,Today_SpreadHdgeNotnl_2 Years,Yesterday_SpreadHdgeNotnl_2 Years,Today_SpreadHdgeNotnl_3 Years,Yesterday_SpreadHdgeNotnl_3 Years,Today_SpreadHdgeNotnl_4 Years,Yesterday_SpreadHdgeNotnl_4 Years,Today_SpreadHdgeNotnl_5 Years,Yesterday_SpreadHdgeNotnl_5 Years,Today_SpreadHdgeNotnl_7 Years,Yesterday_SpreadHdgeNotnl_7 Years,Today_SpreadHdgeNotnl_10 Years,Yesterday_SpreadHdgeNotnl_10 Years
,Athilon 4,2591,CDO0000646,,,,,,,,,,,,,,,,,,,0.531396275164258,0.533935126087911,0.713773567872392,0.71671967619273,337355.533031911,339961.329001729,-459365.582433514,-468065.023313395,-28012.9583350802,-28406.4321372937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 5,2643,CDO0000647,,,,,,,,,,,,,,,,,,,0.533487601208198,0.536085971436242,0.695502810408556,0.698453739043298,165046.089931135,167096.347589817,-220448.385530763,-225475.818716808,-12247.772891216,-12412.7308731386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 6,3254,CDO0000649,,,,,,,,,,,,,,,,,,,0.469904753990273,0.47271138933964,0.672697666847275,0.67610832042527,428953.969551751,431158.510528032,-592135.03610846,-600567.556628109,-31564.7174950931,-31689.5954397079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 7,3930,CDO0000651,,,,,,,,,,,,,,,,,,,0.403572565704073,0.408013083627561,0.546691297293427,0.550739341413504,894029.853904989,893242.527896575,-694190.599652469,-706430.453018263,-70620.3262580484,-72049.8103283569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 7 offset,8117,CDO0000652,,,,,,,,,,,,,,,,,,,0.403572565704073,0.408013083627561,0.546691297293427,0.550739341413504,-894555.823625937,-893773.730590078,694519.975712655,706766.717839478,70698.5666095242,72132.135026928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3450,3450,CDO0000653,,,,,,,,,,,,,,,,,,,0.309820165156284,0.309656104628047,0.331706675394556,0.33091840269567,-43285.6726408153,-43950.564742279,-122658.14544038,-121891.483499523,-2193.33005729225,-2138.49584530666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3449,3449,CDO0000654,,,,,,,,,,,,,,,,,,,0.416112132560505,0.416085607130271,0.45656574976571,0.456531732269426,995.307512188006,986.426425715551,62762.578106414,63118.3316307774,2423.44838614017,2395.24026851542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3453,3453,CDO0000655,,,,,,,,,,,,,,,,,,,0.309820165156284,0.309656104628047,0.331706675394556,0.33091840269567,43298.7433969784,43964.0783680175,122775.028845789,122008.190092795,2198.51441074908,2143.77716024872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD8112,8112,CDO0000656,,,,,,,,,,,,,,,,,,,0.416112132560505,0.416085607130271,0.45656574976571,0.456531732269426,-996.634418635152,-987.755384972565,-62752.5404229406,-63108.1743779217,-2422.81289043301,-2394.58688614308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNT LSS 1 - CDX7 30-60,3815,CDO0000657,,,,,,,,,,,,,,,,,,,0.646807607429032,0.644115391425263,0.933713754213733,0.932655810397073,4089420.74328239,4067868.32811774,797.039795280493,-2981.89549045987,-84455.8312804252,-83467.1923148036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
