Tenor, CurveName, CurveDate, MarketSet, Type, Label, Maturity Date, Calculated Yield, SortOrder
1D,EUR_EUR        ,23-Nov-09,CLOSE,mm,mm_0_1,25-Nov-09,0.0084210000000000,0
1W,EUR_EUR        ,23-Nov-09,CLOSE,mm,mm_2_20091202,02-Dec-09,0.0084213000000000,1
STUB,EUR_EUR        ,23-Nov-09,CLOSE,mm,mm_2_20091216,16-Dec-09,0.0084219000000000,2
FUT1,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_1_103,17-Mar-10,0.0095583000000000,3
FUT2,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_2_103,17-Jun-10,0.0106900000000000,4
FUT3,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_3_103,16-Sep-10,0.0135552000000000,5
FUT4,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_4_103,15-Dec-10,0.0165892000000000,6
FUT5,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_5_103,16-Mar-11,0.0191989000000000,7
FUT6,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_6_103,16-Jun-11,0.0217752000000000,8
FUT7,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_7_103,21-Sep-11,0.0241662000000000,9
FUT8,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_8_103,21-Dec-11,0.0260800000000000,10
FUT9,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_9_103,21-Mar-12,0.0279178000000000,11
FUT10,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_10_103,21-Jun-12,0.0293922000000000,12
FUT11,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_11_103,20-Sep-12,0.0308738000000000,13
FUT12,EUR_EUR        ,23-Nov-09,CLOSE,fut,fut_12_103,19-Dec-12,0.0321008000000000,14
4Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1004,25-Nov-13,0.0249600000000000,15
5Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1005,25-Nov-14,0.0275300000000000,16
6Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1006,25-Nov-15,0.0296500000000000,17
7Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1007,25-Nov-16,0.0313800000000000,18
8Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1008,27-Nov-17,0.0327837000000000,19
9Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1009,26-Nov-18,0.0339573000000000,20
10Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1010,25-Nov-19,0.0349900000000000,21
11Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1011,25-Nov-20,0.0359700000000000,22
12Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1012,25-Nov-21,0.0368500000000000,23
15Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1015,25-Nov-24,0.0388600000000000,24
20Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1020,26-Nov-29,0.0401096000000000,25
25Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1025,27-Nov-34,0.0398004000000000,26
30Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1030,25-Nov-39,0.0390200000000000,27
40Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1040,25-Nov-49,0.0374200000000000,28
50Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1050,25-Nov-59,0.0366700000000000,29
60Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1060,25-Nov-69,0.0360500000000000,30
70Y,EUR_EUR        ,23-Nov-09,CLOSE,swap,swap_2_1070,27-Nov-79,0.0355492000000000,31
1D,GBP            ,23-Nov-09,CLOSE,mm,mm_0_1,24-Nov-09,0.0083060000000000,0
1W,GBP            ,23-Nov-09,CLOSE,mm,mm_0_20091130,30-Nov-09,0.0083063000000000,1
STUB,GBP            ,23-Nov-09,CLOSE,mm,mm_0_20091216,16-Dec-09,0.0083069000000000,2
FUT1,GBP            ,23-Nov-09,CLOSE,fut,fut_1_103,17-Mar-10,0.0078890000000000,3
FUT2,GBP            ,23-Nov-09,CLOSE,fut,fut_2_103,17-Jun-10,0.0086902000000000,4
FUT3,GBP            ,23-Nov-09,CLOSE,fut,fut_3_103,16-Sep-10,0.0110749000000000,5
FUT4,GBP            ,23-Nov-09,CLOSE,fut,fut_4_103,15-Dec-10,0.0152169000000000,6
FUT5,GBP            ,23-Nov-09,CLOSE,fut,fut_5_103,16-Mar-11,0.0198368000000000,7
FUT6,GBP            ,23-Nov-09,CLOSE,fut,fut_6_103,16-Jun-11,0.0241736000000000,8
FUT7,GBP            ,23-Nov-09,CLOSE,fut,fut_7_103,21-Sep-11,0.0282336000000000,9
FUT8,GBP            ,23-Nov-09,CLOSE,fut,fut_8_103,21-Dec-11,0.0318385000000000,10
FUT9,GBP            ,23-Nov-09,CLOSE,fut,fut_9_103,21-Mar-12,0.0351708000000000,11
FUT10,GBP            ,23-Nov-09,CLOSE,fut,fut_10_103,21-Jun-12,0.0374886000000000,12
FUT11,GBP            ,23-Nov-09,CLOSE,fut,fut_11_103,20-Sep-12,0.0394062000000000,13
FUT12,GBP            ,23-Nov-09,CLOSE,fut,fut_12_103,19-Dec-12,0.0405951000000000,14
4Y,GBP            ,23-Nov-09,CLOSE,swap,swap_0_1004,25-Nov-13,0.0284320000000000,15
5Y,GBP            ,23-Nov-09,CLOSE,swap,swap_0_1005,24-Nov-14,0.0313186000000000,16
6Y,GBP            ,23-Nov-09,CLOSE,swap,swap_0_1006,23-Nov-15,0.0334000000000000,17
7Y,GBP            ,23-Nov-09,CLOSE,swap,swap_0_1007,23-Nov-16,0.0350250000000000,18
