Tenor, CurveName, CurveDate, MarketSet, Type, Label, Maturity Date, Calculated Yield, SortOrder
1D,GBP            ,01-Jul-10,CLOSE,mm,mm_0_1,02-Jul-10,0.0092242000000000,0
1W,GBP            ,01-Jul-10,CLOSE,mm,mm_0_20100708,08-Jul-10,0.0092245000000000,1
1M,GBP            ,01-Jul-10,CLOSE,mm,mm_0_101,02-Aug-10,0.0092257000000000,2
2M,GBP            ,01-Jul-10,CLOSE,mm,mm_0_102,01-Sep-10,0.0092315000000000,3
STUB,GBP            ,01-Jul-10,CLOSE,mm,mm_0_20100915,15-Sep-10,0.0092121000000000,4
FUT1,GBP            ,01-Jul-10,CLOSE,fut,fut_1_103,15-Dec-10,0.0106260000000000,5
FUT2,GBP            ,01-Jul-10,CLOSE,fut,fut_2_103,16-Mar-11,0.0118039000000000,6
FUT3,GBP            ,01-Jul-10,CLOSE,fut,fut_3_103,16-Jun-11,0.0126284000000000,7
FUT4,GBP            ,01-Jul-10,CLOSE,fut,fut_4_103,21-Sep-11,0.0141988000000000,8
FUT5,GBP            ,01-Jul-10,CLOSE,fut,fut_5_103,21-Dec-11,0.0159459000000000,9
FUT6,GBP            ,01-Jul-10,CLOSE,fut,fut_6_103,21-Mar-12,0.0182228000000000,10
FUT7,GBP            ,01-Jul-10,CLOSE,fut,fut_7_103,21-Jun-12,0.0201096000000000,11
FUT8,GBP            ,01-Jul-10,CLOSE,fut,fut_8_103,20-Sep-12,0.0223748000000000,12
FUT9,GBP            ,01-Jul-10,CLOSE,fut,fut_9_103,19-Dec-12,0.0245350000000000,13
FUT10,GBP            ,01-Jul-10,CLOSE,fut,fut_10_103,20-Mar-13,0.0267578000000000,14
FUT11,GBP            ,01-Jul-10,CLOSE,fut,fut_11_103,20-Jun-13,0.0284893000000000,15
FUT12,GBP            ,01-Jul-10,CLOSE,fut,fut_12_103,19-Sep-13,0.0302203000000000,16
4Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1004,01-Jul-14,0.0216000000000000,17
5Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1005,01-Jul-15,0.0245500000000000,18
6Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1006,01-Jul-16,0.0271000000000000,19
7Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1007,03-Jul-17,0.0291901000000000,20
8Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1008,02-Jul-18,0.0309208000000000,21
9Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1009,01-Jul-19,0.0324000000000000,22
10Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1010,01-Jul-20,0.0336500000000000,23
12Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1012,01-Jul-22,0.0355500000000000,24
15Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1015,01-Jul-25,0.0374500000000000,25
20Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1020,01-Jul-30,0.0383000000000000,26
25Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1025,02-Jul-35,0.0383500000000000,27
30Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1030,02-Jul-40,0.0382251000000000,28
40Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1040,01-Jul-50,0.0380750000000000,29
50Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1050,01-Jul-60,0.0381000000000000,30
60Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1060,01-Jul-70,0.0381500000000000,31
70Y,GBP            ,01-Jul-10,CLOSE,swap,swap_0_1070,01-Jul-80,0.0382039000000000,32
1D,EUR_EUR        ,01-Jul-10,CLOSE,mm,mm_0_1,05-Jul-10,0.0082478000000000,0
1W,EUR_EUR        ,01-Jul-10,CLOSE,mm,mm_2_20100712,12-Jul-10,0.0082481000000000,1
