Date,Deal Type,TradeId,Trade Name,Currency code,MTM,MTM Difference,Shifted MTM
8/2/2010 0:00,CDS,CDS0001022,,USD,-7920990468,-710294436.9,-8631284905
8/2/2010 0:00,CDS,CDS0001023,,USD,7920990468,710294436.9,8631284905
8/2/2010 0:00,CDO,CDO0000646,Athilon 4,USD,4012762.927,-1867389.112,2145373.815
8/2/2010 0:00,CDO,CDO0000647,Athilon 5,USD,1518513.47,-840626.1906,677887.2794
8/2/2010 0:00,CDO,CDO0000649,Athilon 6,USD,11108946.44,-3453922.952,7655023.485
8/2/2010 0:00,CDO,CDO0000651,Athilon 7,USD,30142276.45,-8088711.566,22053564.88
8/2/2010 0:00,CDO,CDO0000652,Athilon 7 offset,USD,-29036285.07,8091911.394,-20944373.67
8/2/2010 0:00,CDO,CDO0000653,CDX6 7-10 7y ECD3450,USD,4314264.336,-632590.646,3681673.69
8/2/2010 0:00,CDO,CDO0000654,CDX6 7-10 7y ECD3449,USD,-1488696.173,297682.0112,-1191014.162
8/2/2010 0:00,CDO,CDO0000655,CDX6 7-10 7y ECD3453,USD,-4299027.871,633156.3768,-3665871.494
8/2/2010 0:00,CDO,CDO0000656,CDX6 7-10 7y ECD8112,USD,1492251.39,-297642.2421,1194609.148
8/2/2010 0:00,CDO,CDO0000657,GNT LSS 1 - CDX7 30-60,CAD,88012800.22,-23188793.45,64824006.78
8/2/2010 0:00,CDO,CDO0000658,GNT LSS 1 - GS,CAD,-82225068.55,23197869.38,-59027199.17
8/2/2010 0:00,CDO,CDO0000659,Nereus 2 BNP,USD,-2392396.081,2014058.455,-378337.6259
8/2/2010 0:00,CDO,CDO0000660,Nereus 2 Mav1,USD,1856198.826,-1239875.897,616322.929
8/2/2010 0:00,CDO,CDO0000661,Nereus Dresdner,USD,-124377.147,360786.8373,236409.6903
8/2/2010 0:00,CDO,CDO0000662,Nereus Mav1,USD,1078581.911,-1131406.62,-52824.70962
8/2/2010 0:00,CDO,CDO0000671,CDX7 0-3 10y Zero ECD4272,USD,1615.640231,-18178.76594,-16563.12571
8/2/2010 0:00,CDO,CDO0000672,CDX7 0-3 10y Zero ECD4273,USD,2154.186977,-24238.35461,-22084.16763
8/2/2010 0:00,CDO,CDO0000673,CDX7 0-3 10y Zero ECD4280,USD,869.9601168,-9788.566191,-8918.606074
8/2/2010 0:00,CDO,CDO0000674,CDX7 0-3 10y Zero ECD8268,USD,-4639.787324,52205.68674,47565.89942
8/2/2010 0:00,CDX,CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,USD,-47957.39513,-528.8889987,-48486.28413
8/2/2010 0:00,CDX,CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,USD,47957.39513,528.8889987,48486.28413
