Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Today_Size,Today_CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDO0000646,2591,Athilon 4,-800000000.064,-800000000.064,*,2271702.29511204,2457134.20466035,128707.59028992,-24530.963451107,-632730069.873478,132300.554872457,-24557.1210699984,-649523063.309893,55122183.1245598,56743564.7733498,128708.684379869,132301.335339879,214333.14,216224.050000001
CDO0000649,3254,Athilon 6,-800000000,-800000000,*,8825095.58281061,9094818.42810361,241025.02530351,-27244.4990693284,-959189126.237286,243958.913153701,-27265.2031481424,-969899873.386641,122981564.972091,125354542.784088,241026.739765191,243961.180437636,123789.943688478,125340.017899691
CDO0000651,3930,Athilon 7,-799999999.998,-799999999.998,*,17439501.8142962,17880835.9484329,287516.995705178,-28836.3227448637,-1050765425.04614,289565.477961905,-28848.7684255047,-1057529504.03877,218450791.716235,223044793.220621,287518.970037709,289567.450886241,147890.12,149715.02
CDO0000653,3450,CDX6 7-10 7y ECD3450,-10000000.012,-10000000.012,*,2190361.91543658,2223753.11147906,18423.2307220774,-59261.1238106341,-37696909.4856072,18396.9551239872,-59257.4694109486,-37647570.1423586,29908893.9443301,29874456.0277822,18423.4006259849,18397.101612998,176121.8,177822.7
CDO0000654,3449,CDX6 7-10 7y ECD3449,10000000.012,10000000.012,*,-429264.840903524,-440175.711326379,-10251.2224608062,-27603.8996066758,44843156.0640902,-10255.1365806653,-27621.6539989176,44822850.6479643,-13735003.7561024,-13956247.6911381,-10251.524805809,-10255.4140420327,123285.26,124475.89
CDO0000655,3453,CDX6 7-10 7y ECD3453,10000000.012,10000000.012,*,-2174654.37282301,-2208073.61237015,-18440.7189130824,-59261.1238106341,37732596.9935289,-18414.5247317746,-59257.4694109486,37683424.861537,-29935159.732731,-29900924.62498,-18440.8890112422,-18414.6714077578,176121.8,177822.7
CDO0000656,8112,CDX6 7-10 7y ECD8112,-10000000.012,-10000000.012,*,432360.72305287,443269.682223938,10249.8958576782,-27603.8996066758,-44837356.5923777,10253.796556702,-27621.6539989176,-44816997.7186146,13733456.3226515,13954646.3226707,10250.1981779378,10254.0739943446,123285.26,124475.89
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-4941750000,-4941750000,*,122953782.918081,124096490.343959,2044799.1433488,-64131.5225771481,-3791190610.63971,2039547.94484577,-64121.5688380841,-3781568096.60879,428247962.348403,433266814.064122,2044788.78528419,2039537.35637132,162150.6,163879.7
CDO0000658,3816,GNT LSS 1 - GS,4941750000,4941750000,*,-117136086.840552,-118275859.867631,-2045705.1983882,-64131.5225771481,3792869405.54961,-2040452.40341069,-64121.5688380841,3783243945.64993,-428406452.196008,-433427637.669729,-2045694.81447988,-2040441.79062785,162150.6,163879.7
CDO0000659,2743,Nereus 2 BNP,2200000000,2200000000,*,296854.437838327,118266.353243419,-134859.464466587,-31566.1673446326,662852899.982107,-137457.061781811,-31599.9079783289,674821655.869915,-38742719.9943208,-40546311.3582264,-134859.321354969,-137457.188665,231919.504230686,233504.354785431
CDO0000660,8271,Nereus 2 Mav1,-1543836733.32,-1543836733.32,*,383676.349794269,511851.381070198,94161.1561314118,-31564.0779518657,-462823687.70229,96094.1116638352,-31597.9189826859,-471765131.350026,27230656.0312802,28508093.5940691,94161.0488764864,96094.1963820492,232859.604230686,234449.354785431
CDO0000661,2602,Nereus Dresdner,394033675.68,394033675.68,*,303475.289132692,271468.974261917,-24158.806969021,-31566.1673446326,118743871.938924,-24624.1787415365,-31599.9079783289,120888141.840427,-6940324.69054724,-7263432.28747448,-24158.7812858773,-24624.2014371273,231919.504230686,233504.354785431
CDO0000662,8269,Nereus Mav1,-1441344840.31,-1441344840.31,*,-171021.933860384,-51356.776534201,87920.6691453551,-31564.0779518657,-432150257.152041,89725.6003833877,-31597.9189826859,-440499510.513267,25425791.6561091,26618592.3141224,87920.5688910616,89725.6794037225,232859.604230686,234449.354785431
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-557142.8622,-351386.2937055,*,-54618.2835502974,-54157.0240935187,323.805609330709,-64131.5225771481,-625236.006099347,320.703772500633,-64121.5688380841,-619563.334701675,1189223.99924503,1175057.72027572,323.807705803345,320.705362391801,162150.6,163879.7
CDO0000672,4273,CDX7 0-3 10y Zero ECD4273,-742857.15,-468515.058526278,*,-72824.3781062763,-72209.3654969069,431.740812673421,-64131.5225771481,-833648.00858135,427.605030231093,-64121.5688380841,-826084.446713715,1585631.99984718,1566743.62787793,431.743607970272,427.607150085985,162150.6,163879.7
CDO0000673,4280,CDX7 0-3 10y Zero ECD4280,-300000,-189208.002585535,*,-29409.8447216708,-29161.4742471982,174.356864980065,-64131.5225771481,-336665.538689915,172.686645163647,-64121.5688380841,-333611.023349663,640351.378396443,632723.382097593,174.357993849937,172.687501258883,162150.6,163879.7
CDO0000674,8268,CDX7 0-3 10y Zero ECD8268,1600000.012,1009109.35469118,*,156852.506358638,155527.863818183,-929.903286867957,-64131.5225771481,1795549.55314617,-920.995447780248,-64121.5688380841,1779258.80454265,-3415207.37706175,-3374524.72982943,-929.909307507315,-921.000013621544,162150.6,163879.7
