Curve Name,Delta Name,CDO0000646,CDO0000649,CDO0000651,CDO0000657,CDO0000658,CDO0000659,CDO0000660,CDO0000661,CDO0000662,Sum Total
JPYLIBOR,1 Days,0.000344846557736976,0.00343184801749885,0.00914408301466653,,,-0.000254936685450957,0.000181424171782716,-4.56688084659836E-05,0.000169398504087257,0.0129709947718554
JPYLIBOR,2 Days,0,0,0,,,0,0,0,0,0
JPYLIBOR,1 Weeks,0,0,0,,,0,0,0,0,0
JPYLIBOR,1 Months,0,0,0,,,0,0,0,0,0
JPYLIBOR,2 Months,0,0,0,,,0,0,0,0,0
JPYLIBOR,3 Months,-0.0506948508741145,-0.464405729144346,-0.158333085709787,,,-0.0170237956353958,0.0120471705995887,-0.00304924833077656,0.0112477897748397,-0.670211749319992
JPYLIBOR,6 Months,-0.143404527637007,-1.30397258035373,-0.213778825126985,,,-0.039826557986089,0.0281971980310097,-0.00713368501970294,0.0263263829110996,-1.6535925951814
JPYLIBOR,1 Years,-0.0432140859664297,-1.26160421496024,-0.0284105801255663,,,-0.0154150779053452,0.0108346720248481,-0.002760658627984,0.0101146877579916,-1.33045525780273
JPYLIBOR,18 Months,0.55153486759856,2.01136931718793,0.219048923463013,,,0.202963234551135,-0.143868367794372,0.0363555393641539,-0.134325476092095,2.74307803827832
JPYLIBOR,2 Years,0.071248680620799,3.84284126048442,-0.783762830540441,,,0.228684479634467,-0.162088347731449,0.0409627525086109,-0.151336737205224,3.08654925777118
JPYLIBOR,3 Years,-0.0164340126515941,3.4057320895954,-5.75953004007185,,,0.0101878151326673,-0.00722092403553973,0.00182487662199715,-0.0067419479878393,-2.37218214339675
JPYLIBOR,4 Years,,-0.0933541028643958,-0.359034465508569,,,,,,,-0.452388568372965
JPYLIBOR,5 Years,,,,,,,,,,0
JPYLIBOR,6 Years,,,,,,,,,,0
JPYLIBOR,7 Years,,,,,,,,,,0
JPYLIBOR,8 Years,,,,,,,,,,0
JPYLIBOR,9 Years,,,,,,,,,,0
JPYLIBOR,10 Years,,,,,,,,,,0
JPYLIBOR,12 Years,,,,,,,,,,0
JPYLIBOR,15 Years,,,,,,,,,,0
JPYLIBOR,20 Years,,,,,,,,,,0
JPYLIBOR,25 Years,,,,,,,,,,0
JPYLIBOR,30 Years,,,,,,,,,,0
JPYLIBOR,40 Years,,,,,,,,,,0
JPYLIBOR,50 Years,,,,,,,,,,0
JPYLIBOR,52 Years,,,,,,,,,,0
USDLIBOR,16-Mar-2011,-5.67049758037572,-13.7842981901485,-25.5962230933889,-116.806102029951,116.845414572577,-0.841479451628402,-0.226284494627677,-0.771166200713306,-0.211308945051561,-47.0619454133079
USDLIBOR,JUN11,-86.3924378321819,-199.627135052287,-364.408824134988,-1603.80241980529,1604.33450810912,-3.66136110387743,-0.844903494170284,-9.09904334178204,-0.789343925325535,-664.290960580791
USDLIBOR,SEP11,-39.6283856304633,-84.3723526864778,-147.718920005349,-571.811775325217,571.987870699377,3.99731539059758,3.90378025771663,-2.64087228963975,3.64467803497992,-262.638661554476
USDLIBOR,DEC11,-31.2128697335952,-62.828121491475,-105.798358359342,-370.645289944415,370.747340717451,6.03579626863393,6.1723512781111,-1.32904596821701,5.76282612929126,-183.095371103557
USDLIBOR,MAR12,-25.3958138832184,-47.9495790379588,-78.6338843054035,-239.896378031784,239.954636364873,7.2290542335395,6.04420789955866,-0.425080352702214,5.6433907113789,-133.429446401717
USDLIBOR,JUN12,-17.6693853194176,-30.9810648512212,-50.2180402951689,-145.393158876072,145.42858741956,6.37074598485015,3.57574894739054,0.117487356691138,3.33862590079526,-85.4304537325919
USDLIBOR,2 Years,-197.747058390991,-834.849025966832,-1357.35407018462,-1205.36194326302,1205.45019278891,84.8084319217833,-7.91232433987965,6.75820851834917,-7.38757029865589,-2313.59515921496
USDLIBOR,3 Years,-1.29464579632793,-304.525982757332,-1109.83398744443,560.15877186473,-561.081710265485,-2.11097336787134,-1.34670533040585,-0.748539717197339,-1.25739579797597,-1422.04116861229
USDLIBOR,4 Years,,-2.64419661543798,-5.96776642194854,6208.07942052919,-6210.15516175612,,,,,-10.6877042643173
USDLIBOR,5 Years,,,,8698.61314590873,-8700.12978276132,,,,,-1.51663685258609
USDLIBOR,6 Years,,,,2550.88454374031,-2551.0815413588,,,,,-0.19699761848824
USDLIBOR,7 Years,,,,,,,,,,0
USDLIBOR,8 Years,,,,,,,,,,0
USDLIBOR,9 Years,,,,,,,,,,0
USDLIBOR,10 Years,,,,,,,,,,0
USDLIBOR,15 Years,,,,,,,,,,0
USDLIBOR,20 Years,,,,,,,,,,0
EURLIBOR,1 Days,0.029599861593491,0.0394097922253422,0.0507698539876041,,,-0.0394149792555254,0.0282891627597208,-0.00706120993042581,0.0264152265592528,0.12800770793946
EURLIBOR,1 Weeks,0,0,6.69388100503202E-08,,,-1.00044417195022E-07,-5.12500635215292E-08,-1.79185770175536E-08,-4.78476855926738E-08,-1.50121933276459E-07
EURLIBOR,16-Mar-2011,0,0,0,,,0,0,0,0,0
EURLIBOR,1 Months,-0.91676596683159,-1.3518717547413,-1.82781895854985,,,1.2207499246415,-0.876178240262315,0.218697862104229,-0.818138273506967,-4.35132540714629
EURLIBOR,JUN11,-1.82603249428268,0.0537616258952767,0.00140141637529827,,,3.64691863578628,-2.66742579884467,0.65339639967455,-2.49084369166879,-2.62882390706473
EURLIBOR,SEP11,2.94489433095717,9.9555698921904,13.3469544176144,,,-1.46020251004302,0.946798591396662,-0.261495780529725,0.883849467130078,26.356368408716
EURLIBOR,DEC11,5.18789790554031,15.4908378433902,20.8173485821524,,,-3.49455915402359,2.36745025427669,-0.625912784646694,2.21030439111295,41.9533670378022
