ReferenceEntityLongName,ProductDescription,TradeTag_ECD Id,Quantifi Trade Id,Today_CDS Spread Quote 1Y,Yesterday_CDS Spread Quote 1Y,Today_CDS Spread Quote 2Y,Yesterday_CDS Spread Quote 2Y,Today_CDS Spread Quote 3Y,Yesterday_CDS Spread Quote 3Y,Today_CDS Spread Quote 4Y,Yesterday_CDS Spread Quote 4Y,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y,Today_CDS Spread Quote 7Y,Yesterday_CDS Spread Quote 7Y,Today_CDS Spread Quote 10Y,Yesterday_CDS Spread Quote 10Y,Today_RecoveryRate,Yesterday_RecoveryRate,Today_JTD,Yesterday_JTD,Today_APCorrelation,Yesterday_APCorrelation,Today_DPCorrelation,Yesterday_DPCorrelation,Today_BaseCorrelationLevelDelta,Yesterday_BaseCorrelationLevelDelta,Today_BaseCorrelationSkewDelta,Yesterday_BaseCorrelationSkewDelta,Today_Theta,Yesterday_Theta,Today_SpreadDelta_1 Years,Yesterday_SpreadDelta_1 Years,Today_SpreadDelta_2 Years,Yesterday_SpreadDelta_2 Years,Today_SpreadDelta_3 Years,Yesterday_SpreadDelta_3 Years,Today_SpreadDelta_4 Years,Yesterday_SpreadDelta_4 Years,Today_SpreadDelta_5 Years,Yesterday_SpreadDelta_5 Years,Today_SpreadDelta_7 Years,Yesterday_SpreadDelta_7 Years,Today_SpreadDelta_10 Years,Yesterday_SpreadDelta_10 Years,Today_SpreadGamma_1 Years,Yesterday_SpreadGamma_1 Years,Today_SpreadGamma_2 Years,Yesterday_SpreadGamma_2 Years,Today_SpreadGamma_3 Years,Yesterday_SpreadGamma_3 Years,Today_SpreadGamma_4 Years,Yesterday_SpreadGamma_4 Years,Today_SpreadGamma_5 Years,Yesterday_SpreadGamma_5 Years,Today_SpreadGamma_7 Years,Yesterday_SpreadGamma_7 Years,Today_SpreadGamma_10 Years,Yesterday_SpreadGamma_10 Years,Today_SpreadHdgeDelta_1 Years,Yesterday_SpreadHdgeDelta_1 Years,Today_SpreadHdgeDelta_2 Years,Yesterday_SpreadHdgeDelta_2 Years,Today_SpreadHdgeDelta_3 Years,Yesterday_SpreadHdgeDelta_3 Years,Today_SpreadHdgeDelta_4 Years,Yesterday_SpreadHdgeDelta_4 Years,Today_SpreadHdgeDelta_5 Years,Yesterday_SpreadHdgeDelta_5 Years,Today_SpreadHdgeDelta_7 Years,Yesterday_SpreadHdgeDelta_7 Years,Today_SpreadHdgeDelta_10 Years,Yesterday_SpreadHdgeDelta_10 Years,Today_SpreadHdgeNotnl_1 Years,Yesterday_SpreadHdgeNotnl_1 Years,Today_SpreadHdgeNotnl_2 Years,Yesterday_SpreadHdgeNotnl_2 Years,Today_SpreadHdgeNotnl_3 Years,Yesterday_SpreadHdgeNotnl_3 Years,Today_SpreadHdgeNotnl_4 Years,Yesterday_SpreadHdgeNotnl_4 Years,Today_SpreadHdgeNotnl_5 Years,Yesterday_SpreadHdgeNotnl_5 Years,Today_SpreadHdgeNotnl_7 Years,Yesterday_SpreadHdgeNotnl_7 Years,Today_SpreadHdgeNotnl_10 Years,Yesterday_SpreadHdgeNotnl_10 Years
,Athilon 4,2591,CDO0000646,,,,,,,,,,,,,,,,,,,0.533953398037346,0.531074939729084,0.716081641793434,0.711530042625471,335391.59000666,337144.666331019,-457386.961248577,-450394.822145919,-28384.2141133966,-27671.2632987211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 5,2643,CDO0000647,,,,,,,,,,,,,,,,,,,0.532169285625402,0.527387113641299,0.691567491467721,0.684130742975631,166933.169172926,168528.65312539,-217137.292237303,-210468.052965303,-12229.2781746993,-12015.7458688724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 6,3254,CDO0000649,,,,,,,,,,,,,,,,,,,0.474523191798601,0.471619622078156,0.679067552519142,0.674750288145844,413827.200367536,418134.577147469,-594071.378906431,-580532.483925382,-30560.4973097667,-30074.1239699218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 7,3930,CDO0000651,,,,,,,,,,,,,,,,,,,0.404364531420466,0.400639306804424,0.549052856221516,0.542044939632357,877460.071709984,888453.394127891,-680069.917897956,-662046.921591513,-70257.0560791753,-69968.8144378252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 7 offset,8117,CDO0000652,,,,,,,,,,,,,,,,,,,0.404364531420466,0.400639306804424,0.549052856221516,0.542044939632357,-877966.188821148,-888965.153796065,680388.515379185,662357.736833184,70334.0888934098,70044.4778437242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3450,3450,CDO0000653,,,,,,,,,,,,,,,,,,,0.310298473020523,0.31045803041209,0.333989976055548,0.334747577932675,-42388.015751876,-42025.3866096034,-121754.079965015,-121281.450858084,-2222.07106879912,-2161.91142375674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3449,3449,CDO0000654,,,,,,,,,,,,,,,,,,,0.421250801721573,0.421235646494097,0.46350294434684,0.463481142922747,610.390130808268,615.480303170213,60638.2019595425,60923.1369390149,2305.01797280228,2268.23567588464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3453,3453,CDO0000655,,,,,,,,,,,,,,,,,,,0.310298473020523,0.31045803041209,0.333989976055548,0.334747577932675,42400.1501611163,42037.4109818552,121868.028994967,121395.366563888,2227.18327838555,2166.99435548205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD8112,8112,CDO0000656,,,,,,,,,,,,,,,,,,,0.421250801721573,0.421235646494097,0.46350294434684,0.463481142922747,-611.630825538378,-616.737185508264,-60628.7011458614,-60913.5024250764,-2304.41070902487,-2267.63235394843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNT LSS 1 - CDX7 30-60,3815,CDO0000657,,,,,,,,,,,,,,,,,,,0.654502904114193,0.658038733108502,0.936741160111061,0.938133928881111,4111673.80161546,4089263.80041237,-3512.65198804972,-731.243477986053,-87788.0836429596,-84145.6235411018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
