Curve Name,Delta Name,Delta Hedge
USDLIBOR,DEC10,-126.225720574829
USDLIBOR,15-Dec-2010,-62.4159547929251
USDLIBOR,MAR11,-110.706923890556
USDLIBOR,JUN11,-89.4276927558719
USDLIBOR,SEP11,-69.4290469936803
USDLIBOR,DEC11,-44.835933305485
USDLIBOR,MAR12,-26.9552996385644
USDLIBOR,2 Years,-812.641366985305
USDLIBOR,3 Years,-910.759270453279
USDLIBOR,4 Years,-4.76175299118133
USDLIBOR,5 Years,-1.12704944310301
USDLIBOR,6 Years,-0.370598941082584
USDLIBOR,7 Years,1.31815269810431E-09
CADLIBOR,DEC10,-62.6055146772458
CADLIBOR,13-Dec-2010,-24.5242092656931
CADLIBOR,MAR11,-68.7668113407511
CADLIBOR,JUN11,-70.2544236211718
CADLIBOR,SEP11,-70.9608856704593
CADLIBOR,DEC11,-55.1967833716419
CADLIBOR,MAR12,-34.5771308450497
CADLIBOR,2 Years,-783.169900962325
CADLIBOR,3 Years,-455.903525052409
CADLIBOR,4 Years,-369.842056946487
CADLIBOR,5 Years,-460.183227934518
CADLIBOR,6 Years,-456.912081440034
CADLIBOR,7 Years,-38.9033313288855
