Date,Deal Type,TradeId,Trade Name,Currency code,MTM,MTM Difference,Shifted MTM
11/2/2010 12:00:00 AM,CDS,CDS0001022,MBIA CDS,USD,-3412929.13373603,-161885.177163977,-3574814.31090001
11/2/2010 12:00:00 AM,CDS,CDS0001023,MBIA CDS,USD,3412929.13373603,161885.177163977,3574814.31090001
11/2/2010 12:00:00 AM,CDO,CDO0000646,Athilon 4,USD,4465545.05194975,2755.09789887796,4468300.14984863
11/2/2010 12:00:00 AM,CDO,CDO0000649,Athilon 6,USD,9814671.2174141,186785.741747171,10001456.9591613
11/2/2010 12:00:00 AM,CDO,CDO0000651,Athilon 7,USD,26549478.2831837,554286.158408702,27103764.4415924
11/2/2010 12:00:00 AM,CDO,CDO0000652,Athilon 7 offset,USD,-25512430.0961675,-554431.05011254,-26066861.1462801
11/2/2010 12:00:00 AM,CDO,CDO0000653,CDX6 7-10 7y ECD3450,USD,2870656.24362104,111065.396375489,2981721.63999652
11/2/2010 12:00:00 AM,CDO,CDO0000654,CDX6 7-10 7y ECD3449,USD,-712445.58861658,-10493.5946595878,-722939.183276168
11/2/2010 12:00:00 AM,CDO,CDO0000655,CDX6 7-10 7y ECD3453,USD,-2854599.70445073,-111126.260770949,-2965725.96522168
11/2/2010 12:00:00 AM,CDO,CDO0000656,CDX6 7-10 7y ECD8112,USD,715827.424740482,10492.8007640761,726320.225504558
11/2/2010 12:00:00 AM,CDO,CDO0000657,GNT LSS 1 - CDX7 30-60,CAD,129395843.112758,-2823908.62697746,126571934.485781
11/2/2010 12:00:00 AM,CDO,CDO0000658,GNT LSS 1 - GS,CAD,-123470044.531022,2825783.43129204,-120644261.09973
11/2/2010 12:00:00 AM,CDO,CDO0000659,Nereus 2 BNP,USD,-2916647.32518895,-107381.306915867,-3024028.63210481
11/2/2010 12:00:00 AM,CDO,CDO0000660,Nereus 2 Mav1,CAD,2545764.18380512,70313.2250238284,2616077.40882895
11/2/2010 12:00:00 AM,CDO,CDO0000661,Nereus Dresdner,USD,-243812.962799823,-19237.9215881382,-263050.884387961
11/2/2010 12:00:00 AM,CDO,CDO0000662,Nereus Mav1,CAD,1763462.91134319,65656.536423079,1829119.44776627
11/2/2010 12:00:00 AM,CDO,CDO0000671,CDX7 0-3 10y Zero ECD4272,USD,-37203.1404994708,2623.19980316715,-34579.9406963037
11/2/2010 12:00:00 AM,CDO,CDO0000672,CDX7 0-3 10y Zero ECD4273,USD,-49604.1873593377,3497.59973943952,-46106.5876198982
11/2/2010 12:00:00 AM,CDO,CDO0000673,CDX7 0-3 10y Zero ECD4280,USD,-20032.4600871127,1412.4921888843,-18619.9678982284
11/2/2010 12:00:00 AM,CDO,CDO0000674,CDX7 0-3 10y Zero ECD8268,USD,106839.787932566,-7533.29173054931,99306.496202017
11/2/2010 12:00:00 AM,CDX,CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,USD,38750.221817731,-19.8186344191328,38730.4031833119
11/2/2010 12:00:00 AM,CDX,CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,USD,-38750.221817731,19.8186344191328,-38730.4031833119
