Curve Name,Delta Name,CDO0000646,CDO0000649,CDO0000651,CDO0000652,CDO0000657,CDO0000658,CDO0000659,CDO0000660,CDO0000661,CDO0000662,Sum Total
USDLIBOR,DEC10,-51.097929326074,-85.671486404317,-236.623870097673,223.90796157068,,,23.619562406293,,-0.193732287633982,,-126.059494138725
USDLIBOR,15-Dec-2010,-22.9511467161672,-40.5732967294171,-114.272182521823,107.715507998095,,,8.50690879169633,,-0.755749521765698,,-62.329958699382
USDLIBOR,MAR11,-48.9403590300797,-78.5086993229925,-214.147593074641,203.092252398566,,,26.9598673658493,,0.982619532136508,,-110.561912131162
USDLIBOR,JUN11,-43.0375488807709,-66.2224877989502,-179.239386115939,170.286143410642,,,27.1542122560732,,1.74951211361659,,-89.309555015329
USDLIBOR,SEP11,-35.5878382367613,-53.212061902741,-144.964754947797,137.699785700189,,,24.8136694031473,,1.91899810023289,,-69.33220188373
USDLIBOR,DEC11,-25.111849964568,-36.0119709424907,-96.9143028892482,92.2215720316185,,,19.2297739755759,,1.81399080316628,,-44.7727869859463
USDLIBOR,MAR12,-15.8360411651237,-22.2017876876635,-57.7977207196828,55.0958124686518,,,12.5175541099452,,1.30319268145937,,-26.9189903124137
USDLIBOR,2 Years,-513.35331453261,-791.35589269863,-1525.75698812926,1483.19903889126,,,464.243937252559,,70.9410502831904,,-812.082168933492
USDLIBOR,3 Years,-88.1137613961533,-844.948142691283,-2945.69743889579,2876.11155229542,,,82.445442919834,,10.4432542046282,,-909.759093563343
USDLIBOR,4 Years,,,-82.4454363782692,78.7594428575026,,,,,,,-3.68599352076659
CADLIBOR,DEC10,,,,,-72.8143532505446,34.7787256881011,,-18.0669304272016,,-6.50295668760071,-62.6055146772458
CADLIBOR,13-Dec-2010,,,,,-31.3955357549294,13.852498408135,,-6.25132987538412,,-0.729842043514657,-24.5242092656931
CADLIBOR,MAR11,,,,,-85.1719838947693,52.3813116117799,,-23.1128804680297,,-12.8632585897321,-68.7668113407511
CADLIBOR,JUN11,,,,,-92.8791067999373,66.2633179825352,,-26.2139469132598,,-17.4246878905099,-70.2544236211718
CADLIBOR,SEP11,,,,,-97.8013597516265,75.8396235177925,,-28.2662056970973,,-20.732943739528,-70.9608856704593
CADLIBOR,DEC11,,,,,-77.6039957726216,63.2894749726211,,-23.0199767991908,,-17.8622857724505,-55.1967833716419
CADLIBOR,MAR12,,,,,-49.3989746167308,40.713275304518,,-14.4402485095592,,-11.4511830232776,-34.5771308450497
CADLIBOR,2 Years,,,,,-1641.42565567551,1525.36595277781,,-358.786711851178,,-308.323486213443,-783.169900962325
CADLIBOR,3 Years,,,,,-6237.31679960212,5958.51825595177,,-95.1659467333769,,-81.9390346686777,-455.903525052409
CADLIBOR,4 Years,,,,,-13228.2078468101,12858.3657898637,,,,,-369.842056946487
CADLIBOR,5 Years,,,,,-19899.204961906,19439.0217339714,,,,,-460.183227934518
CADLIBOR,6 Years,,,,,-13797.3307573552,13340.4186759151,,,,,-456.912081440034
CADLIBOR,7 Years,,,,,-230.863439880485,191.9601085516,,,,,-38.9033313288855
