Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Today_Size,Today_CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDO0000646,2591,Athilon 4,-800000000.064,-800000000.064,*,4465545.05194975,4744054.71858009,119921.086146835,-28569.7490755273,-507137767.290791,122375.579872482,-28598.7728306347,-516996191.899396,99662622.2963154,101737517.087561,119924.049915771,122379.400122573,231674.87,232214.36
CDO0000649,3254,Athilon 6,-800000000,-800000000,*,9814671.2174141,10197012.4571681,195699.676310166,-30923.3187853342,-687066676.708497,198309.256437747,-30951.6022226399,-695658780.652166,180793000.017194,183060552.735606,195702.207860514,198311.837240343,141890.07,142027.69
CDO0000651,3930,Athilon 7,-799999999.998,-799999999.998,*,26549478.2831837,27299154.8557362,310718.458107641,-32224.0445539497,-1016858860.52462,314008.850969311,-32244.5747218938,-1026962450.74249,324593343.132944,328104124.021402,310718.487752873,314008.017861198,196008.824114908,196636.162295469
CDO0000652,8117,Athilon 7 offset,799999999.998,799999999.998,*,-25512430.0961675,-26262384.3703205,-310862.74330217,-32224.0445539497,1017330635.91974,-314155.984640454,-32244.5747218938,1027443193.51271,-324738255.120682,-328251476.460843,-310862.774165059,-314155.152809091,196008.824114908,196636.162295469
CDO0000653,3450,CDX6 7-10 7y ECD3450,-10000000.012,-10000000.012,*,2870656.24362104,2967034.36734964,20135.4542886518,-63369.1134990644,-38626505.5659658,19891.6158446939,-63350.3145210879,-38139478.3264381,32145899.4363287,32336264.1138974,20135.5765798648,19891.7763367229,191439.4,198839.5
CDO0000654,3449,CDX6 7-10 7y ECD3449,10000000.012,10000000.012,*,-712445.58861658,-751646.893053756,-11349.7564647798,-31532.1017105442,43523154.2734775,-11564.578056537,-31551.7903071502,44301411.7246922,-20145068.8407346,-20713886.6401053,-11349.950741984,-11564.7895943128,134007.58,139187.65
CDO0000655,3453,CDX6 7-10 7y ECD3453,10000000.012,10000000.012,*,-2854599.70445073,-2951038.37777029,-20156.3354618347,-63369.1134990644,38666455.9229412,-19912.5581534681,-63350.3145210879,38179546.3307197,-32180136.7394376,-32370898.6977056,-20156.4579028219,-19912.7188179047,191439.4,198839.5
CDO0000656,8112,CDX6 7-10 7y ECD8112,-10000000.012,-10000000.012,*,715827.424740482,755024.489274558,11348.1303749682,-31532.1017105442,-43516924.8176359,11562.9061770066,-31551.7903071502,-44295013.1161656,20142345.4119139,20711084.1439308,11348.3246330629,11563.1176898357,134007.58,139187.65
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-4941750000,-4941750000,*,131039170.32029,132893615.851612,1469386.38256785,-68391.1408906268,-2578501334.78233,1489311.41532278,-68356.8909904565,-2610974644.40386,496400603.211627,499945752.483799,1469432.64520342,1489358.95786006,177443.4,184965.5
CDO0000658,3816,GNT LSS 1 - GS,4941750000,4941750000,*,-125038114.096566,-126885772.020255,-1470081.41011798,-68391.1408906268,2579723147.16335,-1490019.30154563,-68356.8909904565,2612217852.95254,-496628851.219954,-500176046.008761,-1470127.71151868,-1490066.88273154,177443.4,184965.5
CDO0000659,2743,Nereus 2 BNP,2200000000,2200000000,*,-2916647.32518895,-3269713.38137889,-157736.949406743,-36788.3154547376,664776569.59122,-163152.495322654,-36828.241953464,686798548.613634,-93452433.7137256,-95669977.7288486,-157749.914649592,-163164.799506633,256628.228423722,257551.742341728
CDO0000660,8271,Nereus 2 Mav1,-1543836733.32,-1543836733.32,*,2578095.38893945,2828713.63975192,110361.393949262,-36787.4244617841,-465117358.975006,114177.655989013,-36827.1806595988,-480642640.313112,65299077.4388639,66880145.4952653,110370.303148941,114186.09857919,257189.628423722,258103.342341728
CDO0000661,2602,Nereus Dresdner,394033675.68,394033675.68,*,-243812.962799823,-307055.610813702,-28257.3328930466,-36788.3154547376,119089514.106227,-29227.5684036275,-36828.241953464,123034927.596297,-16741616.1039005,-17138897.0356745,-28259.6556707169,-29229.7727522445,256628.228423722,257551.742341728
CDO0000662,8269,Nereus Mav1,-1441344840.31,-1441344840.31,*,1785858.89031725,2019845.13071145,103047.738389875,-36787.4244617841,-434294061.555506,106611.291903985,-36827.1806595988,-448791303.03016,60972479.3465585,62448832.2632849,103056.057509252,106619.175325137,257189.628423722,258103.342341728
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-557142.8622,-351386.2937055,*,-37203.1404994708,-35574.522308992,276.825911131388,-68391.1408906268,-501872.292260943,250.097158926467,-68356.8909904565,-454567.172220701,824039.403674905,772756.8882695,276.827495432689,250.09894875081,177443.4,184965.5
