COB Date,Aggregation Level,Portfolio Name,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
09/10/2010,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.45,03/20/2013,0.62,307917.403925679,-314620.038105429,-742100.527661619,723530.384335527,USD
09/10/2010,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.44,09/20/2013,0.61,371857.222402297,-386211.534857031,-985945.464831681,967038.916658197,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.39,12/20/2013,0.52,680109.320398757,-708306.86055647,-1425429.74267201,1403591.47820712,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.39,12/20/2013,0.52,-680566.895485994,708774.662176215,1426142.27416844,-1404286.0588478,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.31,06/20/2016,0.34,-36209.3096958925,36797.0337746346,-152774.542565774,154479.552781342,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.35,06/20/2013,0.39,-1314.0721179509,1857.71982204116,74750.3869514342,-75006.4411483648,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.31,06/20/2016,0.34,36220.7074180781,-36808.068277057,152913.691692228,-154619.575929572,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.35,06/20/2013,0.39,1312.68980318038,-1856.23686528651,-74739.425131531,74995.541670627,USD
09/10/2010,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.55,12/20/2016,0.56,4524620.74585946,-4536166.41042864,-1635102.74468952,1557037.85161341,USD
09/10/2010,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.55,12/20/2016,0.56,-4526984.88989467,4538511.79338684,1635756.00666952,-1557653.07067703,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.49,03/20/2013,0.77,-396771.509122975,408229.5554447,756260.562249503,-726092.165085972,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.49,03/20/2013,0.77,277697.930982097,-292259.255154331,-526822.91552325,499622.107255859,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.49,03/20/2013,0.77,-71081.7936999434,73134.5578773784,135490.237856086,-130085.023503181,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.49,03/20/2013,0.77,259303.158989405,-272899.045359763,-491937.986556116,466538.649043114,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.28,12/20/2016,0.28,-1798.55157174794,1777.90941356154,2851.70534095385,-2818.97603050559,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.28,12/20/2016,0.28,-2398.06876362185,2370.54588602517,3802.27378998585,-3758.63470936467,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.28,12/20/2016,0.28,-968.45083753526,957.335829381937,1535.53363119108,-1517.91015649428,USD
09/10/2010,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.28,12/20/2016,0.28,5165.07117225942,-5105.79112833043,-8189.51276110712,8095.52089535257,USD
