ReferenceEntityLongName,ProductDescription,TradeTag_ECD Id,Quantifi Trade Id,Today_CDS Spread Quote 1Y,Yesterday_CDS Spread Quote 1Y,Today_CDS Spread Quote 2Y,Yesterday_CDS Spread Quote 2Y,Today_CDS Spread Quote 3Y,Yesterday_CDS Spread Quote 3Y,Today_CDS Spread Quote 4Y,Yesterday_CDS Spread Quote 4Y,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y,Today_CDS Spread Quote 7Y,Yesterday_CDS Spread Quote 7Y,Today_CDS Spread Quote 10Y,Yesterday_CDS Spread Quote 10Y,Today_RecoveryRate,Yesterday_RecoveryRate,Today_JTD,Yesterday_JTD,Today_APCorrelation,Yesterday_APCorrelation,Today_DPCorrelation,Yesterday_DPCorrelation,Today_BaseCorrelationLevelDelta,Yesterday_BaseCorrelationLevelDelta,Today_BaseCorrelationSkewDelta,Yesterday_BaseCorrelationSkewDelta,Today_Theta,Yesterday_Theta,Today_SpreadDelta_1 Years,Yesterday_SpreadDelta_1 Years,Today_SpreadDelta_2 Years,Yesterday_SpreadDelta_2 Years,Today_SpreadDelta_3 Years,Yesterday_SpreadDelta_3 Years,Today_SpreadDelta_4 Years,Yesterday_SpreadDelta_4 Years,Today_SpreadDelta_5 Years,Yesterday_SpreadDelta_5 Years,Today_SpreadDelta_7 Years,Yesterday_SpreadDelta_7 Years,Today_SpreadDelta_10 Years,Yesterday_SpreadDelta_10 Years,Today_SpreadGamma_1 Years,Yesterday_SpreadGamma_1 Years,Today_SpreadGamma_2 Years,Yesterday_SpreadGamma_2 Years,Today_SpreadGamma_3 Years,Yesterday_SpreadGamma_3 Years,Today_SpreadGamma_4 Years,Yesterday_SpreadGamma_4 Years,Today_SpreadGamma_5 Years,Yesterday_SpreadGamma_5 Years,Today_SpreadGamma_7 Years,Yesterday_SpreadGamma_7 Years,Today_SpreadGamma_10 Years,Yesterday_SpreadGamma_10 Years,Today_SpreadHdgeDelta_1 Years,Yesterday_SpreadHdgeDelta_1 Years,Today_SpreadHdgeDelta_2 Years,Yesterday_SpreadHdgeDelta_2 Years,Today_SpreadHdgeDelta_3 Years,Yesterday_SpreadHdgeDelta_3 Years,Today_SpreadHdgeDelta_4 Years,Yesterday_SpreadHdgeDelta_4 Years,Today_SpreadHdgeDelta_5 Years,Yesterday_SpreadHdgeDelta_5 Years,Today_SpreadHdgeDelta_7 Years,Yesterday_SpreadHdgeDelta_7 Years,Today_SpreadHdgeDelta_10 Years,Yesterday_SpreadHdgeDelta_10 Years,Today_SpreadHdgeNotnl_1 Years,Yesterday_SpreadHdgeNotnl_1 Years,Today_SpreadHdgeNotnl_2 Years,Yesterday_SpreadHdgeNotnl_2 Years,Today_SpreadHdgeNotnl_3 Years,Yesterday_SpreadHdgeNotnl_3 Years,Today_SpreadHdgeNotnl_4 Years,Yesterday_SpreadHdgeNotnl_4 Years,Today_SpreadHdgeNotnl_5 Years,Yesterday_SpreadHdgeNotnl_5 Years,Today_SpreadHdgeNotnl_7 Years,Yesterday_SpreadHdgeNotnl_7 Years,Today_SpreadHdgeNotnl_10 Years,Yesterday_SpreadHdgeNotnl_10 Years
NORFOLK SOUTHERN CORPORATION,GNT LSS 1 - GS,3816,CDO0000658,435,430,570,567.5,672.5,670,844.577032868389,842.116394979933,1030,1027.5,1157.5,1170,1393.37773236891,1397.10513375857,,,-3114467.21042442,-3117043.12790084,,,,,,,,,,,56.1865035295486,58.7812163829803,98.4263918399811,102.125387191772,158.774914741516,158.929588198662,221.714038610458,219.736312270164,-9522.30590641499,-9430.17405509949,-23052.1450109482,-22815.944435358,,,1.03329205513,1.01828479766846,2.54188108444214,2.52388668060303,5.23936700820923,5.21161913871765,7.41563367843628,7.44051480293274,38.4673664569855,37.9213190078735,223.461041927338,219.477829456329,,,-113.366915280747,-113.623502992673,-213.139164106537,-213.34292123511,-310.704791359332,-310.829830665807,-405.275305664845,-405.316796031079,-495.972432353638,-495.916934826138,-664.671568324753,-664.323139613657,,,-495616.409694186,-517333.252670188,-461794.022007063,-478691.238502484,-511015.340467962,-511307.385968167,-547070.190340715,-542134.731207426,19199264.4857837,19015632.2417293,34682008.5430299,34344648.0708573,,
Newell Rubbermaid Inc.,GNT LSS 1 - GS,3816,CDO0000658,1180,1160,1547.5,1482.5,1927.5,1905,2415,2405,2857.5,2860,3135,3115,3442.5,3480,,,-1482713.34984899,-1507787.23324299,,,,,,,,,,,55.8037492036819,57.2189749479294,98.4446803331375,99.8007751703262,152.838783740997,154.256762623787,210.066549539566,213.118605852127,-3727.37894177437,-3756.17433452606,-9482.99069321156,-9539.79093074799,,,0.211946725845337,0.212191343307495,0.583731412887573,0.604952096939087,1.2475438117981,1.26887440681458,1.91312217712402,1.93280458450317,9.67808437347412,9.67422580718994,66.8188025951386,66.6133165359497,,,-113.047832542502,-113.309479436143,-211.851242339277,-212.10944972166,-307.442929530137,-307.684797918099,-398.712465166022,-398.897756847923,-484.583151738136,-484.670081839543,-640.099834335613,-640.019769272653,,,-493629.536706964,-504979.594228708,-464687.765085085,-470515.459359729,-497128.959753863,-501346.71477935,-526862.257622409,-534268.749807428,7691928.47172823,7749961.21128351,14814861.9707961,14905462.9071684,,
News America Incorporated,GNT LSS 1 - GS,3816,CDO0000658,753.416840780173,768.505970917752,918.08547266556,930.866605806872,1075,1085,1405.43724157052,1427.16206794477,1770,1805,2067.5,2107.5,2422.5,2445,,,-2199995.23257613,-2184873.87280536,,,,,,,,,,,59.7170087099075,61.7258305549622,99.7928388118744,102.799246788025,147.043732047081,147.596651673317,204.355688691139,204.7774913311,-6043.02221381664,-5918.92192912102,-14973.3769899607,-14667.753374815,,,0.457134008407593,0.428672313690186,1.32000541687012,1.27162933349609,2.86926436424255,2.8127543926239,4.03863978385925,3.96358299255371,19.2640154361725,18.5879287719727,120.632227659225,116.47179889679,,,-113.230387798218,-113.47774097139,-212.642665578607,-212.818522748955,-309.542157180066,-309.615597053463,-402.969061408033,-402.914832017162,-491.774509418727,-491.533597717563,-654.528675067637,-653.781772265303,,,-527393.837212024,-543946.592755354,-469298.287530092,-483037.122240009,-475036.206333418,-476709.355335967,-507125.008498396,-508240.141733918,12288197.330438,12041744.3621464,22876579.0718235,22435243.6807658,,
Olin Corporation,GNT LSS 1 - GS,3816,CDO0000658,1220,1260,1655,1647.5,2095,2087.5,2570,2575,3137.5,3127.5,3435,3440,3825,3870,,,-1335699.66904235,-1353351.65826082,,,,,,,,,,,53.2045271396637,54.9966427087784,93.6011002063751,96.0429890155792,144.013193964958,145.902819752693,195.308549165726,197.693030118942,-3292.85758459568,-3300.42677605152,-8433.83286213875,-8450.76382851601,,,0.198226928710938,0.18230128288269,0.521314144134521,0.511405944824219,1.09980463981628,1.10091519355774,1.71508979797363,1.72185611724854,8.19843220710754,8.14121031761169,57.8805255889893,57.3986382484436,,,-113.030735197333,-113.266554586145,-211.742651725614,-211.911622670033,-307.089377159514,-307.188076168007,-397.995789810067,-398.006601359126,-483.2431973934,-483.162309870404,-636.794617651158,-636.490124738537,,,-470708.493993048,-485550.592668119,-442051.23268064,-453221.903572168,-468961.822440872,-474962.510175349,-490730.189027707,-496707.917516578,6814079.54081353,6830886.24387274,13244196.2107771,13277132.6687708,,
Omnicom Group Inc.,GNT LSS 1 - GS,3816,CDO0000658,1020.69061407153,1041.64411197931,1243.77525712699,1261.71006559514,1456.35503580023,1470.6246981372,1658.42995009123,1668.38800960548,1850,1855,2115,2117.5,2457.5,2512.5,,,-2158714.83535099,-2173986.5941081,,,,,,,,,,,64.3047927618027,66.4260822534561,118.849066734314,122.692002654076,190.393357515335,193.539566874504,245.556377053261,248.700119972229,-5894.06282794476,-5874.39491426945,-14648.9893411398,-14589.6398102045,,,0.27678656578064,0.258313894271851,0.837650775909424,0.802581071853638,1.94384765625,1.90907979011536,3.28656506538391,3.26587200164795,18.4402792453766,18.236311674118,116.878256082535,115.367261648178,,,-113.115961691979,-113.360312157654,-212.195430077214,-212.362122157431,-308.478710423872,-308.535118216788,-401.204314516945,-401.145300333081,-489.600391525962,-489.419814578365,-652.050851829038,-651.612490710719,,,-568485.57710103,-585973.000507222,-560092.489697195,-577748.995007312,-617200.964221228,-627285.373519511,-612048.196313427,-619975.155550189,12038517.3908347,12002772.9554232,22466022.8570342,22390055.4673092,,
"Progress Energy, Inc.",GNT LSS 1 - GS,3816,CDO0000658,685.0836854536,692.363674260003,834.817255377288,838.637886798358,977.5,977.5,1240.10803368495,1242.51642329268,1525,1530,1725,1730,2012.5,2017.5,,,-2489652.56269813,-2501131.252671,,,,,,,,,,,61.108325958252,63.5064831972122,105.328158378601,109.176743030548,162.034932136536,163.805642485619,223.494795680046,225.046991229057,-7076.99818336964,-7036.32657265663,-17383.1225978136,-17270.4712713957,,,0.530809879302979,0.50560450553894,1.51083469390869,1.47757148742676,3.27950525283813,3.25736689567566,4.74122595787048,4.732342004776,24.1864550113678,23.8814277648926,147.887820959091,145.692748308182,,,-113.259668107728,-113.510505943666,-212.757206994057,-212.945981757591,-309.814803643137,-309.917670220007,-403.557598173258,-403.5682601726,-492.96421342302,-492.860396624936,-657.86114159238,-657.480855963673,,,-539541.806710293,-559476.699264555,-495062.704886623,-512696.892091773,-523005.777100235,-528545.66946549,-553811.393198187,-557642.940336309,14356007.9832748,14276510.3888256,26423695.6688718,26267641.2776799,,
"Pulte Homes, Inc.",GNT LSS 1 - GS,3816,CDO0000658,4182.5,4954.5601818041,4977.5,5115,5972.5,6120,6699.9014281122,6851.2250515699,7445,7600,7757.5,7910,8222.5,8372.5,,,-345528.376643181,-341351.283572197,,,,,,,,,,,27.2287592887878,27.6757287979126,49.0304819345474,49.304824590683,75.4079977273941,75.3561127185822,101.081238389015,100.92825448513,-700.747553467751,-680.824667334557,-1999.10874819756,-1949.06310713291,,,0.0169963836669922,0.0113530158996582,0.0634152889251709,0.0576701164245605,0.159512758255005,0.151699066162109,0.301242589950562,0.292953252792358,1.10001635551453,1.03713870048523,11.1653165817261,10.6951282024384,,,-111.774195382871,-111.696082751732,-207.079806937643,-206.575352668004,-296.402517336519,-295.606281506408,-378.648607841991,-377.482435426641,-453.077128325836,-451.473659138362,-580.847918227511,-578.253714687708,,,-243605.057459985,-247777.076116694,-236770.94671675,-238677.189480213,-254410.787077696,-254920.539355821,-266952.621231334,-267372.054996568,1546640.75862112,1508005.29234399,3441707.69226124,3370601.96523861,,
Transocean Inc.,GNT LSS 1 - GS,3816,CDO0000658,10702.5,13500,10502.5,12810,10242.5,12360,9937.5,11610,10025,11697.5,9937.5,11437.5,9447.5,11275,,,-198334.467653275,-141671.210162401,,,,,,,,,,,18.6705822944641,14.5393217802048,35.9700863361359,28.1901934146881,57.0655986070633,45.0529752969742,76.0997749567032,60.2454801797867,-370.084250688553,-249.751673102379,-1113.41163253784,-777.978761672974,,,0.00112152099609375,0.000474691390991211,0.0149765014648438,0.0088963508605957,0.0532348155975342,0.0363533496856689,0.133551836013794,0.0955555438995361,0.462525844573975,0.266445875167847,5.79620981216431,3.90059947967529,,,-109.075101086005,-108.175818015659,-198.465712136898,-195.124659969593,-280.633890382099,-274.135340945061,-356.08047100108,-346.273432871352,-424.644112202263,-411.468401785382,-542.077411288129,-521.846441806445,,,-171171.808309786,-134404.546662176,-181240.809552657,-144472.735630038,-203345.356932355,-164345.739376971,-213715.104180685,-173982.392123537,871516.265159653,606976.555231687,2053971.64565862,1490819.32796148,,
RIO TINTO ALCAN INC.,GNT LSS 1 - GS,3816,CDO0000658,577.688957476198,596.181337294545,703.950072351722,722.13531045183,824.265659689585,841.70686428383,938.635719489781,954.895998790553,1047.06025175231,1061.70271397199,1246.07273366438,1256.16888635905,1500,1500,,,-3028675.64876962,-3028449.9401381,,,,,,,,,,,61.6822019815445,64.9041177034378,113.192172169685,118.930604934692,186.16955602169,190.659452199936,237.330642819405,242.03500187397,-9160.6429772377,-9059.6830586195,-22251.2250398397,-21993.603738308,,,0.689512014389038,0.638025522232056,1.91224503517151,1.82440328598022,4.17167639732361,4.03843688964844,6.62734913825989,6.50419163703918,36.317883014679,35.624160528183,211.722227334976,207.418852806091,,,-113.305706883537,-113.551912809709,-212.929800692648,-213.103476613565,-310.24392871435,-310.299790168311,-404.54087220257,-404.46890068134,-495.103228460305,-494.88422092475,-663.406869522672,-662.863014024,,,-544387.424765335,-571581.016096176,-531593.848308118,-558088.524995568,-600074.775977653,-614436.291099389,-586666.661213317,-598402.006844667,18502490.8961428,18306671.8952777,33540842.0715477,33179711.7549112,,
Rohm and Haas Company,GNT LSS 1 - GS,3816,CDO0000658,547.5,525,742.5,780,997.5,1007.5,1312.5,1317.5,1647.5,1647.5,1985,2002.5,2457.5,2470,,,-2280398.47796369,-2286537.48573542,,,,,,,,,,,54.4964534044266,56.3258324861526,89.3128509521484,95.1635380983353,140.091710329056,143.489509105682,197.859738826752,198.740651130676,-6322.7860366106,-6268.30136263371,-15636.9359966516,-15498.5353585482,,,0.730692148208618,0.73827862739563,1.73468971252441,1.62509703636169,3.21773386001587,3.14716053009033,4.40719509124756,4.38892650604248,20.6818830966949,20.3436076641083,128.034813165665,125.635481119156,,,-113.318653099904,-113.582569892677,-212.934015107966,-213.123008244872,-310.033632430174,-310.102607978032,-403.654939692955,-403.61884909707,-492.765563110381,-492.621245742738,-656.184712768605,-655.72818604917,,,-480913.352865054,-495902.078456002,-419439.096693232,-446519.307708886,-451859.719963148,-462716.228158414,-490170.488133394,-492396.853058959,12831225.4547591,12724382.9144698,23830082.7379467,23635609.522794,,
