Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,119598.4369076600000000,0.0000,3.0000,03/11/2009,190.0000000000000000,500.000000000,500.000000000,500.000000000,47.000000000,47.000000000,47.000000000
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,139274.0921054960000000,3.0000,7.0000,03/11/2009,190.0000000000000000,950.000000000,950.000000000,950.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,76481.3198869489000000,7.0000,10.0000,03/11/2009,190.0000000000000000,304.000000000,304.000000000,304.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,27016.1662633406000000,10.0000,15.0000,03/11/2009,190.0000000000000000,83.000000000,83.000000000,83.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,5636.7284381468100000,15.0000,30.0000,03/11/2009,190.0000000000000000,14.000000000,14.000000000,14.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,128881.6093868510000000,0.0000,3.0000,03/11/2009,154.0000000000000000,500.000000000,500.000000000,500.000000000,70.875000000,71.000000000,71.125000000
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,336054.6906053810000000,3.0000,7.0000,03/11/2009,154.0000000000000000,1193.134666163,1197.8498679735,1202.565069784,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,217677.6775465090000000,7.0000,10.0000,03/11/2009,154.0000000000000000,432.226363944,436.4622161975,440.698068451,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,101980.1187545080000000,10.0000,15.0000,03/11/2009,154.0000000000000000,154.000000000,158.000000000,162.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,31512.7092269070000000,15.0000,30.0000,03/11/2009,154.0000000000000000,40.000000000,41.500000000,43.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,99286.9193862618000000,0.0000,3.0000,03/11/2009,155.0000000000000000,500.000000000,500.000000000,500.000000000,78.125000000,78.250000000,78.375000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,363831.8887053130000000,3.0000,7.0000,03/11/2009,155.0000000000000000,1245.823389021,1249.138159639,1252.452930257,NULL,NULL,NULL
