COB Date,Aggregation Level,Portfolio Name,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
07/08/2010,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.49,03/20/2013,0.67,291253.366621988,-302713.9107933,-993673.993413669,974039.691373429,USD
07/08/2010,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.45,09/20/2013,0.64,376968.429628736,-394822.832239926,-1208928.17801725,1190149.71455467,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.4,12/20/2013,0.54,652770.5948695,-683717.549668889,-1649451.36202994,1629247.05820574,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.4,12/20/2013,0.54,-653303.276316661,684264.56107052,1650376.29227051,-1630152.28561101,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.29,06/20/2016,0.31,-45441.395027672,46422.0114220224,-163271.949264572,165237.632873342,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.38,06/20/2013,0.42,4203.99579399812,-3784.59485417916,86694.0867318961,-87159.2936596814,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.29,06/20/2016,0.31,45459.2222123267,-46439.6262388474,163431.718885146,-165398.606999623,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.38,06/20/2013,0.42,-4204.91876433446,3785.63054558902,-86679.2562969712,87144.491657798,USD
07/08/2010,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.55,12/20/2016,0.57,4858901.72413127,-4881450.66481346,-1907387.4780405,1822102.79956329,USD
07/08/2010,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.55,12/20/2016,0.57,-4861598.15686044,4884131.7403061,1908182.77237611,-1822854.0336887,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.53,03/20/2013,0.82,-376697.491502465,402264.53527743,1146474.26140009,-1105653.91023388,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.52,03/20/2013,0.82,270915.573228061,-288282.788341536,-794087.229223452,765931.335379232,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.53,03/20/2013,0.82,-67488.3587383719,72068.843117316,205409.860439188,-198095.778315888,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.52,03/20/2013,0.82,252976.461389452,-269193.536971327,-741527.065319698,715233.762203013,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.31,12/20/2016,0.31,-1678.2552648546,1657.34984593999,2660.96873586927,-2627.82201063205,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.31,12/20/2016,0.31,-2237.6736876777,2209.79979577654,3547.95831640278,-3503.76268272938,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.31,12/20/2016,0.31,-903.675903642187,892.41913971342,1432.82930630853,-1414.98106980436,USD
07/08/2010,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.31,12/20/2016,0.31,4819.60485557203,-4759.56878083501,-7641.75635762534,7546.56576222249,USD
