HEADER,2011-03-02,QUANTIFI,CorrExposure.txt,2011-03-11 18:49:47,UAT,1,Confidential
COBDate,AggregationLevel,PortfolioName,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
03/02/2011,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.42449149,03/20/2013,0.47893128,0.255581231966618,-0.255398229464107,-0.173568309339505,0.163140661919294,USD
03/02/2011,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.45714893,09/20/2013,0.51988701,0.366652088867946,-0.372349374705036,-0.386392732780791,0.371553874640314,USD
03/02/2011,2.5.1.9.2.3.1.1,L_USD_3930_ATHILON_7,0.43150466,12/20/2013,0.52373011,0.496733575283133,-0.510368950036189,-0.679276133397214,0.660510113732721,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.37974724,06/20/2016,0.4065835,-0.0224637879543086,0.0225290641843849,-0.125608321452617,0.126722588937279,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.4119205,06/20/2013,0.43504118,-0.00389975982528939,0.00429443722617462,0.0395177253114074,-0.0393086629248868,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.37974724,06/20/2016,0.4065835,0.0224674477407982,-0.0225323305553958,0.125697561332404,-0.126812092328127,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.4119205,06/20/2013,0.43504118,0.00389891128368549,-0.00429354651347336,-0.0395134843697208,0.0393044848288468,USD
03/02/2011,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.60005079,12/20/2016,0.61027973,3.86448076822348,-3.86370941869076,-1.57337206918193,1.50184480954402,USD
03/02/2011,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.60005079,12/20/2016,0.61027973,-3.86614409336715,3.86535625350513,1.57389292133525,-1.50233533039866,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.42107134,03/20/2013,0.55453741,-0.27302327910528,0.263744392293911,0.0798363908019666,-0.0732860488827764,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.42107354,03/20/2013,0.55415089,0.197312163859935,-0.190688382578168,-0.0572393818321898,0.0525501251579036,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.42107134,03/20/2013,0.55453741,-0.0489097678666641,0.0472474178986667,0.0143018756127163,-0.0131284198241874,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.42107354,03/20/2013,0.55415089,0.184235914684827,-0.178050814294284,-0.0534457103050136,0.0490671762640522,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.33102446,12/20/2016,0.33102446,0.00319185874741634,-0.00318870631807567,0.00319185874741634,-0.00318870631807567,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.33102446,12/20/2016,0.33102446,0.00425581166551342,-0.0042516084263902,0.00425581166551342,-0.0042516084263902,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.33102446,12/20/2016,0.33102446,0.00171869315608528,-0.00171699569414801,0.00171869315608528,-0.00171699569414801,USD
03/02/2011,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.33102446,12/20/2016,0.33102446,-0.00916636356786921,0.00915731043746925,-0.00916636356786921,0.00915731043746925,USD
TRAILER,2011-03-02,QUANTIFI,CorrExposure.txt,17,-1.25516966826409,UAT,1,Confidential
