Source,Type,Name,Value
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.1.corr,0.223479820085138
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.1.strike,0.349245818366769
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.2.corr,0.265385869522018
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.2.strike,0.814906909522461
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.3.corr,0.287747988262442
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.3.strike,1.16415272788923
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.4.corr,0.376428362061928
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.4.strike,1.74622909183384
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.5.corr,0.586483795530995
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.5.strike,3.49245818366769
