ReferenceEntityLongName,ProductDescription,TradeTag_ECD Id,Quantifi Trade Id,Today_CDS Spread Quote 1Y,Yesterday_CDS Spread Quote 1Y,Today_CDS Spread Quote 2Y,Yesterday_CDS Spread Quote 2Y,Today_CDS Spread Quote 3Y,Yesterday_CDS Spread Quote 3Y,Today_CDS Spread Quote 4Y,Yesterday_CDS Spread Quote 4Y,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y,Today_CDS Spread Quote 7Y,Yesterday_CDS Spread Quote 7Y,Today_CDS Spread Quote 10Y,Yesterday_CDS Spread Quote 10Y,Today_RecoveryRate,Yesterday_RecoveryRate,Today_JTD,Yesterday_JTD,Today_APCorrelation,Yesterday_APCorrelation,Today_DPCorrelation,Yesterday_DPCorrelation,Today_BaseCorrelationLevelDelta,Yesterday_BaseCorrelationLevelDelta,Today_BaseCorrelationSkewDelta,Yesterday_BaseCorrelationSkewDelta,Today_Theta,Yesterday_Theta,Today_SpreadDelta_1 Years,Yesterday_SpreadDelta_1 Years,Today_SpreadDelta_2 Years,Yesterday_SpreadDelta_2 Years,Today_SpreadDelta_3 Years,Yesterday_SpreadDelta_3 Years,Today_SpreadDelta_4 Years,Yesterday_SpreadDelta_4 Years,Today_SpreadDelta_5 Years,Yesterday_SpreadDelta_5 Years,Today_SpreadDelta_7 Years,Yesterday_SpreadDelta_7 Years,Today_SpreadDelta_10 Years,Yesterday_SpreadDelta_10 Years,Today_SpreadGamma_1 Years,Yesterday_SpreadGamma_1 Years,Today_SpreadGamma_2 Years,Yesterday_SpreadGamma_2 Years,Today_SpreadGamma_3 Years,Yesterday_SpreadGamma_3 Years,Today_SpreadGamma_4 Years,Yesterday_SpreadGamma_4 Years,Today_SpreadGamma_5 Years,Yesterday_SpreadGamma_5 Years,Today_SpreadGamma_7 Years,Yesterday_SpreadGamma_7 Years,Today_SpreadGamma_10 Years,Yesterday_SpreadGamma_10 Years,Today_SpreadHdgeDelta_1 Years,Yesterday_SpreadHdgeDelta_1 Years,Today_SpreadHdgeDelta_2 Years,Yesterday_SpreadHdgeDelta_2 Years,Today_SpreadHdgeDelta_3 Years,Yesterday_SpreadHdgeDelta_3 Years,Today_SpreadHdgeDelta_4 Years,Yesterday_SpreadHdgeDelta_4 Years,Today_SpreadHdgeDelta_5 Years,Yesterday_SpreadHdgeDelta_5 Years,Today_SpreadHdgeDelta_7 Years,Yesterday_SpreadHdgeDelta_7 Years,Today_SpreadHdgeDelta_10 Years,Yesterday_SpreadHdgeDelta_10 Years,Today_SpreadHdgeNotnl_1 Years,Yesterday_SpreadHdgeNotnl_1 Years,Today_SpreadHdgeNotnl_2 Years,Yesterday_SpreadHdgeNotnl_2 Years,Today_SpreadHdgeNotnl_3 Years,Yesterday_SpreadHdgeNotnl_3 Years,Today_SpreadHdgeNotnl_4 Years,Yesterday_SpreadHdgeNotnl_4 Years,Today_SpreadHdgeNotnl_5 Years,Yesterday_SpreadHdgeNotnl_5 Years,Today_SpreadHdgeNotnl_7 Years,Yesterday_SpreadHdgeNotnl_7 Years,Today_SpreadHdgeNotnl_10 Years,Yesterday_SpreadHdgeNotnl_10 Years
ITV PLC,Athilon 7 offset,8117,CDO0000652,1881.9,2414,2516,2803.3,3357.5,3604,3925.3,4163.3,4515.2,4686.9,4753.2,4867.1,4862,4955.5,,,-2531572.34930712,-2532242.62949765,,,,,,,,,,,84.2404364645481,87.8542048931122,122.494749963284,129.147944658995,-3141.55034539104,-3113.59704405069,-1418.76697051525,-1409.30647045374,,,,,,,0.00456172227859497,0.00223743915557861,0.0446150302886963,0.0424155592918396,2.82078939676285,2.80321145057678,-0.0236430168151855,-0.0225328207015991,,,,,,,-115.269683475792,-115.184946839677,-209.907725298093,-209.236705069961,-298.64710312156,-297.361773381738,-380.931952704766,-378.927267574762,,,,,,,-730811.727111573,-762722.971217705,-583564.753461678,-617233.695282155,10519272.7890359,10470737.4073049,3724463.01876608,3719200.46681699,,,,,,
"J. C. Penney Company, Inc.",Athilon 7 offset,8117,CDO0000652,3369.10715169681,3232.8312646721,3406.99705560057,3261.18007988955,3443.77916949895,3288.88505357331,3479.45349339192,3315.94618572345,3699.2,3699.2,3955.9,3955.9,3488.97794996777,3256.03179742322,,,-1264792.91773367,-1317970.66908771,,,,,,,,,,,32.0936969816685,31.8899312913418,54.3333400785923,53.5802806913853,-1547.52911826968,-1596.49429780245,-691.703713864088,-712.250505894423,,,,,,,0.000435054302215576,0.000689327716827393,0.0181593298912048,0.0217732787132263,0.708657562732697,1.35559630393982,-0.0112612843513489,-0.0199488997459412,,,,,,,-115.107046789763,-115.456334950927,-209.843783046174,-210.392075104517,-299.661715696344,-300.562561239286,-384.199658619024,-385.603926216255,,,,,,,-278816.092296121,-276207.72220854,-258922.800999241,-254668.721075963,5164253.68076661,5311687.16163366,1800375.65975556,1847103.87387232,,,,,,
The Bear Stearns Companies LLC,Athilon 7 offset,8117,CDO0000652,1096.5,1081.2,1264.8,1247.8,1397.4,1383.8,1598,1572.5,1715.3,1725.5,1723.8,1739.1,1786.7,1788.4,,,-3158793.06764829,-3238582.40170681,,,,,,,,,,,36.0179446339607,36.3430140316486,56.3621113300323,56.4330255389214,-3667.22003617883,-3724.21171247959,-1618.61101925373,-1642.36176764965,,,,,,,0.0155075788497925,0.0166048407554626,0.0457338094711304,0.0458863973617554,0.461673319339752,0.398701786994934,-0.56252121925354,-0.584714293479919,,,,,,,-116.616276193244,-116.892146678232,-214.832953676489,-215.116210328118,-309.732900623155,-310.05053403529,-400.463550990666,-400.862862728147,,,,,,,-308858.641432485,-310910.656228171,-262353.192866801,-262337.391742091,11839943.4764622,12011628.1175497,4041843.54668387,4097066.40438641,,,,,,
Knight Inc.,Athilon 7 offset,8117,CDO0000652,1688.1,1708.5,2201.5,2155.6,2590.8,2561.9,2903.6,2920.6,3287.8,3323.5,3434,3452.7,3627.8,3621,,,-4241794.84920603,-4353685.06610751,,,,,,,,,,,84.4940122961998,85.7507059574127,139.623215258121,140.703902572393,-5132.76858755946,-5217.22429472208,-2297.77179324627,-2338.45105087757,,,,,,,0.012704610824585,0.0132988691329956,0.0686560869216919,0.0691456198692322,3.93130964040756,3.92319345474243,-0.153140425682068,-0.171510696411133,,,,,,,-116.220814776844,-116.471041727473,-213.119141076724,-213.385558374791,-305.298890664667,-305.648706989876,-391.907965196314,-392.271695410503,,,,,,,-727012.733979168,-736240.568347096,-655141.600856286,-659388.121876835,16812273.9535178,17069348.4886716,5863039.27784492,5961304.57088024,,,,,,
"Liz Claiborne, Inc.",Athilon 7 offset,8117,CDO0000652,14271.5,14830.8,15648.5,15271.1,15590.7,15857.6,15507.4,15354.4,15468.3,15383.3,14735.6,14944.7,14184.8,14178,,,-765861.856507778,-781238.806643665,,,,,,,,,,,77.4059370756149,79.7505776286125,144.258479058743,147.025674909353,-938.574168622494,-958.236677587032,-467.276205599308,-467.953651785851,,,,,,,-0.00268173217773438,-0.00281727313995361,0.0243685245513916,0.0247595906257629,0.775482773780823,0.788278818130493,-0.0389798879623413,-0.041837215423584,,,,,,,-108.225805977963,-108.117407082882,-186.208750690727,-186.180549523103,-251.164085157957,-251.119147534673,-305.600497636073,-305.505267546961,,,,,,,-715226.247346003,-737629.395491113,-774713.747466899,-789694.064637556,3736896.41189036,3815864.648293,1529042.68551214,1531736.77018161,,,,,,
LANXESS Aktiengesellschaft,Athilon 7 offset,8117,CDO0000652,1465.4,1518.1,1791.8,1827.5,2099.5,2131.8,2259.3,2289.9,2434.4,2456.5,2497.3,2544.9,2573.8,2629.9,,,-2940311.70879883,-3001601.91296762,,,,,,,,,,,69.1838930845261,70.7610765993595,93.0714848637581,95.6588143110275,-3560.68384695053,-3605.53608870506,-1567.33318474889,-1587.36248189211,,,,,,,0.00830185413360596,0.00840574502944946,0.0476493835449219,0.0475679636001587,2.20843374729156,2.25255978107452,-0.20856374502182,-0.208712577819824,,,,,,,-115.544487484082,-115.77726036371,-211.155148677929,-211.313685217985,-302.428911847967,-302.497276091145,-389.487486874559,-389.448645914824,,,,,,,-598764.117535742,-611182.85557169,-440772.983498112,-452686.318978104,11773622.5190682,11919234.8945935,4024091.24186748,4075922.4574099,,,,,,
"Macy's, Inc.",Athilon 7 offset,8117,CDO0000652,2378.77184129629,2750.03002697078,2454.8,2831.59463144633,2852.26796145947,2908.7,3263.06705391521,3319.69126633788,3685.6,3741.7,3901.5,3954.2,4265.3,4295.9,,,-2694494.51341796,-2748761.99560475,,,,,,,,,,,59.429957151413,61.2129258215427,98.3984615206718,101.778153806925,-3278.88708856702,-3305.07629755139,-1477.52577540278,-1490.95517247915,,,,,,,0.00446069240570068,0.00318461656570435,0.0430266857147217,0.0404191613197327,2.69232147932053,2.68799763917923,-0.061595618724823,-0.0655350685119629,,,,,,,-115.761433759882,-115.776414860126,-212.017943596264,-211.416630965701,-303.585153020306,-302.541876953702,-389.199265042546,-388.029265561315,,,,,,,-513383.043222195,-528716.71571016,-464104.404804754,-481410.347625097,10800551.5287755,10924359.7310569,3796322.11083766,3842378.15238593,,,,,,
MBIA Inc.,Athilon 7 offset,8117,CDO0000652,23349.5,24036.3,25855.3,25993,25000.2,26032.1,25132.8,25999.8,24711.2,25673.4,22406,23109.8,20391.5,21088.5,,,-327981.313791931,-308083.289096355,,,,,,,,,,,52.1198295354843,51.7064971029758,103.987623274326,102.094384610653,-407.452581137419,-386.595491379499,-226.877343356609,-215.27692091465,,,,,,,0.000138401985168457,0.000398457050323486,0.025884747505188,0.0265035629272461,0.29016500711441,0.27181214094162,-0.0396907329559326,-0.0416336059570313,,,,,,,-102.920073548512,-102.7412947321,-169.184158469575,-168.643719662865,-219.34903494108,-217.782055793567,-257.942251475954,-254.814875378751,,,,,,,-506410.729593168,-503268.887527663,-614641.608381006,-605385.037846352,1857553.56182381,1775148.50785479,879566.422555476,844836.552790207,,,,,,
MGIC Investment Corporation,Athilon 7 offset,8117,CDO0000652,7202.9,6985.3,8066.5,7959.4,8440.5,8477.9,8806,8950.5,9191.9,9287.1,9108.6,9190.2,9006.6,9120.5,,,-1505782.74219513,-1536784.89306951,,,,,,,,,,,87.7434870302677,90.0950628221035,155.296387374401,158.594356685877,-1845.22994679213,-1870.1398461163,-874.295835703611,-889.96056714654,,,,,,,-0.0040627121925354,-0.0040319561958313,0.0251551866531372,0.0256615281105042,1.69492375850677,1.69408386945724,-0.0135897994041443,-0.0209800601005554,,,,,,,-112.620790771352,-113.009220012948,-200.748279755728,-201.311960348655,-279.636882599311,-280.199919170457,-349.428350783386,-349.662570702379,,,,,,,-779105.584584366,-797236.391966785,-773587.637031644,-787803.945732807,6598664.416654,6674305.44467295,2502074.69927246,2545198.26173801,,,,,,
"Mohawk Industries, Inc.",Athilon 7 offset,8117,CDO0000652,1708.5,1890.4,2254.2,2169.2,2898.5,2886.6,3345.6,3343.9,3799.5,3787.6,4051.1,4023.9,4299.3,4297.6,,,-2673879.71594757,-2743687.08374822,,,,,,,,,,,59.9203235208988,61.0641777813435,99.2061719298363,100.144224643707,-3270.56719535589,-3324.27029031515,-1474.91126996279,-1499.24323654175,,,,,,,0.00775867700576782,0.00719338655471802,0.0451704263687134,0.0454683303833008,2.28185772895813,2.9381275177002,-0.501864671707153,-0.28063440322876,,,,,,,-116.207210751274,-116.349318954893,-213.038858660084,-213.149839959992,-304.70650311299,-304.919092390897,-390.053905807676,-390.284479424969,,,,,,,-515633.437318708,-524834.853610251,-465671.720895415,-469830.165776827,10733499.8168487,10902138.8731327,3781301.11762046,3841411.36934443,,,,,,
"MARSH & McLENNAN COMPANIES, INC.",Athilon 7 offset,8117,CDO0000652,1586.1,1570.8,1662.6,1739.1,1836,1827.5,2014.5,2007.7,2143.7,2148.8,2249.1,2242.3,2278,2349.4,,,-3022430.10838389,-3097554.31750029,,,,,,,,,,,43.9694241583347,44.6210505366325,70.6165060400963,71.4850845932961,-3587.95165941119,-3641.65833237767,-1588.65116688609,-1612.19473436475,,,,,,,0.0103312134742737,0.0109505653381348,0.0470200777053833,0.0469321012496948,1.73638969659805,1.72193509340286,-0.299858272075653,-0.312396347522736,,,,,,,-116.288867431044,-116.563302315078,-213.811934222711,-213.993619052391,-307.659175031599,-307.772280190942,-396.992542396438,-397.147630373014,,,,,,,-378105.188653654,-382805.305361194,-330273.92178465,-334052.411982409,11662098.6812523,11832314.2360917,4001715.39066258,4059434.35404744,,,,,,
"Nabors Industries, Inc.",Athilon 7 offset,8117,CDO0000652,870.4,901,1514.7,1531.7,1790.1,1796.9,2070.6,2062.1,2334.1,2332.4,2473.5,2470.1,2629.9,2675.8,,,-3024543.91428804,-3096295.98497087,,,,,,,,,,,43.0670014321804,43.9216075539589,69.6832472980022,70.6915456354618,-3599.51638504863,-3652.72332525253,-1597.95377385616,-1620.35155719519,,,,,,,0.0171423554420471,0.01778244972229,0.0483285784721375,0.0484893918037415,1.73518925905228,1.74404144287109,-0.306204080581665,-0.313974499702454,,,,,,,-116.767898807301,-117.01349749048,-214.844958930017,-215.036051772198,-308.889529351011,-309.049924832555,-398.146340413458,-398.327885048924,,,,,,,-368825.695007604,-375355.053014565,-324342.016889959,-328742.762215287,11653086.4371199,11819201.4679557,4013483.5151235,4067883.81635941,,,,,,
NEXT PLC,Athilon 7 offset,8117,CDO0000652,1132.2,1157.7,1485.8,1484.1,1686.4,1749.3,1880.2,1927.8,2077.4,2097.8,2131.8,2174.3,2220.2,2245.7,,,-3066347.87153894,-3120213.54294461,,,,,,,,,,,62.9267709851265,64.8897826373577,81.1996341943741,84.427574723959,-3654.66897878051,-3698.82490253448,-1605.15625503659,-1624.18431377411,,,,,,,0.011744499206543,0.0122141242027283,0.0477551221847534,0.0481351017951965,1.45373874902725,1.6094297170639,-0.369753897190094,-0.348371148109436,,,,,,,-115.764973500632,-116.016704868489,-211.873818103001,-212.105539865918,-304.049232575033,-304.18075128383,-392.376294953422,-392.320256907633,,,,,,,-543573.492761031,-559314.132485608,-383245.249089245,-398045.118375172,12019990.8015838,12159957.1535121,4090859.4012468,4139945.07083662,,,,,,
THE NEW YORK TIMES COMPANY,Athilon 7 offset,8117,CDO0000652,1991.64484496343,1292,2055.3,2101.2,2895.1,2874.7,3323.5,3444.2,3920.2,3935.5,4124.2,4132.7,4360.5,4372.4,,,-2676424.55109334,-2734138.27506685,,,,,,,,,,,60.0182739794254,60.9320939779282,98.5714743435383,100.427258014679,-3274.02429711819,-3320.72374528646,-1475.21717479825,-1503.11019438505,,,,,,,0.0063440203666687,0.0115077495574951,-0.287864148616791,0.0468142032623291,4.04034674167633,2.74964308738709,0.214528739452362,-0.0644943714141846,,,,,,,-116.018615286976,-116.750406342036,-212.904804772481,-213.951294238266,-304.737932274262,-305.782160368132,-390.135996476785,-390.949807155937,,,,,,,-517315.896513401,-521900.487433159,-462983.794324772,-469393.084871169,10743737.3243433,10859769.3903681,3781289.57112532,3844765.15110675,,,,,,
