Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,280565.0787969680000000,0.0000,3.0000,19/08/2010,116.0000000000000000,500.000000000,500.000000000,500.000000000,48.250000000,48.437500000,48.625000000
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,334877.7890681110000000,3.0000,7.0000,19/08/2010,116.0000000000000000,837.341521635,845.636804954,853.932088273,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,212220.9005599750000000,7.0000,10.0000,19/08/2010,116.0000000000000000,279.756182719,287.439106578,295.122030437,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,-405963.6426064680000000,10.0000,15.0000,19/08/2010,116.0000000000000000,84.000000000,89.500000000,95.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,55110.9356074904000000,15.0000,30.0000,19/08/2010,116.0000000000000000,22.000000000,23.500000000,25.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,220712.9638251390000000,0.0000,3.0000,19/08/2010,133.0000000000000000,500.000000000,500.000000000,500.000000000,64.875000000,65.125000000,65.375000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,420460.0126775870000000,3.0000,7.0000,19/08/2010,133.0000000000000000,1095.633040690,1102.599509002,1109.565977314,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,259055.3088233680000000,7.0000,10.0000,19/08/2010,133.0000000000000000,420.365705443,426.491420409,432.617135375,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,128137.1101140040000000,10.0000,15.0000,19/08/2010,133.0000000000000000,165.000000000,169.500000000,174.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,53555.3840420337000000,15.0000,30.0000,19/08/2010,133.0000000000000000,53.000000000,55.000000000,57.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,174793.7694348630000000,0.0000,3.0000,19/08/2010,141.0000000000000000,500.000000000,500.000000000,500.000000000,73.000000000,73.250000000,73.500000000
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,450636.6177836280000000,3.0000,7.0000,19/08/2010,141.0000000000000000,1104.243334896,1109.278696020,1114.314057144,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,375647.1825089310000000,7.0000,10.0000,19/08/2010,141.0000000000000000,603.530018022,607.8437687725,612.157519523,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,228947.8689885800000000,10.0000,15.0000,19/08/2010,141.0000000000000000,270.000000000,273.000000000,276.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,67183.7968797758000000,15.0000,30.0000,19/08/2010,141.0000000000000000,90.000000000,91.500000000,93.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,234827.6957684690000000,0.0000,3.0000,19/08/2010,45.0000000000000000,500.000000000,500.000000000,500.000000000,5.750000000,6.375000000,7.000000000
iTraxx Europe,9,1,3.00000,140.0000000000000000,68171.6654404067000000,3.0000,6.0000,19/08/2010,45.0000000000000000,159.462162865,183.786294089,208.110425313,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,-208707.5534521630000000,6.0000,9.0000,19/08/2010,45.0000000000000000,70.908003056,95.0229501025,119.137897149,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,136.3808490306710000,9.0000,12.0000,19/08/2010,45.0000000000000000,15.000000000,25.000000000,35.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,33339.6685986939000000,12.0000,22.0000,19/08/2010,45.0000000000000000,5.000000000,12.500000000,20.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,338565.8255686450000000,0.0000,3.0000,19/08/2010,95.0000000000000000,500.000000000,500.000000000,500.000000000,34.125000000,34.375000000,34.625000000
iTraxx Europe,9,1,5.00000,165.0000000000000000,229589.7536588620000000,3.0000,6.0000,19/08/2010,95.0000000000000000,563.701777384,572.802031296,581.902285208,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,125759.9052778780000000,6.0000,9.0000,19/08/2010,95.0000000000000000,243.247147865,251.978355886,260.709563907,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,70330.1218016724000000,9.0000,12.0000,19/08/2010,95.0000000000000000,129.000000000,131.000000000,133.000000000,NULL,NULL,NULL
