COB Date,Aggregation Level,Portfolio Name,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
11/10/2009,,,0.56,06/20/2010,0.62,41061.1364564554,-41743.9032938385,-226210.0225271,223059.453985079,USD
11/10/2009,,,0.56,06/20/2010,0.62,-41069.9901550921,41752.9404273708,226258.628989451,-223107.07944,USD
11/10/2009,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.4,03/20/2013,0.56,498581.609078348,-512438.732441991,-875715.09321189,855765.683825981,USD
11/10/2009,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.39,09/20/2013,0.57,530250.779198072,-549530.833467838,-1139425.25278603,1121906.96273889,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.34,12/20/2013,0.48,869056.231997423,-910440.659200883,-1724456.40318364,1704890.14167835,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.34,12/20/2013,0.48,-869910.600580266,911317.934925695,1725575.46440613,-1705985.9338868,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.29,06/20/2016,0.33,-37169.4119630544,37872.7352241525,-151993.282075195,153825.630523314,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.28,06/20/2013,0.33,4550.1615595195,-4037.64537290056,102798.214781899,-103848.206705589,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.29,06/20/2016,0.33,37186.2549138393,-37889.2992185306,152162.97444297,-153996.824469181,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.28,06/20/2013,0.33,-4552.59152573478,4040.29165195004,-102776.774283653,103826.740154611,USD
11/10/2009,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.57,12/20/2016,0.6,4231164.95229066,-4254945.94234453,-1934438.03330037,1852964.85204549,USD
11/10/2009,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.57,12/20/2016,0.6,-4233861.67255324,4257634.22567558,1935400.77527263,-1853876.63019935,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.45,03/20/2013,0.73,-785254.219853176,789191.0306833,860363.661405014,-834190.056618313,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.44,03/20/2013,0.72,550565.01199598,-556728.745920287,-603502.044522239,581772.339699891,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.45,03/20/2013,0.73,-140695.20484379,141400.575936439,154155.265334922,-149464.877820713,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.44,03/20/2013,0.72,514133.330825325,-519888.366695665,-563572.520954965,543279.646968644,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.23,12/20/2016,0.23,-1417.17451562755,1386.81391782674,1980.14209783216,-1937.72085954586,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.23,12/20/2016,0.23,-1889.56602185419,1849.08522476465,2640.18946519786,-2583.62781411899,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.23,12/20/2016,0.23,-763.093963026751,746.745948974703,1066.23035069308,-1043.38814566932,USD
11/10/2009,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.23,12/20/2016,0.23,4069.83449999976,-3982.64509106826,-5686.56191301229,5564.73681863856,USD
