Ccy Code, Business Date, Bid, Mid, Ask
ADP,03/06/2010,137.384200000,137.384200000,137.384200000
AED,03/06/2010,3.672800000,3.673000000,3.673200000
AFA,03/06/2010,42.785000000,42.785000000,42.785000000
ALL,03/06/2010,106.400000000,106.650000000,106.900000000
ANG,03/06/2010,1.790000000,1.790000000,1.790000000
AON,03/06/2010,80.835700000,80.956950000,81.078200000
ARS,03/06/2010,2.850000000,2.851250000,2.852500000
ATS,03/06/2010,11.361820000,11.361820000,11.361820000
AUD,03/06/2010,1.1865211200759373516848599905,1.1864507326333274010796701667,1.1863803535413453553209158856
AWG,03/06/2010,1.790000000,1.790000000,1.790000000
BBD,03/06/2010,2.000000000,2.000000000,2.000000000
BDT,03/06/2010,58.920000000,58.945000000,58.970000000
BEF,03/06/2010,33.308480000,33.308480000,33.308480000
BGL,03/06/2010,1.601300000,1.601700000,1.602100000
BHD,03/06/2010,0.376440000,0.377065000,0.377690000
BIF,03/06/2010,1020.000000000,1060.000000000,1100.000000000
BMD,03/06/2010,1.000000000,1.000000000,1.000000000
BND,03/06/2010,1.676300000,1.676800000,1.677300000
BOB,03/06/2010,7.892000000,7.901000000,7.910000000
BRL,03/06/2010,1.816600000,1.817600000,1.818600000
BSD,03/06/2010,1.000000000,1.000000000,1.000000000
BTN,03/06/2010,43.730000000,43.735000000,43.740000000
BWP,03/06/2010,4.6794571829667758540009358914,4.6728971962616822429906542056,4.6663555762949136724218385441
BZD,03/06/2010,1.980000000,1.980000000,1.980000000
CAD,03/06/2010,1.039000000,1.039100000,1.039200000
CHF,03/06/2010,1.154800000,1.154950000,1.155100000
CLP,03/06/2010,534.700000000,534.950000000,535.200000000
CNY,03/06/2010,6.829500000,6.829800000,6.830100000
COP,03/06/2010,2665.100000000,2666.100000000,2667.100000000
CRC,03/06/2010,428.260000000,428.460000000,428.660000000
CUP,03/06/2010,1.000000000,1.000000000,1.000000000
CVE,03/06/2010,108.950000000,108.950000000,108.950000000
CZK,03/06/2010,20.906500000,20.983000000,21.059500000
DEM,03/06/2010,1.470328000,1.470383000,1.470438000
DJF,03/06/2010,175.000000000,175.000000000,175.000000000
DKK,03/06/2010,6.073000000,6.073850000,6.074700000
DOP,03/06/2010,43.100000000,43.100000000,43.100000000
DZD,03/06/2010,68.920200000,68.920200000,68.920200000
ECS,03/06/2010,25000.000000000,25000.000000000,25000.000000000
EEK,03/06/2010,12.872300000,12.875150000,12.878000000
EGP,03/06/2010,6.180000000,6.189950000,6.199900000
ESP,03/06/2010,137.384200000,137.384200000,137.384200000
ETB,03/06/2010,8.350000000,8.550000000,8.750000000
EUR,03/06/2010,0.8163931749530573924401991999,0.8163265306122448979591836735,0.8162598971512529589421271733
FIM,03/06/2010,4.909364000,4.909364000,4.909364000
FJD,03/06/2010,1.6969285593076531478024775157,1.6897600540723217303142953701,1.6826518593303045599865387851
FKP,03/06/2010,1.829800000,1.829900000,1.830000000
FRF,03/06/2010,5.354400000,5.354700000,5.355000000
GBP,03/06/2010,0.6813845734532570182611065685,0.6813381481229134019213735777,0.6812917291184085025207793977
GHC,03/06/2010,8890.000000000,8975.000000000,9060.000000000
GIP,03/06/2010,0.5465078150617553831019783583,0.5464779496147330455216132029,0.5464480874316939890710382514
GMD,03/06/2010,28.000000000,29.000000000,30.000000000
GNF,03/06/2010,2005.000000000,2012.500000000,2020.000000000
GRD,03/06/2010,281.355800000,281.355800000,281.355800000
GTQ,03/06/2010,8.080000000,8.100000000,8.120000000
GWP,03/06/2010,761.550000000,761.550000000,761.550000000
GYD,03/06/2010,179.000000000,179.000000000,179.000000000
HKD,03/06/2010,7.792000000,7.792250000,7.792500000
HNL,03/06/2010,17.980000000,17.980000000,17.980000000
HRK,03/06/2010,6.218100000,6.221950000,6.225800000
HTG,03/06/2010,29.000000000,29.000000000,29.000000000
HUF,03/06/2010,224.390000000,224.750000000,225.110000000
IDR,03/06/2010,9240.000000000,9250.000000000,9260.000000000
IEP,03/06/2010,0.6502846946393130912713586008,0.6502846946393130912713586008,0.6502846946393130912713586008
ILS,03/06/2010,3.853900000,3.856450000,3.859000000
INR,03/06/2010,46.978800000,46.985050000,46.991300000
IQD,03/06/2010,1424.500000000,1424.500000000,1424.500000000
IRR,03/06/2010,8481.000000000,8482.000000000,8483.000000000
ISK,03/06/2010,127.330000000,127.740000000,128.150000000
ITL,03/06/2010,1598.770000000,1598.770000000,1598.770000000
JMD,03/06/2010,60.370000000,60.370000000,60.370000000
JOD,03/06/2010,0.708000000,0.709000000,0.710000000
JPY,03/06/2010,92.080000000,92.090000000,92.100000000
KES,03/06/2010,77.450000000,77.450000000,77.450000000
KHR,03/06/2010,3850.000000000,3850.000000000,3850.000000000
KMF,03/06/2010,404.778500000,404.828400000,404.878400000
KPW,03/06/2010,2.200000000,2.200000000,2.200000000
KRW,03/06/2010,1203.400000000,1204.125000000,1204.850000000
KWD,03/06/2010,0.289600000,0.290750000,0.291900000
KYD,03/06/2010,0.8333333333333333333333333333,0.8247422680412371134020618557,0.8163265306122448979591836735
KZT,03/06/2010,146.825000000,146.825000000,146.850000000
LAK,03/06/2010,7842.590000000,7842.590000000,7842.590000000
LBP,03/06/2010,1514.000000000,1515.000000000,1516.000000000
LKR,03/06/2010,97.500000000,97.550000000,97.600000000
LRD,03/06/2010,1.000000000,1.000000000,1.000000000
LSL,03/06/2010,6.404900000,6.420000000,6.435100000
LTL,03/06/2010,2.850000000,2.851000000,2.852000000
LUF,03/06/2010,33.308480000,33.308480000,33.308480000
LVL,03/06/2010,0.536800000,0.537300000,0.537800000
LYD,03/06/2010,1.205900000,1.205900000,1.205900000
MAD,03/06/2010,9.044100000,9.058800000,9.073500000
MGF,03/06/2010,6800.000000000,6800.000000000,6800.000000000
MMK,03/06/2010,6.387900000,6.387900000,6.387900000
MNT,03/06/2010,1176.000000000,1176.000000000,1176.000000000
MOP,03/06/2010,8.024500000,8.025000000,8.025500000
MRO,03/06/2010,264.320000000,265.310000000,266.300000000
MTL,03/06/2010,0.349400000,0.349950000,0.350500000
MUR,03/06/2010,26.250000000,26.400000000,26.550000000
MVR,03/06/2010,12.750000000,12.800000000,12.850000000
MWK,03/06/2010,106.500000000,108.250000000,110.000000000
MXN,03/06/2010,12.771000000,12.778250000,12.785500000
MYR,03/06/2010,3.300000000,3.301250000,3.302500000
MZM,03/06/2010,23262.000000000,23379.500000000,23497.000000000
NAD,03/06/2010,6.404900000,6.420000000,6.435100000
NGN,03/06/2010,134.900000000,135.050000000,135.200000000
NIO,03/06/2010,15.650000000,15.650000000,15.650000000
NLG,03/06/2010,1.819594000,1.819594000,1.819594000
NOK,03/06/2010,6.465500000,6.468500000,6.471500000
NPR,03/06/2010,69.840000000,69.920000000,70.000000000
NZD,03/06/2010,1.46584579302257402521254764,1.4654161781946072684642438453,1.4649868151186639320246117785
OMR,03/06/2010,0.384900000,0.384950000,0.385000000
PAB,03/06/2010,1.000000000,1.000000000,1.000000000
PEN,03/06/2010,3.457000000,3.457000000,3.457000000
PGK,03/06/2010,3.2552083333333333333333333333,3.2467532467532467532467532468,3.2383419689119170984455958549
PHP,03/06/2010,46.728000000,46.730000000,46.732000000
PKR,03/06/2010,57.370000000,57.385000000,57.400000000
PLN,03/06/2010,3.336800000,3.345250000,3.353700000
PLZ,03/06/2010,3.869000000,3.870000000,3.871000000
PTE,03/06/2010,165.537100000,165.537100000,165.537100000
PYG,03/06/2010,5870.000000000,5890.000000000,5910.000000000
QAR,03/06/2010,3.640100000,3.640600000,3.641100000
ROL,03/06/2010,33569.200000000,33585.680000000,33602.170000000
RUB,03/06/2010,31.040000000,31.062500000,31.085000000
SAR,03/06/2010,3.750000000,3.750150000,3.750300000
SBD,03/06/2010,7.462600000,7.462600000,7.462600000
SCR,03/06/2010,5.472500000,5.520650000,5.568800000
SDD,03/06/2010,258.810000000,259.455000000,260.100000000
SDP,03/06/2010,2588.100000000,2594.550000000,2601.000000000
SEK,03/06/2010,7.791600000,7.798100000,7.804600000
SGD,03/06/2010,1.402800000,1.403200000,1.403600000
SHP,03/06/2010,0.5465078150617553831019783583,0.5464779496147330455216132029,0.5464480874316939890710382514
SIT,03/06/2010,196.850000000,196.917800000,196.985500000
SKK,03/06/2010,33.120000000,33.145000000,33.170000000
SLL,03/06/2010,2650.000000000,2600.000000000,2550.000000000
SOS,03/06/2010,2620.000000000,2620.000000000,2620.000000000
SRG,03/06/2010,2750.000000000,2750.000000000,2750.000000000
STD,03/06/2010,8700.000000000,8700.000000000,8700.000000000
SVC,03/06/2010,8.747000000,8.752000000,8.757000000
SYP,03/06/2010,43.660600000,43.660600000,43.660600000
SZL,03/06/2010,6.404900000,6.420000000,6.435100000
THB,03/06/2010,32.580000000,32.600000000,32.620000000
TND,03/06/2010,1.251200000,1.253050000,1.254900000
TOP,03/06/2010,1.954700000,1.954700000,1.954700000
TRL,03/06/2010,1577150.000000000,1578825.000000000,1580500.000000000
TTD,03/06/2010,6.150000000,6.150000000,6.150000000
TWD,03/06/2010,32.265000000,32.280000000,32.295000000
TZS,03/06/2010,1100.000000000,1107.500000000,1115.000000000
UAK,03/06/2010,5.333500000,5.334250000,5.335000000
USD,03/06/2010,1.000000000,1.000000000,1.000000000
UYP,03/06/2010,29.635000000,29.660000000,29.685000000
VEB,03/06/2010,1915.200000000,1917.600000000,1920.000000000
VND,03/06/2010,15735.000000000,15737.500000000,15740.000000000
VUV,03/06/2010,110.410000000,110.690000000,110.970000000
WST,03/06/2010,0.359000000,0.364000000,0.369000000
XAF,03/06/2010,539.704600000,539.771200000,539.837900000
XOF,03/06/2010,539.704600000,539.771200000,539.837900000
YUN,03/06/2010,57.586700000,57.766100000,57.945500000
ZAR,03/06/2010,7.640500000,7.662000000,7.683500000
ZMK,03/06/2010,4720.000000000,4770.000000000,4820.000000000
ZWD,03/06/2010,4416.940000000,4416.940000000,4416.940000000
