Ccy Code, Business Date, Bid, Mid, Ask
ADP,13/11/2009,137.384200000,137.384200000,137.384200000
AED,13/11/2009,3.672800000,3.673000000,3.673200000
AFA,13/11/2009,42.785000000,42.785000000,42.785000000
ALL,13/11/2009,106.400000000,106.650000000,106.900000000
ANG,13/11/2009,1.790000000,1.790000000,1.790000000
AON,13/11/2009,80.835700000,80.956950000,81.078200000
ARS,13/11/2009,2.850000000,2.851250000,2.852500000
ATS,13/11/2009,11.361820000,11.361820000,11.361820000
AUD,13/11/2009,1.0808473843493298746217034155,1.0806721780947749500189117631,1.0804970286331712587790383576
AWG,13/11/2009,1.790000000,1.790000000,1.790000000
BBD,13/11/2009,2.000000000,2.000000000,2.000000000
BDT,13/11/2009,58.920000000,58.945000000,58.970000000
BEF,13/11/2009,33.308480000,33.308480000,33.308480000
BGL,13/11/2009,1.601300000,1.601700000,1.602100000
BHD,13/11/2009,0.376440000,0.377065000,0.377690000
BIF,13/11/2009,1020.000000000,1060.000000000,1100.000000000
BMD,13/11/2009,1.000000000,1.000000000,1.000000000
BND,13/11/2009,1.676300000,1.676800000,1.677300000
BOB,13/11/2009,7.892000000,7.901000000,7.910000000
BRL,13/11/2009,1.735449000,1.735899000,1.736350000
BSD,13/11/2009,1.000000000,1.000000000,1.000000000
BTN,13/11/2009,43.730000000,43.735000000,43.740000000
BWP,13/11/2009,4.6794571829667758540009358914,4.6728971962616822429906542056,4.6663555762949136724218385441
BZD,13/11/2009,1.980000000,1.980000000,1.980000000
CAD,13/11/2009,1.054800000,1.055000000,1.055200000
CHF,13/11/2009,1.016535000,1.016697000,1.016860000
CLP,13/11/2009,507.200000000,507.399900000,507.599900000
CNY,13/11/2009,6.826600000,6.826650000,6.826700000
COP,13/11/2009,2665.100000000,2666.100000000,2667.100000000
CRC,13/11/2009,428.260000000,428.460000000,428.660000000
CUP,13/11/2009,1.000000000,1.000000000,1.000000000
CVE,13/11/2009,108.950000000,108.950000000,108.950000000
CZK,13/11/2009,17.161990000,17.184490000,17.206990000
DEM,13/11/2009,1.470328000,1.470383000,1.470438000
DJF,13/11/2009,175.000000000,175.000000000,175.000000000
DKK,13/11/2009,5.007050000,5.007925000,5.008800000
