HEADER|2011-03-03|QUANTIFI|CorrTradingGreeks.txt|2011-03-11 20:14:17|UAT|1|Confidential
20110303|GALC|03-Mar-2011|28|31|1|L_USD_2591_ATHILON4|Basic Materials|SDH|3|3y|0|-42666666.6700799|0|0|-7104.6566242779|-501592.119231668|0.4|-7.90447142271231|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|1|L_USD_2591_ATHILON4|Basic Materials|SDH|2|2y|-1177.84455742331|-42666666.6700799|-5744150.84444024|0|-7104.6566242779|-501592.119231668|0.4|-7.90447142271231|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|1|L_USD_2591_ATHILON4|Basic Materials|SDH|1|1y|4.7377214421583|-42666666.6700799|44733.9695415896|0|-7104.6566242779|-501592.119231668|0.4|-7.90447142271231|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|2|L_USD_2591_ATHILON4|Financials|SDH|3|3y|0|-42666666.6700799|0|0|-7104.6566242779|-4961.01735846712|0.4|-10021.4556088761|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|2|L_USD_2591_ATHILON4|Financials|SDH|2|2y|-1.67508572353412|-42666666.6700799|-40852.2202129501|0|-7104.6566242779|-4961.01735846712|0.4|-10021.4556088761|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|2|L_USD_2591_ATHILON4|Financials|SDH|1|1y|1.21155665265775|-42666666.6700799|35939.7179343227|0|-7104.6566242779|-4961.01735846712|0.4|-10021.4556088761|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|3|L_USD_2591_ATHILON4|Industrials|SDH|3|3y|0|-42666666.6700799|0|0|-7104.6566242779|-518412.287981698|0.4|-4.9089835596822|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|3|L_USD_2591_ATHILON4|Industrials|SDH|2|2y|-1282.49865987819|-42666666.6700799|-6331033.36147357|0|-7104.6566242779|-518412.287981698|0.4|-4.9089835596822|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|3|L_USD_2591_ATHILON4|Industrials|SDH|1|1y|12.8722401695379|-42666666.6700799|122344.66246468|0|-7104.6566242779|-518412.287981698|0.4|-4.9089835596822|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|4|L_USD_2591_ATHILON4|Consumer Services|SDH|3|3y|0|-42666666.6700799|0|0|-7104.6566242779|-442694.775385016|0.4|-41.4829270445342|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|4|L_USD_2591_ATHILON4|Consumer Services|SDH|2|2y|-904.553808635288|-42666666.6700799|-4536326.91216792|0|-7104.6566242779|-442694.775385016|0.4|-41.4829270445342|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|4|L_USD_2591_ATHILON4|Consumer Services|SDH|1|1y|14.9840880080938|-42666666.6700799|143893.964839464|0|-7104.6566242779|-442694.775385016|0.4|-41.4829270445342|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|5|L_USD_2591_ATHILON4|Basic Materials|SDH|3|3y|0|-42666666.6700799|0|0|-7104.6566242779|-525009.075487683|0.4|-4.64230876387623|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|5|L_USD_2591_ATHILON4|Basic Materials|SDH|2|2y|-1315.85275644952|-42666666.6700799|-6409246.39762476|0|-7104.6566242779|-525009.075487683|0.4|-4.64230876387623|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|5|L_USD_2591_ATHILON4|Basic Materials|SDH|1|1y|3.48406942821972|-42666666.6700799|32903.7681526765|0|-7104.6566242779|-525009.075487683|0.4|-4.64230876387623|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|6|L_USD_2591_ATHILON4|Telecommunications|SDH|3|3y|0|-21333333.34004|0|0|-7104.6566242779|-278836.891033572|0.4|-0.0971617319087695|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|6|L_USD_2591_ATHILON4|Telecommunications|SDH|2|2y|-818.187843817549|-21333333.34004|-3968145.02309962|0|-7104.6566242779|-278836.891033572|0.4|-0.0971617319087695|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|6|L_USD_2591_ATHILON4|Telecommunications|SDH|1|1y|-0.190428725924676|-21333333.34004|-1794.80692497015|0|-7104.6566242779|-278836.891033572|0.4|-0.0971617319087695|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|7|L_USD_2591_ATHILON4|Industrials|SDH|3|3y|0|-42666666.6700799|0|0|-7104.6566242779|-537887.385464952|0.4|-2.33528506997155|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|7|L_USD_2591_ATHILON4|Industrials|SDH|2|2y|-1413.10001673073|-42666666.6700799|-6964354.99066923|0|-7104.6566242779|-537887.385464952|0.4|-2.33528506997155|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|7|L_USD_2591_ATHILON4|Industrials|SDH|1|1y|12.4587604320331|-42666666.6700799|118353.370542773|0|-7104.6566242779|-537887.385464952|0.4|-2.33528506997155|850186666.739594|1650186666.80359
20110303|GALC|03-Mar-2011|28|31|8|L_USD_2591_ATHILON4|Telecommunications|SDH|3|3y|0|-42666666.6700799|0|0|-7104.6566242779|-532387.626388838|0.4|-2.92585182929302|850186666.739594|1650186666.80359
