Source,Type,Name,Value
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.1.corr,0.269805089434332
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.1.strike,2.83811643187106
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.2.corr,0.389749193147029
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.2.strike,6.62227167436581
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.3.corr,0.466794758724662
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.3.strike,9.46038810623688
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.4.corr,0.579072368676521
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.4.strike,14.1905821593553
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.5.corr,0.780979710361928
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.5.strike,28.3811643187106
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.1.corr,0.360118002942574
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.1.strike,0.944422121749676
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.2.corr,0.410771027373772
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.2.strike,2.20365161741591
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.3.corr,0.449037418686208
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.3.strike,3.14807373916559
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.4.corr,0.549189256422308
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.4.strike,4.72211060874838
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.5.corr,0.754341499917172
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.5.strike,9.44422121749676
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.1.corr,0.306567362612803
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.1.strike,0.506269053470698
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.2.corr,0.347654985558934
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.2.strike,1.18129445809829
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.3.corr,0.385779078971331
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.3.strike,1.68756351156899
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.4.corr,0.471783213941623
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.4.strike,2.53134526735349
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.5.corr,0.653899195870139
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.5.strike,5.06269053470698
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.1.corr,0.315861433289944
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.1.strike,0.302143581169986
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.2.corr,0.361852784827096
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.2.strike,0.705001689396635
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.3.corr,0.377550749846104
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.3.strike,1.00714527056662
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.4.corr,0.452782045144462
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.4.strike,1.51071790584993
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.5.corr,0.658618166431507
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.5.strike,3.02143581169986
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20110620.1.corr,0.34554844592089
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20110620.1.strike,3.09784991635
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20110620.2.corr,0.398249402692378
