Ccy Code, Business Date, Bid, Mid, Ask
ADP,25/03/2010,137.384200000,137.384200000,137.384200000
AED,25/03/2010,3.672800000,3.673000000,3.673200000
AFA,25/03/2010,42.785000000,42.785000000,42.785000000
ALL,25/03/2010,106.400000000,106.650000000,106.900000000
ANG,25/03/2010,1.790000000,1.790000000,1.790000000
AON,25/03/2010,80.835700000,80.956950000,81.078200000
ARS,25/03/2010,2.850000000,2.851250000,2.852500000
ATS,25/03/2010,11.361820000,11.361820000,11.361820000
AUD,25/03/2010,1.0969723562966213251426064063,1.0967918837400603235536057033,1.0966114705559820155718828819
AWG,25/03/2010,1.790000000,1.790000000,1.790000000
BBD,25/03/2010,2.000000000,2.000000000,2.000000000
BDT,25/03/2010,58.920000000,58.945000000,58.970000000
BEF,25/03/2010,33.308480000,33.308480000,33.308480000
BGL,25/03/2010,1.601300000,1.601700000,1.602100000
BHD,25/03/2010,0.376440000,0.377065000,0.377690000
BIF,25/03/2010,1020.000000000,1060.000000000,1100.000000000
BMD,25/03/2010,1.000000000,1.000000000,1.000000000
BND,25/03/2010,1.676300000,1.676800000,1.677300000
BOB,25/03/2010,7.892000000,7.901000000,7.910000000
BRL,25/03/2010,1.800700000,1.801200000,1.801700000
BSD,25/03/2010,1.000000000,1.000000000,1.000000000
BTN,25/03/2010,43.730000000,43.735000000,43.740000000
BWP,25/03/2010,4.6794571829667758540009358914,4.6728971962616822429906542056,4.6663555762949136724218385441
BZD,25/03/2010,1.980000000,1.980000000,1.980000000
CAD,25/03/2010,1.023400000,1.023600000,1.023800000
CHF,25/03/2010,1.071700000,1.071850000,1.072000000
CLP,25/03/2010,533.100000000,533.350000000,533.600000000
CNY,25/03/2010,6.826600000,6.826700000,6.826700000
COP,25/03/2010,2665.100000000,2666.100000000,2667.100000000
CRC,25/03/2010,428.260000000,428.460000000,428.660000000
CUP,25/03/2010,1.000000000,1.000000000,1.000000000
CVE,25/03/2010,108.950000000,108.950000000,108.950000000
CZK,25/03/2010,18.999000000,19.040000000,19.081000000
DEM,25/03/2010,1.470328000,1.470383000,1.470438000
DJF,25/03/2010,175.000000000,175.000000000,175.000000000
DKK,25/03/2010,5.580200000,5.581200000,5.582200000
DOP,25/03/2010,43.100000000,43.100000000,43.100000000
DZD,25/03/2010,68.920200000,68.920200000,68.920200000
ECS,25/03/2010,25000.000000000,25000.000000000,25000.000000000
EEK,25/03/2010,12.872300000,12.875150000,12.878000000
EGP,25/03/2010,6.180000000,6.189950000,6.199900000
ESP,25/03/2010,137.384200000,137.384200000,137.384200000
ETB,25/03/2010,8.350000000,8.550000000,8.750000000
EUR,25/03/2010,0.7501875468867216804201050263,0.7501312729727702347910884405,0.7500750075007500750075007501
FIM,25/03/2010,4.909364000,4.909364000,4.909364000
FJD,25/03/2010,1.6969285593076531478024775157,1.6897600540723217303142953701,1.6826518593303045599865387851
FKP,25/03/2010,1.829800000,1.829900000,1.830000000
FRF,25/03/2010,4.920500000,4.920500000,4.920500000
GBP,25/03/2010,0.6712760958582264885547425656,0.6711859856366199073763339821,0.6710958996040534192336084827
GHC,25/03/2010,8890.000000000,8975.000000000,9060.000000000
GIP,25/03/2010,0.5465078150617553831019783583,0.5464779496147330455216132029,0.5464480874316939890710382514
GMD,25/03/2010,28.000000000,29.000000000,30.000000000
GNF,25/03/2010,2005.000000000,2012.500000000,2020.000000000
GRD,25/03/2010,281.355800000,281.355800000,281.355800000
GTQ,25/03/2010,8.080000000,8.100000000,8.120000000
GWP,25/03/2010,761.550000000,761.550000000,761.550000000
GYD,25/03/2010,179.000000000,179.000000000,179.000000000
HKD,25/03/2010,7.761100000,7.761250000,7.761400000
HNL,25/03/2010,17.980000000,17.980000000,17.980000000
HRK,25/03/2010,6.218100000,6.221950000,6.225800000
HTG,25/03/2010,29.000000000,29.000000000,29.000000000
HUF,25/03/2010,197.650000000,197.960000000,198.270000000
IDR,25/03/2010,9122.000000000,9127.000000000,9133.000000000
IEP,25/03/2010,0.6502846946393130912713586008,0.6502846946393130912713586008,0.6502846946393130912713586008
ILS,25/03/2010,3.750000000,3.752500000,3.755000000
INR,25/03/2010,45.595000000,45.595000000,45.595000000
IQD,25/03/2010,1424.500000000,1424.500000000,1424.500000000
IRR,25/03/2010,8481.000000000,8482.000000000,8483.000000000
ISK,25/03/2010,129.400000000,129.780000000,130.160000000
ITL,25/03/2010,1598.770000000,1598.770000000,1598.770000000
JMD,25/03/2010,60.370000000,60.370000000,60.370000000
JOD,25/03/2010,0.708000000,0.709000000,0.710000000
JPY,25/03/2010,92.020000000,92.030000000,92.040000000
KES,25/03/2010,77.450000000,77.450000000,77.450000000
KHR,25/03/2010,3850.000000000,3850.000000000,3850.000000000
KMF,25/03/2010,404.778500000,404.828400000,404.878400000
KPW,25/03/2010,2.200000000,2.200000000,2.200000000
KRW,25/03/2010,1139.900000000,1140.300000000,1140.700000000
KWD,25/03/2010,0.288770000,0.289270000,0.289770000
KYD,25/03/2010,0.8333333333333333333333333333,0.8247422680412371134020618557,0.8163265306122448979591836735
KZT,25/03/2010,146.960000000,146.975000000,146.990000000
LAK,25/03/2010,7842.590000000,7842.590000000,7842.590000000
LBP,25/03/2010,1514.000000000,1515.000000000,1516.000000000
LKR,25/03/2010,97.500000000,97.550000000,97.600000000
LRD,25/03/2010,1.000000000,1.000000000,1.000000000
LSL,25/03/2010,6.404900000,6.420000000,6.435100000
LTL,25/03/2010,2.850000000,2.851000000,2.852000000
LUF,25/03/2010,33.308480000,33.308480000,33.308480000
LVL,25/03/2010,0.536800000,0.537300000,0.537800000
LYD,25/03/2010,1.205900000,1.205900000,1.205900000
MAD,25/03/2010,9.044100000,9.058800000,9.073500000
MGF,25/03/2010,6800.000000000,6800.000000000,6800.000000000
MMK,25/03/2010,6.387900000,6.387900000,6.387900000
MNT,25/03/2010,1176.000000000,1176.000000000,1176.000000000
MOP,25/03/2010,8.024500000,8.025000000,8.025500000
MRO,25/03/2010,264.320000000,265.310000000,266.300000000
MTL,25/03/2010,0.349400000,0.349950000,0.350500000
MUR,25/03/2010,26.250000000,26.400000000,26.550000000
MVR,25/03/2010,12.750000000,12.800000000,12.850000000
MWK,25/03/2010,106.500000000,108.250000000,110.000000000
MXN,25/03/2010,12.577000000,12.584500000,12.592000000
MYR,25/03/2010,3.318000000,3.319500000,3.321000000
MZM,25/03/2010,23262.000000000,23379.500000000,23497.000000000
NAD,25/03/2010,6.404900000,6.420000000,6.435100000
NGN,25/03/2010,134.900000000,135.050000000,135.200000000
NIO,25/03/2010,15.650000000,15.650000000,15.650000000
NLG,25/03/2010,1.819594000,1.819594000,1.819594000
NOK,25/03/2010,6.033600000,6.037950000,6.042300000
NPR,25/03/2010,69.840000000,69.920000000,70.000000000
NZD,25/03/2010,1.4220705346985210466439135381,1.4216661927779357406880864373,1.4212620807276861853325753269
OMR,25/03/2010,0.384900000,0.384950000,0.385000000
PAB,25/03/2010,1.000000000,1.000000000,1.000000000
PEN,25/03/2010,3.457000000,3.457000000,3.457000000
PGK,25/03/2010,3.2552083333333333333333333333,3.2467532467532467532467532468,3.2383419689119170984455958549
