Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Today_Size,Today_CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDO0000646,2591,Athilon 4,-800000000.064,-800000000.064,*,2437205.97098276,2285314.91240842,135678.758908219,-24402.5208417738,-670460155.445389,129485.643722138,-24432.1831594191,-639068797.000237,55355957.5833073,55140328.1849933,135679.393505798,129486.736800031,216576.29,215494.58
CDO0000649,3254,Athilon 6,-800000000,-800000000,*,9311054.05479855,8871673.13470189,251064.930434292,-27126.8839744651,-1003441237.29052,241980.287110119,-27154.765787199,-966098161.850275,125076816.767229,123349596.148961,251066.296776081,241982.392707595,125731.274467503,124651.45
CDO0000651,3930,Athilon 7,-799999999.998,-799999999.998,*,17726058.7062927,17434910.7411449,289247.980562689,-28718.5444450121,-1061428736.87038,286909.64408146,-28749.9525751915,-1051644180.58294,219283207.582736,218387014.911797,289249.961710231,286911.761420074,149395.26,148547.21
CDO0000653,3450,CDX6 7-10 7y ECD3450,-10000000.012,-10000000.012,*,2211620.576848,2204469.82699939,18264.6912337515,-59083.9149521401,-37490619.0389887,18395.5496853287,-59148.9825430441,-37713381.5097157,29974844.221656,29875354.3002799,18264.8550076745,18395.6985133346,178160.4,176958.75
CDO0000654,3449,CDX6 7-10 7y ECD3449,10000000.012,10000000.012,*,-435257.921266723,-432671.540152944,-10337.2893320345,-27463.1394881041,45444165.5357074,-10267.0191600796,-27498.2019991705,45077648.1149397,-13814537.3567929,-13809754.3460465,-10337.6004011832,-10267.3439876444,124712.28,123871.125
CDO0000655,3453,CDX6 7-10 7y ECD3453,10000000.012,10000000.012,*,-2195928.40798324,-2188770.65955343,-18282.0154833758,-59083.9149521401,37526083.134175,-18413.0151405127,-59148.9825430441,37749090.3830802,-30001156.1034493,-29901626.7839362,-18282.1794464877,-18413.1641745953,178160.4,176958.75
CDO0000656,8112,CDX6 7-10 7y ECD8112,-10000000.012,-10000000.012,*,438353.256419761,435767.202835225,10335.9569050098,-27463.1394881041,-45438311.8438588,10265.6900332231,-27498.2019991705,-45071816.4941837,13812987.6978032,13808193.2656808,10336.2679490028,10266.0148343352,124712.28,123871.125
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-4941750000,-4941750000,*,120061179.149788,122820336.662214,1994273.38757139,-63951.1385394757,-3707857941.43033,2031326.94055887,-64016.1668972767,-3772981305.00528,428356829.305143,429848544.711804,1994267.80304236,2031316.07021059,163739.4,162877.35
CDO0000658,3816,GNT LSS 1 - GS,4941750000,4941750000,*,-114247955.528724,-117003155.538686,-1995146.78186123,-63951.1385394757,3709480724.46611,-2032224.08337567,-64016.1668972767,3774646536.11629,-428513788.86288,-430007249.612125,-1995141.17524503,-2032213.1894771,163739.4,162877.35
CDO0000659,2743,Nereus 2 BNP,2200000000,2200000000,*,89710.2902457572,293896.899193974,-150060.032768253,-31394.6597427605,741287036.691655,-135633.665253699,-31438.5371747444,669296637.305265,-37889198.1436978,-38396087.9833091,-150060.261198542,-135634.660020591,233923.038587382,232640.887706883
CDO0000660,8271,Nereus 2 Mav1,-1543836733.32,-1543836733.32,*,524334.849083268,382785.950476412,104654.006946163,-31392.6732232668,-516989793.13086,94669.4187682191,-31436.756576291,-467160203.291725,26704776.4458714,26952584.8162023,104654.108010598,94670.098840836,234934.538587382,233617.387706883
CDO0000661,2602,Nereus Dresdner,394033675.68,394033675.68,*,266345.531577625,302949.147757202,-26881.8257078848,-31394.6597427605,132794509.101456,-24297.4828570871,-31438.5371747444,119898133.039436,-6787396.72860421,-6878219.95105901,-26881.8662922362,-24297.6609565071,233923.038587382,232640.887706883
CDO0000662,8269,Nereus Mav1,-1441344840.31,-1441344840.31,*,-39659.1738625002,-171886.167548597,97718.0719409468,-31392.6732232668,-482726332.108465,88395.2157856964,-31436.756576291,-436199217.853909,24934709.1737409,25166130.6089172,97718.1655404636,88395.8505472984,234934.538587382,233617.387706883
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-557142.8622,-351386.2937055,*,-53721.843801183,-54401.560048548,317.000599329653,-63951.1385394757,-614048.323566772,322.82564117388,-64016.1668972767,-624524.960701986,1165892.99496552,1183514.67663271,317.003950751277,322.827305231665,163739.4,162877.35
CDO0000672,4273,CDX7 0-3 10y Zero ECD4273,-742857.15,-468515.058526278,*,-71629.1251068135,-72535.4134371216,422.667466000461,-63951.1385394757,-818731.098529884,430.434188463612,-64016.1668972767,-832699.948051025,1554523.99412442,1578019.56969332,422.671934562628,430.436407207326,163739.4,162877.35
CDO0000673,4280,CDX7 0-3 10y Zero ECD4280,-300000,-189208.002585535,*,-28927.146399606,-29293.1474525573,170.692628858911,-63951.1385394757,-330641.401996286,173.829189823486,-64016.1668972767,-336282.668094811,627788.530052279,637277.127786946,170.694433470538,173.830085854592,163739.4,162877.35
CDO0000674,8268,CDX7 0-3 10y Zero ECD8268,1600000.012,1009109.35469118,*,154278.115288318,156230.120918698,-910.36069407523,-63951.1385394757,1763420.82387251,-927.089019345091,-64016.1668972767,1793507.57662363,-3348205.5187237,-3398811.37368813,-910.370318670648,-927.093798177697,163739.4,162877.35
