Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
iTraxx Europe,9,1,3.00000,140.0000000000000000,360433.1846374170000000,0.0000,3.0000,06/01/2010,30.0000000000000000,500.000000000,500.000000000,500.000000000,3.250000000,4.000000000,4.750000000
iTraxx Europe,9,1,3.00000,140.0000000000000000,122081.9483242120000000,3.0000,6.0000,06/01/2010,30.0000000000000000,115.173172072,142.6608026385,170.148433205,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,-289208.3998204680000000,6.0000,9.0000,06/01/2010,30.0000000000000000,93.275488069,120.390455531,147.505422993,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,619.6845417842190000,9.0000,12.0000,06/01/2010,30.0000000000000000,12.000000000,19.500000000,27.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,8788.7517531135000000,12.0000,22.0000,06/01/2010,30.0000000000000000,5.000000000,10.000000000,15.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,470133.9660244740000000,0.0000,3.0000,06/01/2010,65.0000000000000000,500.000000000,500.000000000,500.000000000,24.625000000,25.125000000,25.625000000
iTraxx Europe,9,1,5.00000,165.0000000000000000,228140.4210641230000000,3.0000,6.0000,06/01/2010,65.0000000000000000,289.427824571,303.950043566,318.472262561,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,171667.2585106770000000,6.0000,9.0000,06/01/2010,65.0000000000000000,181.175492098,195.037427224,208.899362350,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,61968.6299742517000000,9.0000,12.0000,06/01/2010,65.0000000000000000,83.000000000,86.000000000,89.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,44726.0062360399000000,12.0000,22.0000,06/01/2010,65.0000000000000000,31.000000000,34.000000000,37.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,445845.0556548440000000,0.0000,3.0000,06/01/2010,83.0000000000000000,500.000000000,500.000000000,500.000000000,36.500000000,37.000000000,37.500000000
iTraxx Europe,9,1,7.00000,170.0000000000000000,346277.8552226320000000,3.0000,6.0000,06/01/2010,83.0000000000000000,457.016978293,467.7627337195,478.508489146,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,248461.4173636550000000,6.0000,9.0000,06/01/2010,83.0000000000000000,272.817068352,282.6945871195,292.572105887,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,135431.7877438670000000,9.0000,12.0000,06/01/2010,83.0000000000000000,142.000000000,145.500000000,149.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,93287.4779137060000000,12.0000,22.0000,06/01/2010,83.0000000000000000,59.000000000,62.500000000,66.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,432395.8638142200000000,0.0000,3.0000,06/01/2010,92.0000000000000000,500.000000000,500.000000000,500.000000000,44.500000000,45.000000000,45.500000000
iTraxx Europe,9,1,10.00000,175.0000000000000000,493796.0821257930000000,3.0000,6.0000,06/01/2010,92.0000000000000000,605.396290050,613.827993254,622.259696458,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,381343.0864958300000000,6.0000,9.0000,06/01/2010,92.0000000000000000,372.621010040,387.6067735645,402.592537089,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,254445.3354282440000000,9.0000,12.0000,06/01/2010,92.0000000000000000,202.000000000,207.000000000,212.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,128080.4912775760000000,12.0000,22.0000,06/01/2010,92.0000000000000000,79.000000000,82.500000000,86.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,115826.8529913930000000,0.0000,3.0000,06/01/2010,205.0000000000000000,500.000000000,500.000000000,500.000000000,45.000000000,45.000000000,45.000000000
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,120402.2488573380000000,3.0000,7.0000,06/01/2010,205.0000000000000000,950.000000000,950.000000000,950.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,44250.8083938975000000,7.0000,10.0000,06/01/2010,205.0000000000000000,215.000000000,215.000000000,215.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,14534.6312015082000000,10.0000,15.0000,06/01/2010,205.0000000000000000,60.000000000,60.000000000,60.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,4495.5510999707600000,15.0000,30.0000,06/01/2010,205.0000000000000000,15.000000000,15.000000000,15.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,207673.8039607100000000,0.0000,3.0000,06/01/2010,116.0000000000000000,500.000000000,500.000000000,500.000000000,55.625000000,55.750000000,55.875000000
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,329716.5342375120000000,3.0000,7.0000,06/01/2010,116.0000000000000000,784.859018926,789.6871378905,794.515256855,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,156117.8444375420000000,7.0000,10.0000,06/01/2010,116.0000000000000000,220.886293369,225.1803503945,229.474407420,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,79214.2508169214000000,10.0000,15.0000,06/01/2010,116.0000000000000000,87.000000000,91.500000000,96.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,17655.9035902576000000,15.0000,30.0000,06/01/2010,116.0000000000000000,16.000000000,18.000000000,20.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,195369.1816207450000000,0.0000,3.0000,06/01/2010,119.0000000000000000,500.000000000,500.000000000,500.000000000,67.250000000,67.375000000,67.500000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,456708.0331277730000000,3.0000,7.0000,06/01/2010,119.0000000000000000,958.097547830,961.4659121525,964.834276475,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,315698.3277730510000000,7.0000,10.0000,06/01/2010,119.0000000000000000,402.812714383,405.671163960,408.529613537,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,181265.8399285820000000,10.0000,15.0000,06/01/2010,119.0000000000000000,177.000000000,180.000000000,183.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,66418.3605376323000000,15.0000,30.0000,06/01/2010,119.0000000000000000,47.000000000,48.000000000,49.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,156613.8092315760000000,0.0000,3.0000,06/01/2010,126.0000000000000000,500.000000000,500.000000000,500.000000000,72.500000000,72.625000000,72.750000000
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,527861.2834464620000000,3.0000,7.0000,06/01/2010,126.0000000000000000,1082.793226008,1085.4066485465,1088.020071085,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,470857.8817390990000000,7.0000,10.0000,06/01/2010,126.0000000000000000,597.636176772,600.205549845,602.774922918,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,277982.9304108180000000,10.0000,15.0000,06/01/2010,126.0000000000000000,255.000000000,257.000000000,259.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,91772.5062639541000000,15.0000,30.0000,06/01/2010,126.0000000000000000,65.000000000,66.000000000,67.000000000,NULL,NULL,NULL
