Quantifi Trade Id,Trans Id,Trade Id,Description,Pv
CDO0000653,8092,8114,CDX6 7-10 7y ECD3450 ,1081884.67388904
CDO0000654,8093,8116,CDX6 7-10 7y ECD3449 ,13407.6678035829
CDO0000655,8094,8117,CDX6 7-10 7y ECD3453 ,-1070168.6897603
CDO0000656,8095,8118,CDX6 7-10 7y ECD8112 ,-12457.8134461489
CDO0000657,8104,8124,GNT LSS 1 - CDX7 30-60 ,46012647.0562075
CDO0000658,8105,8125,GNT LSS 1 - GS ,-41622592.7841017
CDO0000660,8188,8207,Nereus 2 Mav1 ,-101727.792019088
CDO0000662,8186,8205,Nereus Mav1 ,-107321.781454109
CDO0000671,8099,8121,CDX7 0-3 10y Zero ECD4272 ,-45875.8047709426
CDO0000672,8098,8120,CDX7 0-3 10y Zero ECD4273 ,-61167.7397275266
CDO0000673,8097,8119,CDX7 0-3 10y Zero ECD4280 ,-24702.3561909015
CDO0000674,8101,8122,CDX7 0-3 10y Zero ECD8268 ,131745.900672902
