Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Today_Size,Today_CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDO0000653,3450,CDX6 7-10 7y ECD3450,-10000000.012,-10000000.012,*,1195247.88683803,1086814.44377693,17486.3696271202,-41392.3626408025,-50780127.6844755,12512.1187672681,-41525.1629769017,-36486527.2250131,33402942.6933534,29752027.4013615,17486.735464195,12512.4371217025,187644.396392854,174393.68
CDO0000654,3449,CDX6 7-10 7y ECD3449,10000000.012,10000000.012,*,23874.533661956,12457.7909290882,-303.151700566944,-6186.45464608294,5930671.97720928,-454.582316669422,-6289.91089110019,8752045.39778711,-1728183.70846675,-2046216.96520815,-303.151700566944,-454.582316669422,117277.747745534,108996.05
CDO0000655,3453,CDX6 7-10 7y ECD3453,10000000.012,10000000.012,*,-1183522.08016337,-1075098.34535358,-17495.771599866,-41392.3626408025,50807377.799805,-12519.4478278473,-41525.1629769017,36507832.2599444,-33418702.6942817,-29767102.7348369,-17496.1375982598,-12519.7664125523,187644.396392854,174393.68
CDO0000656,8112,CDX6 7-10 7y ECD8112,-10000000.012,-10000000.012,*,-22924.374386575,-11507.9942938313,303.146767043123,-6186.45464608294,-5930575.23052273,454.572080149018,-6289.91089110019,-8751848.12203811,1728132.85105156,2046154.46350854,303.146767043123,454.572080149018,117277.747745534,108996.05
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-4941750000,-4941750000,*,43920985.2151421,46176244.1911524,1511417.74674057,-46665.3419823738,-3792198531.43595,1547189.0725125,-46857.562798579,-3873740877.3409,79968993.9643711,84357208.5680549,1511404.82208866,1547168.91213034,194552.333500566,173620.89
CDO0000658,3816,GNT LSS 1 - GS,4941750000,4941750000,*,-39530280.3069815,-41784180.0133211,-1511905.76953997,-46665.3419823738,3793423156.73528,-1547694.77650227,-46857.562798579,3875007118.64168,-79989504.1462928,-84379217.9310608,-1511892.75746265,-1547674.52879575,194552.333500566,173620.89
CDO0000660,8271,Nereus 2 Mav1,-222044047.56,-222044047.56,*,-279069.903500343,-101038.483546264,-6366.95862539525,-4036.84094464546,246864047.430947,-4580.09286810459,-4164.48731219715,171939622.882725,-5660614.14950117,379211.461242576,-6366.95862539525,-4580.09286810459,188692.534042345,204043.597414966
CDO0000662,8269,Nereus Mav1,-207303036.24,-207303036.24,*,-272890.041163413,-106677.104935976,-5944.14801487735,-4036.84094464546,230470548.550483,-4275.98867372938,-4164.48731219715,160523354.968114,-5284839.2715998,354049.901523091,-5944.14801487735,-4275.98867372938,188692.534042345,204043.597414966
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-557142.8622,-229000.578243001,*,-29017.6290218825,-45804.5807960148,147.528442426352,-46665.3419823738,-392681.361205021,167.979554395835,-46857.562798579,-451333.736199101,877846.002441794,1291621.58860905,147.528484674298,167.979577972449,194552.333500566,173620.89
CDO0000672,4273,CDX7 0-3 10y Zero ECD4273,-742857.15,-305334.104488412,*,-38690.1720500098,-61072.7744275717,196.704590007721,-46665.3419823738,-523575.148555286,223.972739315047,-46857.562798579,-601778.31525617,1170461.33721931,1722162.11907272,196.704646338315,223.972770750532,194552.333500566,173620.89
CDO0000673,4280,CDX7 0-3 10y Zero ECD4280,-300000,-123308.002550051,*,-15624.8770238032,-24664.0048201347,79.438391354672,-46665.3419823738,-211443.807960367,90.4505284690524,-46857.562798579,-243025.855747435,472686.304716583,695488.541399672,79.4384141035655,90.450541164152,194552.333500566,173620.89
CDO0000674,8268,CDX7 0-3 10y Zero ECD8268,1600000.012,657642.685199258,*,83332.6780852789,131541.360027278,-423.671423735787,-46665.3419823738,1127700.31757971,-482.402822119634,-46857.562798579,1296137.90704069,-2520993.64406256,-3709272.24861779,-423.671545063219,-482.402889826832,194552.333500566,173620.89
