Tenor, CurveName, CurveDate, MarketSet, Type, Label, Maturity Date, Calculated Yield, SortOrder
1D,GBP            ,23-Sep-10,CLOSE,mm,mm_0_1,24-Sep-10,0.0098866000000000,0
1W,GBP            ,23-Sep-10,CLOSE,mm,mm_0_20100930,30-Sep-10,0.0098870000000000,1
1M,GBP            ,23-Sep-10,CLOSE,mm,mm_0_101,25-Oct-10,0.0098885000000000,2
2M,GBP            ,23-Sep-10,CLOSE,mm,mm_0_102,23-Nov-10,0.0099078000000000,3
STUB,GBP            ,23-Sep-10,CLOSE,mm,mm_0_20101215,15-Dec-10,0.0099634000000000,4
FUT1,GBP            ,23-Sep-10,CLOSE,fut,fut_1_103,16-Mar-11,0.0104049000000000,5
FUT2,GBP            ,23-Sep-10,CLOSE,fut,fut_2_103,16-Jun-11,0.0108126000000000,6
FUT3,GBP            ,23-Sep-10,CLOSE,fut,fut_3_103,21-Sep-11,0.0116076000000000,7
FUT4,GBP            ,23-Sep-10,CLOSE,fut,fut_4_103,21-Dec-11,0.0123333000000000,8
FUT5,GBP            ,23-Sep-10,CLOSE,fut,fut_5_103,21-Mar-12,0.0135882000000000,9
FUT6,GBP            ,23-Sep-10,CLOSE,fut,fut_6_103,21-Jun-12,0.0150550000000000,10
FUT7,GBP            ,23-Sep-10,CLOSE,fut,fut_7_103,20-Sep-12,0.0166811000000000,11
FUT8,GBP            ,23-Sep-10,CLOSE,fut,fut_8_103,19-Dec-12,0.0181420000000000,12
FUT9,GBP            ,23-Sep-10,CLOSE,fut,fut_9_103,20-Mar-13,0.0199027000000000,13
FUT10,GBP            ,23-Sep-10,CLOSE,fut,fut_10_103,20-Jun-13,0.0215286000000000,14
FUT11,GBP            ,23-Sep-10,CLOSE,fut,fut_11_103,19-Sep-13,0.0231096000000000,15
FUT12,GBP            ,23-Sep-10,CLOSE,fut,fut_12_103,18-Dec-13,0.0246186000000000,16
4Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1004,23-Sep-14,0.0181250000000000,17
5Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1005,23-Sep-15,0.0207750000000000,18
6Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1006,23-Sep-16,0.0232000000000000,19
7Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1007,25-Sep-17,0.0254145000000000,20
8Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1008,24-Sep-18,0.0273453000000000,21
9Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1009,23-Sep-19,0.0290000000000000,22
10Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1010,23-Sep-20,0.0304000000000000,23
12Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1012,23-Sep-22,0.0325250000000000,24
15Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1015,23-Sep-25,0.0345000000000000,25
20Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1020,23-Sep-30,0.0358000000000000,26
25Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1025,24-Sep-35,0.0362998000000000,27
30Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1030,24-Sep-40,0.0364999000000000,28
40Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1040,23-Sep-50,0.0364250000000000,29
50Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1050,23-Sep-60,0.0364500000000000,30
60Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1060,23-Sep-70,0.0365250000000000,31
70Y,GBP            ,23-Sep-10,CLOSE,swap,swap_0_1070,23-Sep-80,0.0366107000000000,32
1D,EUR_EUR        ,23-Sep-10,CLOSE,mm,mm_0_1,27-Sep-10,0.0106363000000000,0
1W,EUR_EUR        ,23-Sep-10,CLOSE,mm,mm_2_20101004,04-Oct-10,0.0106366000000000,1
1M,EUR_EUR        ,23-Sep-10,CLOSE,mm,mm_2_101,27-Oct-10,0.0106379000000000,2
2M,EUR_EUR        ,23-Sep-10,CLOSE,mm,mm_2_102,29-Nov-10,0.0107071000000000,3
STUB,EUR_EUR        ,23-Sep-10,CLOSE,mm,mm_2_20101215,15-Dec-10,0.0107374000000000,4
FUT1,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_1_103,16-Mar-11,0.0117232000000000,5
FUT2,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_2_103,16-Jun-11,0.0120604000000000,6
FUT3,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_3_103,21-Sep-11,0.0126735000000000,7
FUT4,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_4_103,21-Dec-11,0.0132410000000000,8
FUT5,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_5_103,21-Mar-12,0.0141797000000000,9
FUT6,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_6_103,21-Jun-12,0.0150712000000000,10
FUT7,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_7_103,20-Sep-12,0.0161060000000000,11
FUT8,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_8_103,19-Dec-12,0.0168841000000000,12
FUT9,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_9_103,20-Mar-13,0.0180312000000000,13
FUT10,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_10_103,20-Jun-13,0.0190102000000000,14
FUT11,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_11_103,19-Sep-13,0.0201245000000000,15
FUT12,EUR_EUR        ,23-Sep-10,CLOSE,fut,fut_12_103,18-Dec-13,0.0212245000000000,16
4Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1004,29-Sep-14,0.0172918000000000,17
5Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1005,28-Sep-15,0.0192359000000000,18
6Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1006,27-Sep-16,0.0210100000000000,19
7Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1007,27-Sep-17,0.0226000000000000,20
8Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1008,27-Sep-18,0.0239600000000000,21
9Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1009,27-Sep-19,0.0251000000000000,22
10Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1010,28-Sep-20,0.0261077000000000,23
11Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1011,27-Sep-21,0.0270200000000000,24
12Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1012,27-Sep-22,0.0278300000000000,25
15Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1015,29-Sep-25,0.0294079000000000,26
20Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1020,27-Sep-30,0.0304300000000000,27
25Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1025,27-Sep-35,0.0301600000000000,28
30Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1030,27-Sep-40,0.0292400000000000,29
40Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1040,27-Sep-50,0.0279600000000000,30
50Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1050,27-Sep-60,0.0276800000000000,31
60Y,EUR_EUR        ,23-Sep-10,CLOSE,swap,swap_2_1060,29-Sep-70,0.0272702000000000,32
