Tenor, CurveName, CurveDate, MarketSet, Type, Label, Maturity Date, Calculated Yield, SortOrder
STUB,USD_EOD_CL     ,17-Mar-10,CLOSE,mm,mm_2_20100616,16-Jun-10,0.0025770000000000,0
FUT1,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_1_103,16-Sep-10,0.0036500000000000,1
FUT2,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_2_103,15-Dec-10,0.0052000000000000,2
FUT3,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_3_103,16-Mar-11,0.0079000000000000,3
FUT4,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_4_103,16-Jun-11,0.0113500000000000,4
FUT5,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_5_103,21-Sep-11,0.0150500000000000,5
FUT6,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_6_103,21-Dec-11,0.0187000000000000,6
2Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1002,19-Mar-12,0.0109730000000000,7
3Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1003,19-Mar-13,0.0170290000000000,8
4Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1004,19-Mar-14,0.0220050000000000,9
5Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1005,19-Mar-15,0.0260800000000000,10
6Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1006,21-Mar-16,0.0293920000000000,11
7Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1007,20-Mar-17,0.0319530000000000,12
8Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1008,19-Mar-18,0.0339390000000000,13
9Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1009,19-Mar-19,0.0355760000000000,14
10Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1010,19-Mar-20,0.0369620000000000,15
12Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1012,21-Mar-22,0.0392520000000000,16
15Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1015,19-Mar-25,0.0416620000000000,17
20Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1020,19-Mar-30,0.0433610000000000,18
25Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1025,19-Mar-35,0.0441100000000000,19
30Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1030,19-Mar-40,0.0444600000000000,20
40Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1040,21-Mar-50,0.0444600000000000,21
50Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1050,19-Mar-60,0.0444600000000000,22
1D,GBP            ,17-Mar-10,CLOSE,mm,mm_0_1,18-Mar-10,0.0083445000000000,0
1W,GBP            ,17-Mar-10,CLOSE,mm,mm_0_20100324,24-Mar-10,0.0083448000000000,1
1M,GBP            ,17-Mar-10,CLOSE,mm,mm_0_101,19-Apr-10,0.0083458000000000,2
2M,GBP            ,17-Mar-10,CLOSE,mm,mm_0_102,17-May-10,0.0083512000000000,3
STUB,GBP            ,17-Mar-10,CLOSE,mm,mm_0_20100616,16-Jun-10,0.0083578000000000,4
FUT1,GBP            ,17-Mar-10,CLOSE,fut,fut_1_103,16-Sep-10,0.0090001000000000,5
FUT2,GBP            ,17-Mar-10,CLOSE,fut,fut_2_103,15-Dec-10,0.0104412000000000,6
FUT3,GBP            ,17-Mar-10,CLOSE,fut,fut_3_103,16-Mar-11,0.0131415000000000,7
FUT4,GBP            ,17-Mar-10,CLOSE,fut,fut_4_103,16-Jun-11,0.0165839000000000,8
FUT5,GBP            ,17-Mar-10,CLOSE,fut,fut_5_103,21-Sep-11,0.0202534000000000,9
FUT6,GBP            ,17-Mar-10,CLOSE,fut,fut_6_103,21-Dec-11,0.0238689000000000,10
FUT7,GBP            ,17-Mar-10,CLOSE,fut,fut_7_103,21-Mar-12,0.0272525000000000,11
FUT8,GBP            ,17-Mar-10,CLOSE,fut,fut_8_103,21-Jun-12,0.0300138000000000,12
FUT9,GBP            ,17-Mar-10,CLOSE,fut,fut_9_103,20-Sep-12,0.0323448000000000,13
FUT10,GBP            ,17-Mar-10,CLOSE,fut,fut_10_103,19-Dec-12,0.0343393000000000,14
FUT11,GBP            ,17-Mar-10,CLOSE,fut,fut_11_103,20-Mar-13,0.0362069000000000,15
FUT12,GBP            ,17-Mar-10,CLOSE,fut,fut_12_103,20-Jun-13,0.0376344000000000,16
4Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1004,17-Mar-14,0.0259000000000000,17
5Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1005,17-Mar-15,0.0292500000000000,18
6Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1006,17-Mar-16,0.0319750000000000,19
7Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1007,17-Mar-17,0.0342250000000000,20
8Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1008,19-Mar-18,0.0360661000000000,21
9Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1009,18-Mar-19,0.0375713000000000,22
10Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1010,17-Mar-20,0.0387750000000000,23
12Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1012,17-Mar-22,0.0406000000000000,24
15Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1015,17-Mar-25,0.0423500000000000,25
20Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1020,18-Mar-30,0.0430497000000000,26
25Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1025,19-Mar-35,0.0427003000000000,27
30Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1030,19-Mar-40,0.0421755000000000,28
40Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1040,17-Mar-50,0.0414750000000000,29
50Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1050,17-Mar-60,0.0412000000000000,30
60Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1060,17-Mar-70,0.0412000000000000,31
70Y,GBP            ,17-Mar-10,CLOSE,swap,swap_0_1070,18-Mar-80,0.0412930000000000,32
1D,EUR_EUR        ,17-Mar-10,CLOSE,mm,mm_0_1,19-Mar-10,0.0097575000000000,0
1W,EUR_EUR        ,17-Mar-10,CLOSE,mm,mm_2_20100326,26-Mar-10,0.0097579000000000,1
1M,EUR_EUR        ,17-Mar-10,CLOSE,mm,mm_2_101,19-Apr-10,0.0097594000000000,2
2M,EUR_EUR        ,17-Mar-10,CLOSE,mm,mm_2_102,19-May-10,0.0094504000000000,3
STUB,EUR_EUR        ,17-Mar-10,CLOSE,mm,mm_2_20100616,16-Jun-10,0.0090361000000000,4
FUT1,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_1_103,16-Sep-10,0.0098416000000000,5
FUT2,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_2_103,15-Dec-10,0.0112665000000000,6
FUT3,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_3_103,16-Mar-11,0.0133572000000000,7
FUT4,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_4_103,16-Jun-11,0.0151411000000000,8
FUT5,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_5_103,21-Sep-11,0.0172755000000000,9
FUT6,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_6_103,21-Dec-11,0.0194038000000000,10
FUT7,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_7_103,21-Mar-12,0.0215778000000000,11
FUT8,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_8_103,21-Jun-12,0.0229252000000000,12
FUT9,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_9_103,20-Sep-12,0.0244523000000000,13
FUT10,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_10_103,19-Dec-12,0.0258880000000000,14
FUT11,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_11_103,20-Mar-13,0.0274648000000000,15
FUT12,EUR_EUR        ,17-Mar-10,CLOSE,fut,fut_12_103,20-Jun-13,0.0284912000000000,16
4Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1004,19-Mar-14,0.0215500000000000,17
5Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1005,19-Mar-15,0.0242700000000000,18
6Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1006,21-Mar-16,0.0266597000000000,19
7Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1007,20-Mar-17,0.0286954000000000,20
8Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1008,19-Mar-18,0.0304100000000000,21
9Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1009,19-Mar-19,0.0318100000000000,22
10Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1010,19-Mar-20,0.0330200000000000,23
11Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1011,19-Mar-21,0.0340900000000000,24
12Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1012,21-Mar-22,0.0350156000000000,25
15Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1015,19-Mar-25,0.0369800000000000,26
20Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1020,19-Mar-30,0.0382900000000000,27
25Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1025,19-Mar-35,0.0380700000000000,28
30Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1030,19-Mar-40,0.0373500000000000,29
40Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1040,21-Mar-50,0.0359606000000000,30
50Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1050,19-Mar-60,0.0354100000000000,31
60Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1060,19-Mar-70,0.0348200000000000,32
70Y,EUR_EUR        ,17-Mar-10,CLOSE,swap,swap_2_1070,19-Mar-80,0.0342596000000000,33
1D,JPY_EOD        ,17-Mar-10,CLOSE,mm,mm_0_1,18-Mar-10,0.0043947000000000,0
2D,JPY_EOD        ,17-Mar-10,CLOSE,mm,mm_0_20100319,19-Mar-10,0.0043947000000000,1
1W,JPY_EOD        ,17-Mar-10,CLOSE,mm,mm_2_20100326,26-Mar-10,0.0043949000000000,2
1M,JPY_EOD        ,17-Mar-10,CLOSE,mm,mm_2_101,19-Apr-10,0.0043955000000000,3
2M,JPY_EOD        ,17-Mar-10,CLOSE,mm,mm_2_102,19-May-10,0.0043963000000000,4
3M,JPY_EOD        ,17-Mar-10,CLOSE,mm,mm_2_103,21-Jun-10,0.0043972000000000,5
6M,JPY_EOD        ,17-Mar-10,CLOSE,mm,mm_2_106,21-Sep-10,0.0045000000000000,6
1Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1001,22-Mar-11,0.0044509000000000,7
18M,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_118,20-Sep-11,0.0045330000000000,8
2Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1002,19-Mar-12,0.0045750000000000,9
3Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1003,19-Mar-13,0.0051750000000000,10
4Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1004,19-Mar-14,0.0060500000000000,11
5Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1005,19-Mar-15,0.0071250000000000,12
6Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1006,22-Mar-16,0.0083914000000000,13
7Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1007,21-Mar-17,0.0098183000000000,14
8Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1008,19-Mar-18,0.0112750000000000,15
9Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1009,19-Mar-19,0.0127250000000000,16
10Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1010,19-Mar-20,0.0141250000000000,17
12Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1012,22-Mar-22,0.0164447000000000,18
15Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1015,19-Mar-25,0.0189750000000000,19
20Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1020,19-Mar-30,0.0215500000000000,20
25Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1025,19-Mar-35,0.0225250000000000,21
30Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1030,19-Mar-40,0.0229750000000000,22
40Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1040,21-Mar-50,0.0229750000000000,23
50Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1050,19-Mar-60,0.0229750000000000,24
52Y,JPY_EOD        ,17-Mar-10,CLOSE,swap,swap_2_1052,20-Mar-62,0.0229750000000000,25
STUB,USD_EOD_CL     ,17-Mar-10,CLOSE,mm,mm_2_20100616,16-Jun-10,0.0025410000000000,0
FUT1,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_1_103,16-Sep-10,0.0036500000000000,1
FUT2,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_2_103,15-Dec-10,0.0051000000000000,2
FUT3,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_3_103,16-Mar-11,0.0078500000000000,3
FUT4,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_4_103,16-Jun-11,0.0113000000000000,4
FUT5,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_5_103,21-Sep-11,0.0150500000000000,5
FUT6,USD_EOD_CL     ,17-Mar-10,CLOSE,fut,fut_6_103,21-Dec-11,0.0187000000000000,6
2Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1002,19-Mar-12,0.0109040000000000,7
3Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1003,19-Mar-13,0.0169370000000000,8
4Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1004,19-Mar-14,0.0219090000000000,9
5Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1005,19-Mar-15,0.0259610000000000,10
6Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1006,21-Mar-16,0.0292230000000000,11
7Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1007,20-Mar-17,0.0317460000000000,12
8Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1008,19-Mar-18,0.0337200000000000,13
9Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1009,19-Mar-19,0.0353250000000000,14
10Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1010,19-Mar-20,0.0367300000000000,15
12Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1012,21-Mar-22,0.0390400000000000,16
15Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1015,19-Mar-25,0.0414050000000000,17
20Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1020,19-Mar-30,0.0430800000000000,18
25Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1025,19-Mar-35,0.0438040000000000,19
30Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1030,19-Mar-40,0.0442190000000000,20
40Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1040,21-Mar-50,0.0442290000000000,21
50Y,USD_EOD_CL     ,17-Mar-10,CLOSE,swap,swap_2_1050,19-Mar-60,0.0442290000000000,22
