Date,Maximum Value,Minimum Value,Average Value,Posted 3-Year Fixed Mortgage Rates,,
4/6/2011,8.55,3.95,5.98,4.55,,
4/13/2011,8.55,3.95,5.98,4.55,,
4/20/2011,8.55,3.95,5.98,4.55,,
4/27/2011,8.55,3.95,5.98,4.55,,
5/4/2011,8.55,3.95,5.98,4.55,,
5/11/2011,8.55,3.95,5.98,4.55,,
5/18/2011,8.55,3.95,5.98,4.55,,
5/25/2011,8.55,3.95,5.98,4.55,,
6/1/2011,8.55,3.95,5.98,4.45,,
6/8/2011,8.55,3.95,5.98,4.25,,
6/15/2011,8.55,3.95,5.98,4.25,,
6/22/2011,8.55,3.95,5.98,4.25,,
6/29/2011,8.55,3.95,5.98,4.25,,
7/6/2011,8.55,3.95,5.98,4.45,,
7/13/2011,8.55,3.95,5.98,4.35,,
7/20/2011,8.55,3.95,5.98,4.35,,
7/27/2011,8.55,3.95,5.98,4.35,,
8/3/2011,8.55,3.95,5.98,4.35,,
8/10/2011,8.55,3.95,5.98,4.35,,
8/17/2011,8.55,3.95,5.98,4.35,,
8/24/2011,8.55,3.95,5.98,4.35,,
8/31/2011,8.55,3.95,5.98,4.35,,
9/7/2011,8.55,3.95,5.98,4.35,,
9/14/2011,8.55,3.95,5.98,4.35,,
9/21/2011,8.55,3.95,5.98,4.35,,
9/28/2011,8.55,3.95,5.98,4.35,,
10/5/2011,8.55,3.95,5.98,4.35,,
10/12/2011,8.55,3.95,5.98,4.05,,
10/19/2011,8.55,3.95,5.98,4.05,,
10/26/2011,8.55,3.95,5.98,4.05,,
11/2/2011,8.55,3.95,5.98,4.05,,
11/9/2011,8.55,3.95,5.98,4.05,,
11/16/2011,8.55,3.95,5.98,4.05,,
11/23/2011,8.55,3.95,5.98,4.05,,
11/30/2011,8.55,3.95,5.98,4.05,,
12/7/2011,8.55,3.95,5.98,4.05,,
12/14/2011,8.55,3.95,5.98,4.05,,
12/21/2011,8.55,3.95,5.98,4.05,,
12/28/2011,8.55,3.95,5.98,4.05,,
1/4/2012,8.55,3.95,5.98,4.05,,
1/11/2012,8.55,3.95,5.98,4.05,,
1/18/2012,8.55,3.95,5.98,4.05,,
1/25/2012,8.55,3.95,5.98,4.05,,
2/1/2012,8.55,3.95,5.98,3.95,,
2/8/2012,8.55,3.95,5.98,3.95,,
