Quantifi Trade Id,Trans Id,Trade Id,Description,Pv
CDO0000646,28,31,Athilon 4 ,4016296.51855216
CDO0000649,102,102,Athilon 6 ,8705463.13992144
CDO0000651,144,144,Athilon 7 ,22296033.9084574
CDO0000652,7634,7657,Athilon 7 offset ,-21258118.3692229
CDO0000653,8092,8114,CDX6 7-10 7y ECD3450 ,2499257.99812417
CDO0000654,8093,8116,CDX6 7-10 7y ECD3449 ,-586028.470176082
CDO0000655,8094,8117,CDX6 7-10 7y ECD3453 ,-2482942.69066773
CDO0000656,8095,8118,CDX6 7-10 7y ECD8112 ,589424.01594386
CDO0000657,8104,8124,GNT LSS 1 - CDX7 30-60 ,49289913.9398508
CDO0000658,8105,8125,GNT LSS 1 - GS ,-43279571.4214364
CDO0000659,13,15,Nereus 2 BNP ,-2555790.837887
CDO0000660,8188,8207,Nereus 2 Mav1 ,2351873.85850629
CDO0000661,9,10,Nereus Dresdner ,-179111.159706565
CDO0000662,8186,8205,Nereus Mav1 ,1574988.38335537
CDO0000671,8099,8121,CDX7 0-3 10y Zero ECD4272 ,-46576.5546659022
CDO0000672,8098,8120,CDX7 0-3 10y Zero ECD4273 ,-62102.0729213092
CDO0000673,8097,8119,CDX7 0-3 10y Zero ECD4280 ,-25079.6830539933
CDO0000674,8101,8122,CDX7 0-3 10y Zero ECD8268 ,133758.310624485
CDX0000726,56,56,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y ,12912.6694591136
CDX0000727,7621,7641,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y ,-12912.6694591136
