Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Today_Size,Today_CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDO0000646,2591,Athilon 4,-800000000.064,-800000000.064,*,4016296.51855216,3961628.92282832,115807.592911434,-28406.063309593,-492975961.388657,116060.777001078,-28450.7626865471,-493229959.815084,91851097.4724426,36052666.6233819,115811.316345304,116065.212835134,220215.240000001,220694.46
CDO0000649,3254,Athilon 6,-800000000,-800000000,*,8705463.13992144,8592774.58307717,182509.145249217,-30787.7429351694,-644483328.072175,182610.675049922,-30834.037166339,-643806252.759176,165122647.910049,169324379.622945,182512.076429161,182614.239635994,131726.35,131476.73
CDO0000651,3930,Athilon 7,-799999999.998,-799999999.998,*,22296033.9084574,22540615.2803133,282745.7283992,-32154.4358414153,-928786650.104454,288102.714070155,-32198.0138945488,-944770323.311953,285797443.678291,304874016.953005,282746.265378493,288102.17823015,179860.48,180506.269732005
CDO0000652,8117,Athilon 7 offset,799999999.998,799999999.998,*,-21258118.3692229,-21501899.8364145,-282876.31467375,-32154.4358414153,929215319.03743,-288235.98794432,-32198.0138945488,945207033.619368,-285923659.666276,-304998257.618059,-282876.853353498,-288235.453651742,179860.48,180506.269732005
CDO0000653,3450,CDX6 7-10 7y ECD3450,-10000000.012,-10000000.012,*,2499257.99812417,2534451.58054883,20232.177802931,-63339.3638857232,-38820595.4289026,20263.9500537432,-63542.2775896079,-38760093.3464406,31547465.2036873,39096828.7322832,20232.3499313874,20264.1163314083,174501.6,175313
CDO0000654,3449,CDX6 7-10 7y ECD3449,10000000.012,10000000.012,*,-586028.470176082,-586888.396595067,-10734.8056076407,-31371.4386603318,41376505.627933,-10720.4159588696,-31422.3147485258,41255529.4386519,-17792747.9328056,-20575730.1878805,-10734.9856506029,-10720.6259970192,122151.12,122719.1
CDO0000655,3453,CDX6 7-10 7y ECD3453,10000000.012,10000000.012,*,-2482942.69066773,-2518109.23614382,-20252.5052878728,-63339.3638857232,38859490.0441726,-20284.4097715966,-63542.2775896079,38799117.5467685,-31579087.6423587,-39134029.0814599,-20252.677528766,-20284.5762000677,174501.6,175313
CDO0000656,8112,CDX6 7-10 7y ECD8112,-10000000.012,-10000000.012,*,589424.01594386,590285.836036443,10733.2687710042,-31371.4386603318,-41370587.5206613,10718.8784107088,-31422.3147485258,-41249618.092469,17790409.8286284,20573215.6050805,10733.4487998017,10719.0884273332,122151.12,122719.1
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-4941750000,-4941750000,*,49289913.9398508,50526449.3346806,661824.940897663,-68418.9915538475,-1185095238.86042,671019.024490513,-68653.8028904064,-1197444083.61125,416993954.965397,467773441.197968,661823.788024562,671018.465855148,175581.56,176605
CDO0000658,3816,GNT LSS 1 - GS,4941750000,4941750000,*,-43279571.4214364,-44501917.1311553,-661971.957388183,-68418.9915538475,1185370105.06141,-671169.943255004,-68653.8028904064,1197725104.05566,-417165719.43661,-468001369.422843,-661970.864292878,-671169.443017661,175581.56,176605
CDO0000659,2743,Nereus 2 BNP,2200000000,2200000000,*,-2555790.837887,-2485675.9645724,-148678.31845217,-36570.5557759054,631301227.588171,-149747.610253209,-36621.3712630965,634845552.242549,-89472758.4920957,-107839890.947146,-148695.165174745,-149764.931288896,245951.508023725,245622.461713572
CDO0000660,8271,Nereus 2 Mav1,-1543836733.32,-1543836733.32,*,2351873.85850629,2295583.84308833,104471.702185534,-36569.0216458174,-443593645.635197,105112.626580541,-36620.0814257536,-445615017.989303,62563202.9693711,72687409.473444,104483.247520751,105124.522326659,246642.408023725,246274.161713572
