Source,Type,Name,Value
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.1.corr,0.271000562762156
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.1.strike,2.85305102191424
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.2.corr,0.389870241877221
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.2.strike,6.65711905113322
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.3.corr,0.466232424925622
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.3.strike,9.51017007304745
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.4.corr,0.577858591614243
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.4.strike,14.2652551095712
Model,Base Correlation,CDX.NA.IG.9-V3.20101220.5.corr,0.77774434140475
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20101220.5.strike,28.5305102191424
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.1.corr,0.36304888176938
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.1.strike,0.945412259507771
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.2.corr,0.41294327036794
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.2.strike,2.20596193885147
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.3.corr,0.450815149144791
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.3.strike,3.15137419835924
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.4.corr,0.550611362043474
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.4.strike,4.72706129753885
Model,Base Correlation,CDX.NA.IG.9-V3.20121220.5.corr,0.754215533779754
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20121220.5.strike,9.45412259507771
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.1.corr,0.307033544792805
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.1.strike,0.506376170229789
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.2.corr,0.347495062731627
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.2.strike,1.18154439720284
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.3.corr,0.385345837712518
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.3.strike,1.68792056743263
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.4.corr,0.470997627419688
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.4.strike,2.53188085114894
Model,Base Correlation,CDX.NA.IG.9-V3.20141220.5.corr,0.652208049891749
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20141220.5.strike,5.06376170229789
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.1.corr,0.316336309612156
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.1.strike,0.302216637765173
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.2.corr,0.361932450315178
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.2.strike,0.705172154785405
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.3.corr,0.377367379367613
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.3.strike,1.00738879255058
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.4.corr,0.452266033860154
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.4.strike,1.51108318882587
Model,Base Correlation,CDX.NA.IG.9-V3.20171220.5.corr,0.657045027326816
Model,Base Correlation Strike,CDX.NA.IG.9-V3.20171220.5.strike,3.02216637765173
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20110620.1.corr,0.348991574266304
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20110620.1.strike,2.95212633951201
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20110620.2.corr,0.403686885274474
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20110620.2.strike,5.90425267902402
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20110620.3.corr,0.446589617555883
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20110620.3.strike,8.85637901853603
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20110620.4.corr,0.493909219831426
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20110620.4.strike,11.808505358048
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20110620.5.corr,0.619023143067975
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20110620.5.strike,21.6489264897547
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20130620.1.corr,0.351423355295664
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20130620.1.strike,0.778028275114624
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20130620.2.corr,0.388027708441533
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20130620.2.strike,1.55605655022925
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20130620.3.corr,0.419177799610271
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20130620.3.strike,2.33408482534387
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20130620.4.corr,0.463445767604648
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20130620.4.strike,3.1121131004585
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20130620.5.corr,0.605728888794513
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20130620.5.strike,5.70554068417391
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20150620.1.corr,0.354425916074691
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20150620.1.strike,0.44400498042137
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20150620.2.corr,0.383025605820933
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20150620.2.strike,0.888009960842739
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20150620.3.corr,0.411375122376367
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20150620.3.strike,1.33201494126411
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20150620.4.corr,0.461655791655504
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20150620.4.strike,1.77601992168548
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20150620.5.corr,0.602575843678429
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20150620.5.strike,3.25603652309004
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20180620.1.corr,0.345833386697522
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20180620.1.strike,0.284211367810276
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20180620.2.corr,0.373774055555922
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20180620.2.strike,0.568422735620552
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20180620.3.corr,0.399625858463004
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20180620.3.strike,0.852634103430828
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20180620.4.corr,0.444289327410069
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20180620.4.strike,1.1368454712411
Model,Base Correlation,iTraxx Europe Series 9 Version 1.20180620.5.corr,0.601007741654865
Model,Base Correlation Strike,iTraxx Europe Series 9 Version 1.20180620.5.strike,2.08421669727536
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.1.corr,0.237773689186106
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.1.strike,0.324402804395961
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.2.corr,0.279910755091739
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.2.strike,0.756939876923909
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.3.corr,0.294099053223061
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.3.strike,1.08134268131987
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.4.corr,0.371907493056703
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.4.strike,1.6220140219798
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.5.corr,0.54815737202515
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.5.strike,3.24402804395961
