Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Size,CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDS0001022,1584,MBIA CDS,24500000,24500000,MBIA INS CORP,-7942839.421,-7920990.468,-653.1299129,-176.4392513,3701726.843,-655.4578708,-176.2602393,3718693.867,-1367067.275,-1388913.644,-653.1302734,-655.4582084,44037.58207,43902.95777
CDS0001023,1584,MBIA CDS,-24500000,-24500000,MBIA INS CORP,7942839.421,7920990.468,653.1299129,-176.4392513,-3701726.843,655.4578708,-176.2602393,-3718693.867,1367067.275,1388913.644,653.1302734,655.4582084,44037.58207,43902.95777
CDO0000646,2591,Athilon 4,-1600000000,-1600000000,*,3952754.769,4012762.927,151886.5566,-31034.09716,-588659294.5,152459.4378,-31066.39448,-590229514.3,52696081.99,53322241.81,151886.298,152458.811,206215.1687,206538.2418
CDO0000649,3254,Athilon 6,-1600000000,-1600000000,*,10920169.55,11108946.44,268051.5957,-32860.84859,-880124711.5,271143.8763,-32880.07288,-889398125.7,109608630.9,111419088.8,268052.1971,271142.9742,162474.3748,163346.1006
CDO0000651,3930,Athilon 7,-1600000000,-1600000000,*,29341336.31,30142276.45,416226.9608,-33967.53015,-1281319683,420750.242,-33982.8292,-1294515217,226635235.5,230989186.9,416228.2656,420750.9619,199762.126,200488.6724
CDO0000652,8117,Athilon 7 offset,1600000000,1600000000,*,-28235122.92,-29036285.07,-416419.627,-33967.53015,1281912006,-420945.7175,-33982.8292,1295115800,-226733537.1,-231089754.2,-416420.9314,-420946.4369,199762.126,200488.6724
CDO0000653,3450,CDX6 7-10 7y ECD3450,-20000000.02,-20000000.02,*,4273336.76,4314264.336,25623.11031,-64653.17227,-48160447.57,25533.4395,-64668.90455,-47997542.08,39453019.48,39549076.1,25623.29476,25533.60993,226776.4713,228055.1067
CDO0000654,3449,CDX6 7-10 7y ECD3449,20000000.02,20000000.02,*,-1442127.012,-1488696.173,-19130.3114,-33982.67971,67810215.41,-19325.81222,-34000.92052,68465723.12,-24870268.52,-25309960.23,-19130.463,-19325.95231,158743.5299,159638.5747
CDO0000655,3453,CDX6 7-10 7y ECD3453,20000000.02,20000000.02,*,-4258051.347,-4299027.871,-25653.50177,-64653.17227,48217218.31,-25563.91024,-64668.90455,48054458.38,-39495060.25,-39591658.04,-25653.6864,-25564.08084,226776.4713,228055.1067
CDO0000656,8112,CDX6 7-10 7y ECD8112,-20000000.02,-20000000.02,*,1445689.631,1492251.39,19127.12313,-33982.67971,-67798932.3,19322.5651,-34000.92052,-68454238.68,24866570.57,25306156.18,19127.27471,19322.70517,158743.5299,159638.5747
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-9648460487,-9648460487,*,91129494.93,90156819.55,1898377.847,-69428.70294,-3195019589,1885875.256,-69438.49259,-3171269470,216024752.5,215987755.3,1898332.882,1885830.095,211649.6466,213069.9399
CDO0000658,3816,GNT LSS 1 - GS,9648460487,9648460487,*,-85200685.96,-84228096.92,-1899242.309,-69428.70294,3196473932,-1886733.122,-69438.49259,3172711407,-216115494.1,-216078517.3,-1899197.306,-1886687.925,211649.6466,213069.9399
CDO0000659,2743,Nereus 2 BNP,4400000000,4400000000,*,-2366379.959,-2392396.081,-195606.9165,-39787.64666,757350440.5,-195000.851,-39823.31351,754205694.7,-42756756.38,-43243534.79,-195602.0531,-194995.6611,241224.7868,242899.0727
CDO0000660,8271,Nereus 2 Mav1,-2717152738,-2717152738,*,1841150.501,1856198.826,120356.9274,-39785.94403,-465992136.9,119993.5991,-39821.69452,-464093496.5,26470094.36,26766725.87,120353.8327,119990.3855,241824.905,243521.053
