ReferenceEntityLongName,ProductDescription,TradeTag_ECD Id,Quantifi Trade Id,Today_CDS Spread Quote 1Y,Yesterday_CDS Spread Quote 1Y,Today_CDS Spread Quote 2Y,Yesterday_CDS Spread Quote 2Y,Today_CDS Spread Quote 3Y,Yesterday_CDS Spread Quote 3Y,Today_CDS Spread Quote 4Y,Yesterday_CDS Spread Quote 4Y,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y,Today_CDS Spread Quote 7Y,Yesterday_CDS Spread Quote 7Y,Today_CDS Spread Quote 10Y,Yesterday_CDS Spread Quote 10Y,Today_RecoveryRate,Yesterday_RecoveryRate,Today_JTD,Yesterday_JTD,Today_APCorrelation,Yesterday_APCorrelation,Today_DPCorrelation,Yesterday_DPCorrelation,Today_BaseCorrelationLevelDelta,Yesterday_BaseCorrelationLevelDelta,Today_BaseCorrelationSkewDelta,Yesterday_BaseCorrelationSkewDelta,Today_Theta,Yesterday_Theta,Today_SpreadDelta_1 Years,Yesterday_SpreadDelta_1 Years,Today_SpreadDelta_2 Years,Yesterday_SpreadDelta_2 Years,Today_SpreadDelta_3 Years,Yesterday_SpreadDelta_3 Years,Today_SpreadDelta_4 Years,Yesterday_SpreadDelta_4 Years,Today_SpreadDelta_5 Years,Yesterday_SpreadDelta_5 Years,Today_SpreadDelta_7 Years,Yesterday_SpreadDelta_7 Years,Today_SpreadDelta_10 Years,Yesterday_SpreadDelta_10 Years,Today_SpreadGamma_1 Years,Yesterday_SpreadGamma_1 Years,Today_SpreadGamma_2 Years,Yesterday_SpreadGamma_2 Years,Today_SpreadGamma_3 Years,Yesterday_SpreadGamma_3 Years,Today_SpreadGamma_4 Years,Yesterday_SpreadGamma_4 Years,Today_SpreadGamma_5 Years,Yesterday_SpreadGamma_5 Years,Today_SpreadGamma_7 Years,Yesterday_SpreadGamma_7 Years,Today_SpreadGamma_10 Years,Yesterday_SpreadGamma_10 Years,Today_SpreadHdgeDelta_1 Years,Yesterday_SpreadHdgeDelta_1 Years,Today_SpreadHdgeDelta_2 Years,Yesterday_SpreadHdgeDelta_2 Years,Today_SpreadHdgeDelta_3 Years,Yesterday_SpreadHdgeDelta_3 Years,Today_SpreadHdgeDelta_4 Years,Yesterday_SpreadHdgeDelta_4 Years,Today_SpreadHdgeDelta_5 Years,Yesterday_SpreadHdgeDelta_5 Years,Today_SpreadHdgeDelta_7 Years,Yesterday_SpreadHdgeDelta_7 Years,Today_SpreadHdgeDelta_10 Years,Yesterday_SpreadHdgeDelta_10 Years,Today_SpreadHdgeNotnl_1 Years,Yesterday_SpreadHdgeNotnl_1 Years,Today_SpreadHdgeNotnl_2 Years,Yesterday_SpreadHdgeNotnl_2 Years,Today_SpreadHdgeNotnl_3 Years,Yesterday_SpreadHdgeNotnl_3 Years,Today_SpreadHdgeNotnl_4 Years,Yesterday_SpreadHdgeNotnl_4 Years,Today_SpreadHdgeNotnl_5 Years,Yesterday_SpreadHdgeNotnl_5 Years,Today_SpreadHdgeNotnl_7 Years,Yesterday_SpreadHdgeNotnl_7 Years,Today_SpreadHdgeNotnl_10 Years,Yesterday_SpreadHdgeNotnl_10 Years
MBIA Inc.,Athilon 7 offset,8117,CDO0000652,15650.2,16095.6,16906.5,17513.4,16964.3,17853.4,17093.5,17894.2,17239.7,17933.3,15842.3,16403.3,14880.1,15209.9,,,-548463.678402722,-535303.75688678,,,,,,,,,,,58.0749033689499,59.6726758480072,112.069700241089,114.977461844683,-668.288903325796,-651.595672547817,-341.679280906916,-334.517517328262,,,,,,,-0.00183415412902832,-0.00165760517120361,0.0187109708786011,0.0201740860939026,0.547823965549469,0.582693219184875,-0.0288613438606262,0.0267642736434937,,,,,,,-104.682875672648,-104.645540732023,-181.565240710217,-180.759982502314,-244.859832944169,-242.605550011976,-296.931771497277,-292.921861126394,,,,,,,-554769.851284511,-570236.203383165,-617242.043701279,-636078.075761103,2729271.25404914,2685823.43856376,1150699.63441096,1142002.56697099,,,,,,
MGIC Investment Corporation,Athilon 7 offset,8117,CDO0000652,6626.6,6929.2,7435.8,7740.1,8066.5,8263.7,8311.3,8598.6,8785.6,8911.4,8775.4,8916.5,8610.5,8860.4,,,-1291814.00193143,-1333014.46877062,,,,,,,,,,,70.4326742887497,73.9458717405796,127.727701097727,134.013912349939,-1606.808668226,-1636.81498619914,-755.700076907873,-774.525723099709,,,,,,,-0.00346863269805908,-0.00363367795944214,0.0192164778709412,0.0201104283332825,1.58665734529495,1.56891113519669,0.0175321698188782,0.00711238384246826,,,,,,,-109.98182685509,-110.035335862968,-199.364662195214,-198.91323345994,-279.742759412495,-278.688695839879,-351.294390672391,-349.436165957069,,,,,,,-640402.840203325,-672019.321435686,-640673.726684113,-673730.500574912,5743879.38261767,5873273.69438614,2151187.42847398,2216501.32000036,,,,,,
"Mohawk Industries, Inc.",Athilon 7 offset,8117,CDO0000652,1519.8,1385.5,2114.8,2179.4,2810.1,2913.8,3279.3,3377.9,3672,3836.9,3947.4,4091.9,4221.1,4369,,,-2257942.56324065,-2337119.60770977,,,,,,,,,,,49.8143035173416,52.5024822056293,85.1736011505127,89.6571000814438,-2890.71015617251,-2941.33921730518,-1306.09008562565,-1329.85287684202,,,,,,,0.00601184368133545,0.00731080770492554,0.0370551347732544,0.0158038139343262,2.59119206666946,3.07437860965729,-0.384629964828491,0.257279872894287,,,,,,,-113.144359478849,-113.48074359295,-210.453239336507,-210.73505636542,-302.803093899567,-302.751263392442,-389.01546810493,-388.474677773148,,,,,,,-440272.089097414,-462655.42984062,-404715.087394418,-425449.384776191,9546501.38789962,9715365.62505592,3357424.55689025,3423267.85484483,,,,,,
"MARSH & McLENNAN COMPANIES, INC.",Athilon 7 offset,8117,CDO0000652,1215.5,1322.6,1494.3,1567.4,1620.1,1723.8,1827.5,1904,1994.1,2094.4,2119.9,2199.8,2227,2289.9,,,-2608441.72155184,-2694867.89232236,,,,,,,,,,,35.2938552200794,37.7070587575436,58.7168954610825,62.5399307310581,-3298.93907654285,-3334.79852971435,-1462.6111214757,-1478.38720723987,,,,,,,0.00987726449966431,0.00950318574905396,0.0435380935668945,0.0207732319831848,2.61579942703247,2.4269340634346,-0.0648262500762939,-0.11004763841629,,,,,,,-113.336700315436,-113.520674643796,-211.45723108806,-211.44824515492,-306.190840249483,-305.844097624659,-396.796740703994,-395.967551871865,,,,,,,-311407.118098996,-332160.277199378,-277677.406248785,-295769.447910233,10774127.2529737,10903589.6249563,3686046.2081436,3733606.95908303,,,,,,
"Nabors Industries, Inc.",Athilon 7 offset,8117,CDO0000652,744.6,793.9,1152.6,1200.2,1473.9,1555.5,1747.6,1854.7,1966.9,2106.3,2138.6,2249.1,2388.5,2524.5,,,-2643607.74902707,-2731815.2758038,,,,,,,,,,,33.1044120788574,35.3390381336212,54.4817617535591,57.9688694179058,-3341.58565333486,-3376.55710068345,-1482.18705382943,-1500.15795958042,,,,,,,0.0133039951324463,-0.00896871089935303,0.0472786426544189,0.0239221453666687,2.43440800905228,2.23770898580551,-0.109597623348236,-0.156834483146667,,,,,,,-113.635223892783,-113.857069021347,-212.370770599929,-212.457801603908,-307.655993747585,-307.460872623077,-398.59327197611,-397.881302109858,,,,,,,-291321.748176358,-310380.711864236,-256540.773476749,-272848.862128297,10861435.2434052,10982070.8953196,3718545.08853393,3770365.56285879,,,,,,
NEXT PLC,Athilon 7 offset,8117,CDO0000652,1069.03568505953,1011.5,1256.3,1288.6,1501.1,1536.8,1688.1,1723.8,1871.7,1912.5,1963.5,1997.5,2045.1,2080.8,,,-2643880.26050365,-2747959.09488094,,,,,,,,,,,54.7296678125858,56.5685915350914,75.4140781164169,77.2979420423508,-3368.62286797166,-3419.17772310972,-1483.94090092182,-1505.74882400036,,,,,,,0.00926452875137329,-0.014177680015564,0.0460470914840698,0.0231635570526123,2.46859890222549,2.16426408290863,-0.111847758293152,-0.181888699531555,,,,,,,-112.574431422693,-112.851310472026,-209.014603980306,-209.218865157673,-301.732485785688,-301.748450280832,-390.711573021452,-390.476289305819,,,,,,,-486164.283673683,-501266.589625594,-360807.698028232,-369459.713798261,11164269.7643246,11331218.8345211,3798046.95685414,3856185.03668238,,,,,,
THE NEW YORK TIMES COMPANY,Athilon 7 offset,8117,CDO0000652,1824.02569320308,2434.25007814332,1876.8,2512.07456144162,2533,2585.7,3078.7,3253.8,3626.1,3694.1,3859,3874.3,4037.5,4071.5,,,-2324688.49335897,-2413290.40757906,,,,,,,,,,,47.4123438596725,49.8640409111977,80.1271911263466,85.2237366735935,-2968.59277105331,-3002.70093756914,-1342.71740424633,-1367.10549971461,,,,,,,0.00481998920440674,0.00255239009857178,0.0387955904006958,0.012243926525116,3.26278388500214,2.89811074733734,0.339329838752747,0.0440530180931091,,,,,,,-112.952509868802,-112.817666902922,-210.346141962543,-209.168988571716,-303.351213874351,-301.387813503195,-390.363652885655,-387.831203996676,,,,,,,-419754.673134253,-441987.875481463,-380930.167669132,-407439.636513677,9785992.72156832,9962914.23553961,3439657.85318552,3525001.30372782,,,,,,
"ONEOK, Inc.",Athilon 7 offset,8117,CDO0000652,851.7,837.738024466428,1084.6,987.7,1269.9,1278.4,1380.4,1394,1565.7,1606.5,1684.7,1727.2,1864.9,1922.7,,,-2720012.6232062,-2832708.51418388,,,,,,,,,,,29.5200300514698,30.3652057647705,47.8163577914238,48.5493993461132,-3404.58561110497,-3453.81189110875,-1499.12822327018,-1520.89835938811,,,,,,,0.0122056603431702,-0.00881862640380859,0.0470367670059204,0.023204505443573,1.76788783073425,1.32363909482956,-0.248195111751556,-0.345597326755524,,,,,,,-113.567234650652,-113.829124756419,-212.31568022573,-212.629477595884,-307.980653807843,-308.267003947303,-399.927656604999,-399.972953175043,,,,,,,-259934.391660389,-266761.304101639,-225213.501615078,-228328.639542559,11054543.7481576,11203962.3017816,3748498.50594563,3802503.01255373,,,,,,
Olin Corporation,Athilon 7 offset,8117,CDO0000652,844.9,870.4,1140.7,1186.6,1441.6,1470.5,1786.7,1795.2,2142,2157.3,2352.8,2364.7,2648.6,2669,,,-2646861.16702521,-2755256.48433417,,,,,,,,,,,32.9808964729309,34.2308700680733,54.0457078814507,55.8489133119583,-3341.10575884581,-3393.01368817687,-1485.67211669683,-1508.12818273902,,,,,,,0.0118939876556396,-0.00986003875732422,0.0471241474151611,0.0236797332763672,2.4079133272171,2.07357972860336,-0.114674925804138,-0.191612780094147,,,,,,,-113.571549780855,-113.808310662645,-212.264738884642,-212.381482345792,-307.613059799958,-307.528586907228,-398.521565475636,-398.186867734797,,,,,,,-290397.520651696,-300776.54143854,-254614.629662171,-262965.079135417,10861391.1289025,11033165.1515716,3727959.15052598,3787488.50086003,,,,,,
Packaging Corporation of America,Athilon 7 offset,8117,CDO0000652,929.9,943.5,1280.1,1278.4,1564,1572.5,1927.8,1938,2283.1,2305.2,2568.7,2597.6,2818.6,2816.9,,,-2609416.49191582,-2721155.43818855,,,,,,,,,,,34.8597721457481,35.9568620920181,57.6330955028534,59.0285856425762,-3303.30581524968,-3362.21783390641,-1471.53507348895,-1498.04312112927,,,,,,,0.0130046606063843,-0.0110150575637817,0.0460114479064941,0.0233128666877747,2.61767846345901,2.29428619146347,-0.0665751099586487,-0.143044054508209,,,,,,,-113.517626696114,-113.761745904691,-212.017946466982,-212.198463462407,-307.043294894432,-307.10107631695,-397.512749965641,-397.343573276252,,,,,,,-307086.865364685,-316071.644348202,-271831.212702689,-278176.310419108,10758436.5793932,10948245.0345969,3701856.2891785,3770145.59157791,,,,,,
