Date,Deal Type,TradeId,Trade Name,Currency code,MTM,MTM Difference,Shifted MTM
8/3/2010 0:00,CDS,CDS0001022,,USD,-7942839421,-711008840.8,-8653848262
8/3/2010 0:00,CDS,CDS0001023,,USD,7942839421,711008840.8,8653848262
8/3/2010 0:00,CDO,CDO0000646,Athilon 4,USD,3952754.769,-1848881.969,2103872.799
8/3/2010 0:00,CDO,CDO0000647,Athilon 5,USD,1482269.637,-828162.5547,654107.0826
8/3/2010 0:00,CDO,CDO0000649,Athilon 6,USD,10920169.55,-3400697.779,7519471.772
8/3/2010 0:00,CDO,CDO0000651,Athilon 7,USD,29341336.31,-7902927.548,21438408.76
8/3/2010 0:00,CDO,CDO0000652,Athilon 7 offset,USD,-28235122.92,7906044.046,-20329078.87
8/3/2010 0:00,CDO,CDO0000653,CDX6 7-10 7y ECD3450,USD,4273336.76,-628810.8039,3644525.956
8/3/2010 0:00,CDO,CDO0000654,CDX6 7-10 7y ECD3449,USD,-1442127.012,289938.8162,-1152188.196
8/3/2010 0:00,CDO,CDO0000655,CDX6 7-10 7y ECD3453,USD,-4258051.347,629367.617,-3628683.73
8/3/2010 0:00,CDO,CDO0000656,CDX6 7-10 7y ECD8112,USD,1445689.631,-289900.5027,1155789.128
8/3/2010 0:00,CDO,CDO0000657,GNT LSS 1 - CDX7 30-60,CAD,88962344.42,-23311897.85,65650446.56
8/3/2010 0:00,CDO,CDO0000658,GNT LSS 1 - GS,CAD,-83174528.44,23321022.24,-59853506.2
8/3/2010 0:00,CDO,CDO0000659,Nereus 2 BNP,USD,-2366379.959,2005339.646,-361040.3135
8/3/2010 0:00,CDO,CDO0000660,Nereus 2 Mav1,USD,1841150.501,-1236856.206,604294.2949
8/3/2010 0:00,CDO,CDO0000661,Nereus Dresdner,USD,-119730.5042,359224.8789,239494.3748
8/3/2010 0:00,CDO,CDO0000662,Nereus Mav1,USD,1064877.907,-1128650.683,-63772.77656
8/3/2010 0:00,CDO,CDO0000671,CDX7 0-3 10y Zero ECD4272,USD,-1450.053992,-18205.38669,-19655.44068
8/3/2010 0:00,CDO,CDO0000672,CDX7 0-3 10y Zero ECD4273,USD,-1933.405325,-24273.84894,-26207.25427
8/3/2010 0:00,CDO,CDO0000673,CDX7 0-3 10y Zero ECD4280,USD,-780.7982968,-9802.90044,-10583.69874
8/3/2010 0:00,CDO,CDO0000674,CDX7 0-3 10y Zero ECD8268,USD,4164.257614,52282.13607,56446.39369
8/3/2010 0:00,CDX,CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,USD,-47065.58597,-522.3020645,-47587.88803
8/3/2010 0:00,CDX,CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,USD,47065.58597,522.3020645,47587.88803
