Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Today_Size,Today_CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDO0000646,2591,Athilon 4,-800000000.064,-800000000.064,*,7413787.61943277,,137185.733043236,-31449.0875452829,-527941065.265701,,,,140373603.483532,,137189.00661339,,206171.048882257,
CDO0000649,3254,Athilon 6,-800000000,-800000000,*,13843368.2327759,,216305.505071895,-33360.4387960256,-704044102.130357,,,,236544384.104511,,216304.958913114,,164387.067272992,
CDO0000651,3930,Athilon 7,-799999999.998,-799999999.998,*,39406565.4982652,,359909.437595083,-34378.0313997434,-1104645811.44359,,,,416583591.787103,,359912.336957183,,203187.576462176,
CDO0000652,8117,Athilon 7 offset,799999999.998,799999999.998,*,-38302316.4620898,,-360098.898048427,-34378.0313997434,1105226773.19939,,,,-416803911.657294,,-360101.798762831,,203187.576462176,
CDO0000653,3450,CDX6 7-10 7y ECD3450,-10000000.012,-10000000.012,*,3222382.46531924,,19850.0233521618,-64856.2606186439,-37252195.011613,,,,31887234.2797907,,19850.1591900578,,207419.276126154,
CDO0000654,3449,CDX6 7-10 7y ECD3449,10000000.012,10000000.012,*,-1122438.42723526,,-12330.1813745101,-34235.4396504191,43572520.7473946,,,,-25046626.3723211,,-12330.2524068153,,145193.493288308,
CDO0000655,3453,CDX6 7-10 7y ECD3453,10000000.012,10000000.012,*,-3206384.16080115,,-19872.6197655843,-64856.2606186439,37294470.3790328,,,,-31927057.3893989,,-19872.7556939407,,207419.276126154,
CDO0000656,8112,CDX6 7-10 7y ECD8112,-10000000.012,-10000000.012,*,1126043.76085817,,12328.0413475576,-34235.4396504191,-43564970.5301806,,,,25042291.7856892,,12328.1123724262,,145193.493288308,
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-4941750000,-4941750000,*,4994767.997599,,-377066.279834508,-69707.4168740485,529143120.941952,,,,578279839.275298,,-376700.234410557,,192728.37135575,
CDO0000658,3816,GNT LSS 1 - GS,4941750000,4941750000,*,1083150.4036374,,375211.339814119,-69707.4168740485,-525857045.001619,,,,-578702289.197562,,374845.982595437,,192728.37135575,
CDO0000659,2743,Nereus 2 BNP,2200000000,2200000000,*,-6696798.46111332,,-178381.853490054,-40444.1341926707,685212460.975377,,,,-151804328.556655,,-178396.023576014,,253196.978309042,
CDO0000660,8271,Nereus 2 Mav1,-1543836733.32,-1543836733.32,*,5306502.95467469,,125235.165163261,-40442.3563999846,-481052170.461033,,,,106227142.414311,,125244.866202954,,253858.478309042,
CDO0000661,2602,Nereus Dresdner,394033675.68,394033675.68,*,-894107.148961399,,-31955.9410457282,-40444.1341926707,122751428.185665,,,,-27196335.8243202,,-31958.4797435732,,253196.978309042,
CDO0000662,8269,Nereus Mav1,-1441344840.31,-1441344840.31,*,4270213.24070973,,116936.459701827,-40442.3563999846,-449175491.169961,,,,99191596.9098227,,116945.518404774,,253858.478309042,
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-557142.8622,-351386.2937055,*,-34151.3499496405,,232.563523553193,-69707.4168740485,-417161.230352957,,,,710008.208630639,,232.564778093199,,192728.37135575,
CDO0000672,4273,CDX7 0-3 10y Zero ECD4273,-742857.15,-468515.058526278,*,-45535.1332907062,,310.084698237892,-69707.4168740485,-556214.974103443,,,,946677.612017268,,310.086370957902,,192728.37135575,
CDO0000673,4280,CDX7 0-3 10y Zero ECD4280,-300000,-189208.002585535,*,-18389.1882675046,,125.226511545817,-69707.4168740485,-224625.275843455,,,,382312.108869357,,125.227187067353,,192728.37135575,
CDO0000674,8268,CDX7 0-3 10y Zero ECD8268,1600000.012,1009109.35469118,*,98075.6714955918,,-667.874733253418,-69707.4168740485,1198001.4801501,,,,-2038997.92926239,,-667.878336034969,,192728.37135575,
CDS0001022,1584,MBIA CDS,12250000,12250000,MBIA INS CORP,-4820455.26720421,,-1598.3914664871,-242.380302209705,6594560.08559716,,,,-2529441.9897725,,-1598.3916031366,,19200,
CDS0001023,1584,MBIA CDS,-12250000,-12250000,MBIA INS CORP,4820455.26720421,,1598.3914664871,-242.380302209705,-6594560.08559716,,,,2529441.9897725,,1598.3916031366,,19200,
CDX0000726,2623,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,35000000,33740000,*,-72785.264628705,,-1331.59481319802,-4825.55693697865,33664461.3802341,,,,-20170931.75173,,-1331.59481319802,,111495.288063077,
CDX0000727,8111,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,-35000000,-33740000,*,72785.264628705,,1331.59481319802,-4825.55693697865,-33664461.3802341,,,,20170931.75173,,1331.59481319802,,111495.288063077,
