COB Date,Aggregation Level,Portfolio Name,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
04/12/2010,,,0.96,06/20/2010,1,84776.6139374096,-85980.8402569231,-42531.7854542365,92254.2923552937,USD
04/12/2010,,,0.96,06/20/2010,1,-84782.2979135474,85986.6049722336,42534.6370620373,-92260.4776836762,USD
04/12/2010,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.53,03/20/2013,0.68,240011.77458898,-250167.586465638,-818352.671720407,800036.871059116,USD
04/12/2010,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.51,09/20/2013,0.67,256235.445324681,-271418.376429484,-1014629.66517291,996132.359736818,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.44,12/20/2013,0.57,539443.39729518,-563141.83140272,-1332537.87123931,1313221.36935638,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.44,12/20/2013,0.57,-539869.124257845,563578.494800243,1333295.01048471,-1313960.37650965,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.35,06/20/2016,0.38,-29248.7423805844,29523.4469118878,-137246.500899,138608.305094665,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.44,06/20/2013,0.49,3150.3982914337,-2779.19525468987,69521.0777804303,-69805.110484197,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.35,06/20/2016,0.38,29259.4721836456,-29533.7605226414,137375.373102041,-138737.876538506,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.44,06/20/2013,0.49,-3150.86414274674,2779.7528595982,-69508.5022430808,69792.5642453691,USD
04/12/2010,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.54,12/20/2016,0.56,4102147.16484482,-4104394.21577242,-1515248.84532932,1441831.00640286,USD
04/12/2010,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.54,12/20/2016,0.56,-4104342.16373224,4106568.7952323,1515880.98198242,-1442424.52224438,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.58,03/20/2013,0.81,-395386.782361885,370250.026870629,893769.998254413,-857194.002239404,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.57,03/20/2013,0.81,265775.247546699,-262920.96104115,-618608.549820836,593300.642784419,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.58,03/20/2013,0.81,-70839.7855110612,66335.8767364488,160134.71209926,-153581.081378624,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.57,03/20/2013,0.81,248183.005257793,-245517.362992178,-577665.62617299,554031.6380246,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.33,12/20/2016,0.33,-1739.30427505338,1731.46804221583,2757.76539779351,-2745.34060698582,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.33,12/20/2016,0.33,-2319.07236798657,2308.62405753088,3677.02053237125,-3660.4541446188,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.33,12/20/2016,0.33,-936.548447296995,932.328937345847,1484.9505853331,-1478.26031342047,USD
04/12/2010,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.33,12/20/2016,0.33,4994.92508971258,-4972.42103647101,-7919.73651450791,7884.05506403955,USD
