Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Today_Size,Today_CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDO0000646,2591,Athilon 4,-800000000.064,-800000000.064,*,2285314.91240842,2271702.29511204,129485.643722138,-24432.1831594191,-639068797.000237,128707.59028992,-24530.963451107,-632730069.873478,55140328.1849933,55122183.1245598,129486.736800031,128708.684379869,215494.58,214333.14
CDO0000649,3254,Athilon 6,-800000000,-800000000,*,8871673.13470189,8825095.58281061,241980.287110119,-27154.765787199,-966098161.850275,241025.02530351,-27244.4990693284,-959189126.237286,123349596.148961,122981564.972091,241982.392707595,241026.739765191,124651.45,123789.943688478
CDO0000651,3930,Athilon 7,-799999999.998,-799999999.998,*,17434910.7411449,17439501.8142962,286909.64408146,-28749.9525751915,-1051644180.58294,287516.995705178,-28836.3227448637,-1050765425.04614,218387014.911797,218450791.716235,286911.761420074,287518.970037709,148547.21,147890.12
CDO0000653,3450,CDX6 7-10 7y ECD3450,-10000000.012,-10000000.012,*,2204469.82699939,2190361.91543658,18395.5496853287,-59148.9825430441,-37713381.5097157,18423.2307220774,-59261.1238106341,-37696909.4856072,29875354.3002799,29908893.9443301,18395.6985133346,18423.4006259849,176958.75,176121.8
CDO0000654,3449,CDX6 7-10 7y ECD3449,10000000.012,10000000.012,*,-432671.540152944,-429264.840903524,-10267.0191600796,-27498.2019991705,45077648.1149397,-10251.2224608062,-27603.8996066758,44843156.0640902,-13809754.3460465,-13735003.7561024,-10267.3439876444,-10251.524805809,123871.125,123285.26
CDO0000655,3453,CDX6 7-10 7y ECD3453,10000000.012,10000000.012,*,-2188770.65955343,-2174654.37282301,-18413.0151405127,-59148.9825430441,37749090.3830802,-18440.7189130824,-59261.1238106341,37732596.9935289,-29901626.7839362,-29935159.732731,-18413.1641745953,-18440.8890112422,176958.75,176121.8
CDO0000656,8112,CDX6 7-10 7y ECD8112,-10000000.012,-10000000.012,*,435767.202835225,432360.72305287,10265.6900332231,-27498.2019991705,-45071816.4941837,10249.8958576782,-27603.8996066758,-44837356.5923777,13808193.2656808,13733456.3226515,10266.0148343352,10250.1981779378,123871.125,123285.26
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-4941750000,-4941750000,*,122820336.662214,122953782.918081,2031326.94055887,-64016.1668972767,-3772981305.00528,2044799.1433488,-64131.5225771481,-3791190610.63971,429848544.711804,428247962.348403,2031316.07021059,2044788.78528419,162877.35,162150.6
CDO0000658,3816,GNT LSS 1 - GS,4941750000,4941750000,*,-117003155.538686,-117136086.840552,-2032224.08337567,-64016.1668972767,3774646536.11629,-2045705.1983882,-64131.5225771481,3792869405.54961,-430007249.612125,-428406452.196008,-2032213.1894771,-2045694.81447988,162877.35,162150.6
CDO0000659,2743,Nereus 2 BNP,2200000000,2200000000,*,293896.899193974,296854.437838327,-135633.665253699,-31438.5371747444,669296637.305265,-134859.464466587,-31566.1673446326,662852899.982107,-38396087.9833091,-38742719.9943208,-135634.660020591,-134859.321354969,232640.887706883,231919.504230686
CDO0000660,8271,Nereus 2 Mav1,-1543836733.32,-1543836733.32,*,382785.950476412,383676.349794269,94669.4187682191,-31436.756576291,-467160203.291725,94161.1561314118,-31564.0779518657,-462823687.70229,26952584.8162023,27230656.0312802,94670.098840836,94161.0488764864,233617.387706883,232859.604230686
CDO0000661,2602,Nereus Dresdner,394033675.68,394033675.68,*,302949.147757202,303475.289132692,-24297.4828570871,-31438.5371747444,119898133.039436,-24158.806969021,-31566.1673446326,118743871.938924,-6878219.95105901,-6940324.69054724,-24297.6609565071,-24158.7812858773,232640.887706883,231919.504230686
CDO0000662,8269,Nereus Mav1,-1441344840.31,-1441344840.31,*,-171886.167548597,-171021.933860384,88395.2157856964,-31436.756576291,-436199217.853909,87920.6691453551,-31564.0779518657,-432150257.152041,25166130.6089172,25425791.6561091,88395.8505472984,87920.5688910616,233617.387706883,232859.604230686
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-557142.8622,-351386.2937055,*,-54401.560048548,-54618.2835502974,322.82564117388,-64016.1668972767,-624524.960701986,323.805609330709,-64131.5225771481,-625236.006099347,1183514.67663271,1189223.99924503,322.827305231665,323.807705803345,162877.35,162150.6
CDO0000672,4273,CDX7 0-3 10y Zero ECD4273,-742857.15,-468515.058526278,*,-72535.4134371216,-72824.3781062763,430.434188463612,-64016.1668972767,-832699.948051025,431.740812673421,-64131.5225771481,-833648.00858135,1578019.56969332,1585631.99984718,430.436407207326,431.743607970272,162877.35,162150.6
CDO0000673,4280,CDX7 0-3 10y Zero ECD4280,-300000,-189208.002585535,*,-29293.1474525573,-29409.8447216708,173.829189823486,-64016.1668972767,-336282.668094811,174.356864980065,-64131.5225771481,-336665.538689915,637277.127786946,640351.378396443,173.830085854592,174.357993849937,162877.35,162150.6
CDO0000674,8268,CDX7 0-3 10y Zero ECD8268,1600000.012,1009109.35469118,*,156230.120918698,156852.506358638,-927.089019345091,-64016.1668972767,1793507.57662363,-929.903286867957,-64131.5225771481,1795549.55314617,-3398811.37368813,-3415207.37706175,-927.093798177697,-929.909307507315,162877.35,162150.6
