Ccy Code, Business Date, Bid, Mid, Ask
ADP,01/10/2009,137.384200000,137.384200000,137.384200000
AED,01/10/2009,3.672800000,3.673000000,3.673200000
AFA,01/10/2009,42.785000000,42.785000000,42.785000000
ALL,01/10/2009,106.400000000,106.650000000,106.900000000
ANG,01/10/2009,1.790000000,1.790000000,1.790000000
AON,01/10/2009,80.835700000,80.956950000,81.078200000
ARS,01/10/2009,2.850000000,2.851250000,2.852500000
ATS,01/10/2009,11.361820000,11.361820000,11.361820000
AUD,01/10/2009,1.1317338162064282480760525124,1.1315929433864050423781557298,1.1314521056323685818379308004
AWG,01/10/2009,1.790000000,1.790000000,1.790000000
BBD,01/10/2009,2.000000000,2.000000000,2.000000000
BDT,01/10/2009,58.920000000,58.945000000,58.970000000
BEF,01/10/2009,33.308480000,33.308480000,33.308480000
BGL,01/10/2009,1.601300000,1.601700000,1.602100000
BHD,01/10/2009,0.376440000,0.377065000,0.377690000
BIF,01/10/2009,1020.000000000,1060.000000000,1100.000000000
BMD,01/10/2009,1.000000000,1.000000000,1.000000000
BND,01/10/2009,1.676300000,1.676800000,1.677300000
BOB,01/10/2009,7.892000000,7.901000000,7.910000000
BRL,01/10/2009,1.766250000,1.766974000,1.767699000
BSD,01/10/2009,1.000000000,1.000000000,1.000000000
BTN,01/10/2009,43.730000000,43.735000000,43.740000000
BWP,01/10/2009,4.6794571829667758540009358914,4.6728971962616822429906542056,4.6663555762949136724218385441
BZD,01/10/2009,1.980000000,1.980000000,1.980000000
CAD,01/10/2009,1.068500000,1.068749000,1.068999000
CHF,01/10/2009,1.034699000,1.034900000,1.035100000
CLP,01/10/2009,549.500000000,549.700000000,549.899900000
CNY,01/10/2009,6.826300000,6.826400000,6.826500000
COP,01/10/2009,2665.100000000,2666.100000000,2667.100000000
CRC,01/10/2009,428.260000000,428.460000000,428.660000000
CUP,01/10/2009,1.000000000,1.000000000,1.000000000
CVE,01/10/2009,108.950000000,108.950000000,108.950000000
CZK,01/10/2009,17.226000000,17.234500000,17.243000000
DEM,01/10/2009,1.470328000,1.470383000,1.470438000
DJF,01/10/2009,175.000000000,175.000000000,175.000000000
DKK,01/10/2009,5.080250000,5.081287000,5.082325000
DOP,01/10/2009,43.100000000,43.100000000,43.100000000
DZD,01/10/2009,68.920200000,68.920200000,68.920200000
ECS,01/10/2009,25000.000000000,25000.000000000,25000.000000000
EEK,01/10/2009,12.872300000,12.875150000,12.878000000
EGP,01/10/2009,6.180000000,6.189950000,6.199900000
ESP,01/10/2009,137.384200000,137.384200000,137.384200000
ETB,01/10/2009,8.350000000,8.550000000,8.750000000
EUR,01/10/2009,0.6826381232912714476365361576,0.6825696289278469296652951568,0.6825011483081820285162629786
FIM,01/10/2009,4.909364000,4.909364000,4.909364000
FJD,01/10/2009,1.6969285593076531478024775157,1.6897600540723217303142953701,1.6826518593303045599865387851
FKP,01/10/2009,1.829800000,1.829900000,1.830000000
FRF,01/10/2009,4.476208000,4.476330000,4.476452000
GBP,01/10/2009,0.6250550829791875409020419925,0.6249886720803185442263858968,0.6249218847644044494438195226
GHC,01/10/2009,8890.000000000,8975.000000000,9060.000000000
GIP,01/10/2009,0.5465078150617553831019783583,0.5464779496147330455216132029,0.5464480874316939890710382514
GMD,01/10/2009,28.000000000,29.000000000,30.000000000
GNF,01/10/2009,2005.000000000,2012.500000000,2020.000000000
GRD,01/10/2009,281.355800000,281.355800000,281.355800000
GTQ,01/10/2009,8.080000000,8.100000000,8.120000000
GWP,01/10/2009,761.550000000,761.550000000,761.550000000
GYD,01/10/2009,179.000000000,179.000000000,179.000000000
HKD,01/10/2009,7.749840000,7.750050000,7.750259000
HNL,01/10/2009,17.980000000,17.980000000,17.980000000
HRK,01/10/2009,6.218100000,6.221950000,6.225800000
HTG,01/10/2009,29.000000000,29.000000000,29.000000000
HUF,01/10/2009,183.385000000,183.730000000,184.075000000
IDR,01/10/2009,9660.000000000,9665.000000000,9670.000000000
