Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,351271.4989688820000000,0.0000,3.0000,09/11/2010,103.0000000000000000,500.000000000,500.000000000,500.000000000,54.875000000,55.125000000,55.375000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,411311.8223581620000000,3.0000,7.0000,09/11/2010,103.0000000000000000,722.345747637,731.031128404,739.716509171,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,232767.7108868280000000,7.0000,10.0000,09/11/2010,103.0000000000000000,274.574549149,282.512065024,290.449580899,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,116273.7199688290000000,10.0000,15.0000,09/11/2010,103.0000000000000000,109.000000000,115.500000000,122.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,51650.2164753341000000,15.0000,30.0000,09/11/2010,103.0000000000000000,41.000000000,43.500000000,46.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,258971.3475492420000000,0.0000,3.0000,09/11/2010,122.0000000000000000,500.000000000,500.000000000,500.000000000,68.125000000,68.375000000,68.625000000
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,482685.6770458350000000,3.0000,7.0000,09/11/2010,122.0000000000000000,885.473235065,891.5341349875,897.595034910,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,379718.7937168540000000,7.0000,10.0000,09/11/2010,122.0000000000000000,491.599462365,496.8497983865,502.100134408,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,205649.4806706690000000,10.0000,15.0000,09/11/2010,122.0000000000000000,207.000000000,211.000000000,215.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,95938.8289864845000000,15.0000,30.0000,09/11/2010,122.0000000000000000,75.000000000,76.500000000,78.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,189086.3396497720000000,0.0000,3.0000,09/11/2010,30.0000000000000000,500.000000000,500.000000000,500.000000000,1.750000000,2.375000000,3.000000000
iTraxx Europe,9,1,3.00000,140.0000000000000000,29002.6121673309000000,3.0000,6.0000,09/11/2010,30.0000000000000000,66.246056782,66.246056782,66.246056782,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,15044.5131613229000000,6.0000,9.0000,09/11/2010,30.0000000000000000,29.938271604,29.938271604,29.938271604,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,7294.1499886662100000,9.0000,12.0000,09/11/2010,30.0000000000000000,6.000000000,13.500000000,21.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,-40646.1781452064000000,12.0000,22.0000,09/11/2010,30.0000000000000000,2.000000000,7.500000000,13.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,361086.6419905050000000,0.0000,3.0000,09/11/2010,75.0000000000000000,500.000000000,500.000000000,500.000000000,24.625000000,24.875000000,25.125000000
iTraxx Europe,9,1,5.00000,165.0000000000000000,194919.9935038610000000,3.0000,6.0000,09/11/2010,75.0000000000000000,390.087929656,400.079936051,410.071942446,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,63516.7323381832000000,6.0000,9.0000,09/11/2010,75.0000000000000000,99.000000000,101.000000000,103.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,44175.6696426469000000,9.0000,12.0000,09/11/2010,75.0000000000000000,85.000000000,88.000000000,91.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,23223.1232609492000000,12.0000,22.0000,09/11/2010,75.0000000000000000,39.000000000,41.000000000,43.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,325120.0572096970000000,0.0000,3.0000,09/11/2010,106.0000000000000000,500.000000000,500.000000000,500.000000000,40.625000000,40.875000000,41.125000000
iTraxx Europe,9,1,7.00000,170.0000000000000000,293324.0517115110000000,3.0000,6.0000,09/11/2010,106.0000000000000000,626.887843525,633.077494429,639.267145333,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,190757.4631616470000000,6.0000,9.0000,09/11/2010,106.0000000000000000,347.292504138,353.204067155,359.115630172,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,143991.3615643550000000,9.0000,12.0000,09/11/2010,106.0000000000000000,193.000000000,195.500000000,198.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,85332.4346241280000000,12.0000,22.0000,09/11/2010,106.0000000000000000,89.000000000,91.000000000,93.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,298628.2463829150000000,0.0000,3.0000,09/11/2010,122.0000000000000000,500.000000000,500.000000000,500.000000000,51.750000000,52.000000000,52.250000000
iTraxx Europe,9,1,10.00000,175.0000000000000000,391136.6529845210000000,3.0000,6.0000,09/11/2010,122.0000000000000000,765.064499028,769.4822406785,773.899982329,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,283180.1484635430000000,6.0000,9.0000,09/11/2010,122.0000000000000000,452.757678083,456.777616980,460.797555877,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,264376.6917526620000000,9.0000,12.0000,09/11/2010,122.0000000000000000,285.000000000,288.000000000,291.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,140659.3288143920000000,12.0000,22.0000,09/11/2010,122.0000000000000000,125.000000000,127.000000000,129.000000000,NULL,NULL,NULL
