Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,208508.4811331850000000,0.0000,3.0000,03/09/2010,139.0000000000000000,500.000000000,500.000000000,500.000000000,66.000000000,66.250000000,66.500000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,414820.9524168830000000,3.0000,7.0000,03/09/2010,139.0000000000000000,1154.848021343,1161.8144896555,1168.780957968,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,256941.9911185640000000,7.0000,10.0000,03/09/2010,139.0000000000000000,444.868565306,450.994280272,457.119995238,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,120442.1164685240000000,10.0000,15.0000,03/09/2010,139.0000000000000000,165.000000000,170.000000000,175.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,51028.7677510194000000,15.0000,30.0000,03/09/2010,139.0000000000000000,59.000000000,60.500000000,62.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,163355.7481342270000000,0.0000,3.0000,03/09/2010,147.0000000000000000,500.000000000,500.000000000,500.000000000,74.500000000,74.750000000,75.000000000
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,452585.8864846690000000,3.0000,7.0000,03/09/2010,147.0000000000000000,1182.291432320,1187.326793444,1192.362154568,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,378856.4288289550000000,7.0000,10.0000,03/09/2010,147.0000000000000000,640.196899404,644.510650155,648.824400906,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,224850.8847952740000000,10.0000,15.0000,03/09/2010,147.0000000000000000,270.000000000,273.000000000,276.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,70798.0317159596000000,15.0000,30.0000,03/09/2010,147.0000000000000000,95.000000000,96.500000000,98.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,205808.2765290900000000,0.0000,3.0000,03/09/2010,50.0000000000000000,500.000000000,500.000000000,500.000000000,6.000000000,6.625000000,7.250000000
iTraxx Europe,9,1,3.00000,140.0000000000000000,61045.6615629936000000,3.0000,6.0000,03/09/2010,50.0000000000000000,183.786294089,208.110425313,232.434556537,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,38742.4263874059000000,6.0000,9.0000,03/09/2010,50.0000000000000000,95.022950102,107.0804236255,119.137897149,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,13169.8136877893000000,9.0000,12.0000,03/09/2010,50.0000000000000000,22.000000000,29.500000000,37.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,-46252.2318431363000000,12.0000,22.0000,03/09/2010,50.0000000000000000,7.000000000,14.500000000,22.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,316409.3657120450000000,0.0000,3.0000,03/09/2010,100.0000000000000000,500.000000000,500.000000000,500.000000000,34.500000000,34.750000000,35.000000000
iTraxx Europe,9,1,5.00000,165.0000000000000000,205671.6599251260000000,3.0000,6.0000,03/09/2010,100.0000000000000000,550.051396516,556.876586950,563.701777384,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,104573.8342580960000000,6.0000,9.0000,03/09/2010,100.0000000000000000,230.150335834,238.881543855,247.612751876,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,77702.4188732008000000,9.0000,12.0000,03/09/2010,100.0000000000000000,137.000000000,139.000000000,141.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,36629.3425615627000000,12.0000,22.0000,03/09/2010,100.0000000000000000,56.000000000,57.500000000,59.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,294132.0113880890000000,0.0000,3.0000,03/09/2010,121.0000000000000000,500.000000000,500.000000000,500.000000000,48.500000000,48.750000000,49.000000000
iTraxx Europe,9,1,7.00000,170.0000000000000000,311828.2618320030000000,3.0000,6.0000,03/09/2010,121.0000000000000000,768.643831359,774.749372981,780.854914603,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,200237.0719336470000000,6.0000,9.0000,03/09/2010,121.0000000000000000,399.296313407,404.9703884585,410.644463510,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,157357.3397943540000000,9.0000,12.0000,03/09/2010,121.0000000000000000,227.000000000,229.500000000,232.000000000,NULL,NULL,NULL
