COB Date,Aggregation Level,Portfolio Name,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
11/11/2010,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.46,03/20/2013,0.61,239761.462115587,-243178.482481996,-518521.234013807,502829.680354457,USD
11/11/2010,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.45,09/20/2013,0.61,306569.940150267,-315765.322240352,-743371.909862137,726221.957004122,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.41,12/20/2013,0.55,527509.041063973,-545944.489120005,-1056496.1485904,1036052.62822829,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.41,12/20/2013,0.55,-527799.642407212,546240.349206066,1056973.42316517,-1036516.08957116,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.34,06/20/2016,0.37,-26544.3010270557,26755.2215767007,-138792.298089436,140166.745811802,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.36,06/20/2013,0.4,-4256.97216239131,4754.74948409075,54941.9573900965,-54850.371880199,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.34,06/20/2016,0.37,26549.4221447367,-26759.8909123153,138903.962612789,-140278.852320723,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.36,06/20/2013,0.4,4255.79179856092,-4753.50448921796,-54935.1297872877,54843.6248136324,USD
11/11/2010,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.55,12/20/2016,0.55,4061516.27519226,-4056700.83507603,-1217576.86555704,1152091.37123081,USD
11/11/2010,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.55,12/20/2016,0.55,-4063417.17720212,4058579.39429167,1218011.77887771,-1152497.87605745,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.5,03/20/2013,0.77,-271018.676339125,279586.640272632,524602.984543536,-499733.356999897,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.5,03/20/2013,0.76,193271.916832592,-199039.663628625,-363232.806879692,346027.554453121,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.5,03/20/2013,0.77,-48551.4929506764,50086.4371739619,93983.9458549815,-89528.3381240232,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.5,03/20/2013,0.76,180465.349628544,-185850.723181602,-339173.722985693,323107.727395598,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.28,12/20/2016,0.28,-2082.60796389102,2072.11901158788,3302.09283238356,-3285.46200468121,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.28,12/20/2016,0.28,-2776.81062001656,2762.82535027151,4402.79044554879,-4380.6160086004,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.28,12/20/2016,0.28,-1121.40427807011,1115.75638072737,1778.04997052885,-1769.09490953963,USD
11/11/2010,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.28,12/20/2016,0.28,5980.82286123009,-5950.70074184292,-9482.9332472759,9435.17292164182,USD
