Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
iTraxx Europe,9,1,3.00000,140.0000000000000000,228319.9329321990000000,0.0000,3.0000,24/08/2010,50.0000000000000000,500.000000000,500.000000000,500.000000000,6.750000000,7.375000000,8.000000000
iTraxx Europe,9,1,3.00000,140.0000000000000000,77825.6823535384000000,3.0000,6.0000,24/08/2010,50.0000000000000000,183.786294089,232.434556537,281.082818985,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,-203066.4049965230000000,6.0000,9.0000,24/08/2010,50.0000000000000000,95.022950102,107.0804236255,119.137897149,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,239.5513874329610000,9.0000,12.0000,24/08/2010,50.0000000000000000,18.000000000,25.500000000,33.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,14856.1898835450000000,12.0000,22.0000,24/08/2010,50.0000000000000000,7.000000000,14.500000000,22.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,325120.3837134180000000,0.0000,3.0000,24/08/2010,100.0000000000000000,500.000000000,500.000000000,500.000000000,35.750000000,36.000000000,36.250000000
iTraxx Europe,9,1,5.00000,165.0000000000000000,223543.8010269600000000,3.0000,6.0000,24/08/2010,100.0000000000000000,586.452412164,593.277602598,600.102793032,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,120368.4630601610000000,6.0000,9.0000,24/08/2010,100.0000000000000000,256.343959896,262.8923659115,269.440771927,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,77611.6590922212000000,9.0000,12.0000,24/08/2010,100.0000000000000000,139.000000000,141.000000000,143.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,40863.5583547445000000,12.0000,22.0000,24/08/2010,100.0000000000000000,56.000000000,57.500000000,59.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,296768.2530518860000000,0.0000,3.0000,24/08/2010,121.0000000000000000,500.000000000,500.000000000,500.000000000,49.625000000,49.875000000,50.125000000
iTraxx Europe,9,1,7.00000,170.0000000000000000,327174.1675412590000000,3.0000,6.0000,24/08/2010,121.0000000000000000,799.171539468,805.277081090,811.382622712,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,216492.7178913700000000,6.0000,9.0000,24/08/2010,121.0000000000000000,419.155576088,424.829651140,430.503726192,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,157535.4435757220000000,9.0000,12.0000,24/08/2010,121.0000000000000000,227.000000000,229.500000000,232.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,63690.7500462680000000,12.0000,22.0000,24/08/2010,121.0000000000000000,100.000000000,102.000000000,104.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,277992.3110926670000000,0.0000,3.0000,24/08/2010,127.0000000000000000,500.000000000,500.000000000,500.000000000,58.625000000,58.875000000,59.125000000
iTraxx Europe,9,1,10.00000,175.0000000000000000,427759.8953855270000000,3.0000,6.0000,24/08/2010,127.0000000000000000,870.929775873,875.4810614665,880.032347060,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,328073.5189704990000000,6.0000,9.0000,24/08/2010,127.0000000000000000,497.087769584,501.1514349365,505.215100289,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,243996.0797265900000000,9.0000,12.0000,24/08/2010,127.0000000000000000,297.000000000,300.000000000,303.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,131665.0500510090000000,12.0000,22.0000,24/08/2010,127.0000000000000000,122.000000000,125.000000000,128.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,270760.9185155820000000,0.0000,3.0000,24/08/2010,122.0000000000000000,500.000000000,500.000000000,500.000000000,50.625000000,50.812500000,51.000000000
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,342192.2415216940000000,3.0000,7.0000,24/08/2010,122.0000000000000000,903.703788186,911.999071505,920.294354824,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,227838.2171158870000000,7.0000,10.0000,24/08/2010,122.0000000000000000,305.365928915,313.0488527735,320.731776632,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,-412852.7386082850000000,10.0000,15.0000,24/08/2010,122.0000000000000000,84.000000000,89.500000000,95.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,57300.4237832553000000,15.0000,30.0000,24/08/2010,122.0000000000000000,23.000000000,24.500000000,26.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,208870.2989590480000000,0.0000,3.0000,24/08/2010,138.0000000000000000,500.000000000,500.000000000,500.000000000,66.375000000,66.625000000,66.875000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,421609.1630084740000000,3.0000,7.0000,24/08/2010,138.0000000000000000,1161.814489655,1168.7809579675,1175.747426280,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,260118.7353118500000000,7.0000,10.0000,24/08/2010,138.0000000000000000,441.805707823,447.931422789,454.057137755,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,126935.7011987180000000,10.0000,15.0000,24/08/2010,138.0000000000000000,171.000000000,175.500000000,180.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,53681.2351184146000000,15.0000,30.0000,24/08/2010,138.0000000000000000,58.000000000,59.500000000,61.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,163681.6933350860000000,0.0000,3.0000,24/08/2010,146.0000000000000000,500.000000000,500.000000000,500.000000000,74.000000000,74.250000000,74.500000000
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,448074.8277954300000000,3.0000,7.0000,24/08/2010,146.0000000000000000,1164.667668385,1169.7030295095,1174.738390634,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,377400.3164112030000000,7.0000,10.0000,24/08/2010,146.0000000000000000,635.883148653,640.196899404,644.510650155,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,233246.1849298010000000,10.0000,15.0000,24/08/2010,146.0000000000000000,283.000000000,286.000000000,289.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,71591.8220008878000000,15.0000,30.0000,24/08/2010,146.0000000000000000,95.000000000,96.500000000,98.000000000,NULL,NULL,NULL
