Source,Type,Name,Value
Model,Base Correlation,CDX.NA.IG.9-V4.20121220.0.corr,0.367201996031221
Model,Base Correlation Strike,CDX.NA.IG.9-V4.20121220.0.strike,0.993728068988734
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.1.corr,0.213544286928018
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.1.strike,0.345311180449
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.2.corr,0.258338136173492
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.2.strike,0.805726087714334
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.3.corr,0.280880179889567
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.3.strike,1.15103726816333
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.4.corr,0.371202162896833
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.4.strike,1.726555902245
Model,Base Correlation,Dow Jones CDX.NA.IG.7-V5.20161220.5.corr,0.578374123612066
Model,Base Correlation Strike,Dow Jones CDX.NA.IG.7-V5.20161220.5.strike,3.45311180449
