ReferenceEntityLongName,ProductDescription,TradeTag_ECD Id,Quantifi Trade Id,Today_CDS Spread Quote 1Y,Yesterday_CDS Spread Quote 1Y,Today_CDS Spread Quote 2Y,Yesterday_CDS Spread Quote 2Y,Today_CDS Spread Quote 3Y,Yesterday_CDS Spread Quote 3Y,Today_CDS Spread Quote 4Y,Yesterday_CDS Spread Quote 4Y,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y,Today_CDS Spread Quote 7Y,Yesterday_CDS Spread Quote 7Y,Today_CDS Spread Quote 10Y,Yesterday_CDS Spread Quote 10Y,Today_RecoveryRate,Yesterday_RecoveryRate,Today_JTD,Yesterday_JTD,Today_APCorrelation,Yesterday_APCorrelation,Today_DPCorrelation,Yesterday_DPCorrelation,Today_BaseCorrelationLevelDelta,Yesterday_BaseCorrelationLevelDelta,Today_BaseCorrelationSkewDelta,Yesterday_BaseCorrelationSkewDelta,Today_Theta,Yesterday_Theta,Today_SpreadDelta_1 Years,Yesterday_SpreadDelta_1 Years,Today_SpreadDelta_2 Years,Yesterday_SpreadDelta_2 Years,Today_SpreadDelta_3 Years,Yesterday_SpreadDelta_3 Years,Today_SpreadDelta_4 Years,Yesterday_SpreadDelta_4 Years,Today_SpreadDelta_5 Years,Yesterday_SpreadDelta_5 Years,Today_SpreadDelta_7 Years,Yesterday_SpreadDelta_7 Years,Today_SpreadDelta_10 Years,Yesterday_SpreadDelta_10 Years,Today_SpreadGamma_1 Years,Yesterday_SpreadGamma_1 Years,Today_SpreadGamma_2 Years,Yesterday_SpreadGamma_2 Years,Today_SpreadGamma_3 Years,Yesterday_SpreadGamma_3 Years,Today_SpreadGamma_4 Years,Yesterday_SpreadGamma_4 Years,Today_SpreadGamma_5 Years,Yesterday_SpreadGamma_5 Years,Today_SpreadGamma_7 Years,Yesterday_SpreadGamma_7 Years,Today_SpreadGamma_10 Years,Yesterday_SpreadGamma_10 Years,Today_SpreadHdgeDelta_1 Years,Yesterday_SpreadHdgeDelta_1 Years,Today_SpreadHdgeDelta_2 Years,Yesterday_SpreadHdgeDelta_2 Years,Today_SpreadHdgeDelta_3 Years,Yesterday_SpreadHdgeDelta_3 Years,Today_SpreadHdgeDelta_4 Years,Yesterday_SpreadHdgeDelta_4 Years,Today_SpreadHdgeDelta_5 Years,Yesterday_SpreadHdgeDelta_5 Years,Today_SpreadHdgeDelta_7 Years,Yesterday_SpreadHdgeDelta_7 Years,Today_SpreadHdgeDelta_10 Years,Yesterday_SpreadHdgeDelta_10 Years,Today_SpreadHdgeNotnl_1 Years,Yesterday_SpreadHdgeNotnl_1 Years,Today_SpreadHdgeNotnl_2 Years,Yesterday_SpreadHdgeNotnl_2 Years,Today_SpreadHdgeNotnl_3 Years,Yesterday_SpreadHdgeNotnl_3 Years,Today_SpreadHdgeNotnl_4 Years,Yesterday_SpreadHdgeNotnl_4 Years,Today_SpreadHdgeNotnl_5 Years,Yesterday_SpreadHdgeNotnl_5 Years,Today_SpreadHdgeNotnl_7 Years,Yesterday_SpreadHdgeNotnl_7 Years,Today_SpreadHdgeNotnl_10 Years,Yesterday_SpreadHdgeNotnl_10 Years
,Athilon 4,2591,CDO0000646,,,,,,,,,,,,,,,,,,,0.52336901643544,0.527167256873688,0.702109795559882,0.70691822088788,389702.637683867,378777.308195323,-477767.753720557,-482331.276778442,-31447.548565805,-31248.9573393743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 5,2643,CDO0000647,,,,,,,,,,,,,,,,,,,0.543726901851381,0.545952269249819,0.704216173032965,0.707343866442003,185569.918785324,181401.773580143,-251100.616116147,-257006.469829342,-14358.2000934193,-14127.978636154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 6,3254,CDO0000649,,,,,,,,,,,,,,,,,,,0.470393507783127,0.472535262800933,0.665048589927477,0.669042827297473,489302.89116153,478003.880966873,-641762.108726696,-641958.696338679,-36760.1130155511,-36243.3468338791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 7,3930,CDO0000651,,,,,,,,,,,,,,,,,,,0.418497267342507,0.421133709720692,0.555832479996537,0.560825704342414,933928.134670949,911709.36646506,-797227.208267742,-790881.437083706,-81227.3281744793,-79701.2542321682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 7 offset,8117,CDO0000652,,,,,,,,,,,,,,,,,,,0.418497267342507,0.421133709720692,0.555832479996537,0.560825704342414,-934529.194237922,-912292.805220034,797622.980907235,791273.455870809,81319.0596592799,79792.0374331772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3450,3450,CDO0000653,,,,,,,,,,,,,,,,,,,0.308391324245645,0.308628363419565,0.324676819725855,0.325884600854521,-48023.3411516353,-47205.4607813668,-123160.327550067,-122973.970677866,-2164.29145030491,-2168.27750336099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3449,3449,CDO0000654,,,,,,,,,,,,,,,,,,,0.408291004277238,0.409939653441799,0.44704879334132,0.448989995811469,2384.40391258251,2170.47146225556,67393.0234721806,66608.1976909568,2620.71559138619,2571.87441884214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3453,3453,CDO0000655,,,,,,,,,,,,,,,,,,,0.308391324245645,0.308628363419565,0.324676819725855,0.325884600854521,48040.5753256833,47221.9344307001,123282.810944487,123095.087933971,2169.84976475872,2173.76309424639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD8112,8112,CDO0000656,,,,,,,,,,,,,,,,,,,0.408291004277238,0.409939653441799,0.44704879334132,0.448989995811469,-2385.73154160166,-2171.79092225784,-67382.0161574693,-66597.3852931023,-2620.00890183495,-2571.18175165658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNT LSS 1 - CDX7 30-60,3815,CDO0000657,,,,,,,,,,,,,,,,,,,0.620909205361363,0.626318013948164,0.923561208263676,0.92567712080668,4058143.73929734,4042648.27884895,604.325127435671,-101740.676882169,-85230.373153165,-85873.0058193207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
