Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,163531.6587031160000000,0.0000,3.0000,30/06/2010,211.0000000000000000,500.000000000,500.000000000,500.000000000,30.000000000,30.000000000,30.000000000
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,-100689.4177024830000000,3.0000,7.0000,30/06/2010,211.0000000000000000,830.000000000,830.000000000,830.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,965.7139319885210000,7.0000,10.0000,30/06/2010,211.0000000000000000,160.000000000,160.000000000,160.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,30028.4031301978000000,10.0000,15.0000,30/06/2010,211.0000000000000000,40.000000000,40.000000000,40.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,3853.8068733381000000,15.0000,30.0000,30/06/2010,211.0000000000000000,18.000000000,18.000000000,18.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,188455.9149362810000000,0.0000,3.0000,30/06/2010,141.0000000000000000,500.000000000,500.000000000,500.000000000,50.625000000,50.875000000,51.125000000
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,251306.2128523810000000,3.0000,7.0000,30/06/2010,141.0000000000000000,1034.786085565,1044.7820871645,1054.778088764,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,164663.5928872710000000,7.0000,10.0000,30/06/2010,141.0000000000000000,419.536530415,431.6060508525,443.675571290,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,63953.8837387122000000,10.0000,15.0000,30/06/2010,141.0000000000000000,126.000000000,131.000000000,136.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,18423.7342469432000000,15.0000,30.0000,30/06/2010,141.0000000000000000,31.000000000,33.000000000,35.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,180919.4583776080000000,0.0000,3.0000,30/06/2010,148.0000000000000000,500.000000000,500.000000000,500.000000000,67.750000000,68.000000000,68.250000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,439146.1715581190000000,3.0000,7.0000,30/06/2010,148.0000000000000000,1412.408759124,1420.3427483335,1428.276737543,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,282143.0024094220000000,7.0000,10.0000,30/06/2010,148.0000000000000000,527.259510540,533.317179549,539.374848558,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,146081.8478830110000000,10.0000,15.0000,30/06/2010,148.0000000000000000,209.000000000,213.500000000,218.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,49871.6555957894000000,15.0000,30.0000,30/06/2010,148.0000000000000000,62.000000000,63.500000000,65.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,149685.3574180610000000,0.0000,3.0000,30/06/2010,153.0000000000000000,500.000000000,500.000000000,500.000000000,74.375000000,74.625000000,74.875000000
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,500218.8819103640000000,3.0000,7.0000,30/06/2010,153.0000000000000000,1465.849156118,1472.441983122,1479.034810126,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,411445.9353201210000000,7.0000,10.0000,30/06/2010,153.0000000000000000,719.679412900,724.507531865,729.335650830,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,250850.7949770160000000,10.0000,15.0000,30/06/2010,153.0000000000000000,303.000000000,306.500000000,310.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,85540.8831045779000000,15.0000,30.0000,30/06/2010,153.0000000000000000,96.000000000,97.500000000,99.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,206725.4233124150000000,0.0000,3.0000,30/06/2010,80.0000000000000000,500.000000000,500.000000000,500.000000000,13.880000000,14.255000000,14.630000000
iTraxx Europe,9,1,3.00000,140.0000000000000000,71412.6493251718000000,3.0000,6.0000,30/06/2010,80.0000000000000000,310.000000000,340.000000000,370.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,34187.1705135777000000,6.0000,9.0000,30/06/2010,80.0000000000000000,105.000000000,135.000000000,165.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,12971.1101197897000000,9.0000,12.0000,30/06/2010,80.0000000000000000,30.000000000,45.000000000,60.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,3.00000,140.0000000000000000,6804.2828972447700000,12.0000,22.0000,30/06/2010,80.0000000000000000,15.000000000,22.500000000,30.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,249093.5988350630000000,0.0000,3.0000,30/06/2010,125.0000000000000000,500.000000000,500.000000000,500.000000000,41.500000000,41.750000000,42.000000000
iTraxx Europe,9,1,5.00000,165.0000000000000000,212225.3302385760000000,3.0000,6.0000,30/06/2010,125.0000000000000000,776.412776412,782.2481572475,788.083538083,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,134672.6783578800000000,6.0000,9.0000,30/06/2010,125.0000000000000000,384.823848238,389.8373983735,394.850948509,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,72519.6204416800000000,9.0000,12.0000,30/06/2010,125.0000000000000000,199.000000000,201.000000000,203.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,5.00000,165.0000000000000000,19234.4652824383000000,12.0000,22.0000,30/06/2010,125.0000000000000000,78.000000000,79.500000000,81.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,240597.7918202700000000,0.0000,3.0000,30/06/2010,137.0000000000000000,500.000000000,500.000000000,500.000000000,52.880000000,53.130000000,53.380000000
iTraxx Europe,9,1,7.00000,170.0000000000000000,308593.5959273870000000,3.0000,6.0000,30/06/2010,137.0000000000000000,942.252165543,946.703561116,951.154956689,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,226871.8459424480000000,6.0000,9.0000,30/06/2010,137.0000000000000000,504.639602319,508.471416735,512.303231151,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,108186.9407213890000000,9.0000,12.0000,30/06/2010,137.0000000000000000,260.500000000,262.500000000,264.500000000,NULL,NULL,NULL
iTraxx Europe,9,1,7.00000,170.0000000000000000,49449.3745327063000000,12.0000,22.0000,30/06/2010,137.0000000000000000,122.000000000,124.000000000,126.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,230325.7235081770000000,0.0000,3.0000,30/06/2010,138.0000000000000000,500.000000000,500.000000000,500.000000000,60.880000000,61.130000000,61.380000000
iTraxx Europe,9,1,10.00000,175.0000000000000000,410119.2411368670000000,3.0000,6.0000,30/06/2010,138.0000000000000000,1015.186689881,1018.765718707,1022.344747533,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,330949.7224741160000000,6.0000,9.0000,30/06/2010,138.0000000000000000,579.191985547,582.312366562,585.432747577,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,204963.9386708730000000,9.0000,12.0000,30/06/2010,138.0000000000000000,335.000000000,337.000000000,339.000000000,NULL,NULL,NULL
iTraxx Europe,9,1,10.00000,175.0000000000000000,95132.6881852132000000,12.0000,22.0000,30/06/2010,138.0000000000000000,138.500000000,140.500000000,142.500000000,NULL,NULL,NULL
