COB Date,Aggregation Level,Portfolio Name,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
07/09/2010,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.47,03/20/2013,0.65,311513.646564751,-322690.051993085,-925475.129587282,906009.850615848,USD
07/09/2010,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.44,09/20/2013,0.61,411380.079174295,-428750.436790317,-1150334.48450391,1131220.45067919,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.4,12/20/2013,0.52,688328.680355907,-719428.087063279,-1584258.66836887,1563300.14572572,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.4,12/20/2013,0.52,-688875.838021655,719989.13272129,1585130.4754787,-1564152.12010887,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.29,06/20/2016,0.3,-45840.5073551933,46863.2157845169,-163998.036357793,166016.676228307,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.37,06/20/2013,0.41,3582.22916299015,-3158.90192626239,86589.3035533144,-87069.1619321508,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.29,06/20/2016,0.3,45857.8919957944,-46880.3875225037,164157.278899954,-166177.1344961,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.37,06/20/2013,0.41,-3583.31423028535,3160.10371198227,-86574.7591888261,87054.6525173049,USD
07/09/2010,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.55,12/20/2016,0.57,4800091.96891127,-4823050.36647677,-1882593.0274273,1798581.92051075,USD
07/09/2010,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.55,12/20/2016,0.57,-4802744.87334799,4825688.57526846,1883376.86993199,-1799322.47900885,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.51,03/20/2013,0.8,-408460.047491165,431948.325963342,1040480.97971224,-1000439.53541395,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.51,03/20/2013,0.8,291426.401452249,-307396.417189527,-720685.041179253,693074.137634598,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.51,03/20/2013,0.8,-73178.5983605511,77386.4796676181,186418.0594751,-179243.745781654,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.51,03/20/2013,0.8,272128.416535813,-287040.388357655,-672980.168738937,647196.299367245,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.3,12/20/2016,0.3,-1643.23771879175,1620.80625472008,2605.44643408868,-2569.8800778588,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.3,12/20/2016,0.3,-2190.98362623543,2161.0750074571,3473.92858065549,-3426.50677232345,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.3,12/20/2016,0.3,-884.820302087189,872.741821542849,1402.93268254421,-1383.78156782503,USD
07/09/2010,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.3,12/20/2016,0.3,4719.04164652449,-4654.6230831382,-7482.30769635309,7380.16841708476,USD
