Tenor, CurveName, CurveDate, MarketSet, Type, Label, Maturity Date, Calculated Yield, SortOrder
1D,GBP            ,12-Nov-10,CLOSE,mm,mm_0_1,15-Nov-10,0.0089844000000000,0
1W,GBP            ,12-Nov-10,CLOSE,mm,mm_0_20101119,19-Nov-10,0.0089846000000000,1
1M,GBP            ,12-Nov-10,CLOSE,mm,mm_0_101,13-Dec-10,0.0089858000000000,2
STUB,GBP            ,12-Nov-10,CLOSE,mm,mm_0_20101215,15-Dec-10,0.0089943000000000,3
FUT1,GBP            ,12-Nov-10,CLOSE,fut,fut_1_103,16-Mar-11,0.0100833000000000,4
FUT2,GBP            ,12-Nov-10,CLOSE,fut,fut_2_103,16-Jun-11,0.0114401000000000,5
FUT3,GBP            ,12-Nov-10,CLOSE,fut,fut_3_103,21-Sep-11,0.0129913000000000,6
FUT4,GBP            ,12-Nov-10,CLOSE,fut,fut_4_103,21-Dec-11,0.0144277000000000,7
FUT5,GBP            ,12-Nov-10,CLOSE,fut,fut_5_103,21-Mar-12,0.0161148000000000,8
FUT6,GBP            ,12-Nov-10,CLOSE,fut,fut_6_103,21-Jun-12,0.0177721000000000,9
FUT7,GBP            ,12-Nov-10,CLOSE,fut,fut_7_103,20-Sep-12,0.0194067000000000,10
FUT8,GBP            ,12-Nov-10,CLOSE,fut,fut_8_103,19-Dec-12,0.0209607000000000,11
FUT9,GBP            ,12-Nov-10,CLOSE,fut,fut_9_103,20-Mar-13,0.0225846000000000,12
FUT10,GBP            ,12-Nov-10,CLOSE,fut,fut_10_103,20-Jun-13,0.0240843000000000,13
FUT11,GBP            ,12-Nov-10,CLOSE,fut,fut_11_103,19-Sep-13,0.0255480000000000,14
FUT12,GBP            ,12-Nov-10,CLOSE,fut,fut_12_103,18-Dec-13,0.0269353000000000,15
4Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1004,12-Nov-14,0.0207500000000000,16
5Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1005,12-Nov-15,0.0234250000000000,17
6Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1006,14-Nov-16,0.0259250000000000,18
7Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1007,13-Nov-17,0.0281750000000000,19
8Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1008,12-Nov-18,0.0302000000000000,20
9Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1009,12-Nov-19,0.0319250000000000,21
10Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1010,12-Nov-20,0.0334000000000000,22
12Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1012,14-Nov-22,0.0356000000000000,23
15Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1015,12-Nov-25,0.0376750000000000,24
20Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1020,12-Nov-30,0.0390750000000000,25
25Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1025,12-Nov-35,0.0396000000000000,26
30Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1030,12-Nov-40,0.0396750000000000,27
40Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1040,14-Nov-50,0.0394750000000000,28
50Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1050,12-Nov-60,0.0394000000000000,29
60Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1060,12-Nov-70,0.0394500000000000,30
70Y,GBP            ,12-Nov-10,CLOSE,swap,swap_0_1070,12-Nov-80,0.0395386000000000,31
1D,EUR_EUR        ,12-Nov-10,CLOSE,mm,mm_0_1,16-Nov-10,0.0104496000000000,0
1W,EUR_EUR        ,12-Nov-10,CLOSE,mm,mm_2_20101123,23-Nov-10,0.0104497000000000,1
STUB,EUR_EUR        ,12-Nov-10,CLOSE,mm,mm_2_20101215,15-Dec-10,0.0104505000000000,2
FUT1,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_1_103,16-Mar-11,0.0125301000000000,3
FUT2,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_2_103,16-Jun-11,0.0141708000000000,4
FUT3,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_3_103,21-Sep-11,0.0154020000000000,5
FUT4,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_4_103,21-Dec-11,0.0162976000000000,6
FUT5,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_5_103,21-Mar-12,0.0173622000000000,7
FUT6,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_6_103,21-Jun-12,0.0181108000000000,8
FUT7,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_7_103,20-Sep-12,0.0189511000000000,9
FUT8,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_8_103,19-Dec-12,0.0197432000000000,10
FUT9,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_9_103,20-Mar-13,0.0207102000000000,11
FUT10,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_10_103,20-Jun-13,0.0215647000000000,12
FUT11,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_11_103,19-Sep-13,0.0225139000000000,13
FUT12,EUR_EUR        ,12-Nov-10,CLOSE,fut,fut_12_103,18-Dec-13,0.0233639000000000,14
4Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1004,17-Nov-14,0.0201500000000000,15
5Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1005,16-Nov-15,0.0219100000000000,16
6Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1006,16-Nov-16,0.0236000000000000,17
7Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1007,16-Nov-17,0.0251500000000000,18
8Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1008,16-Nov-18,0.0264800000000000,19
9Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1009,18-Nov-19,0.0275900000000000,20
10Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1010,16-Nov-20,0.0285400000000000,21
11Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1011,16-Nov-21,0.0293900000000000,22
12Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1012,16-Nov-22,0.0301500000000000,23
15Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1015,17-Nov-25,0.0316200000000000,24
20Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1020,18-Nov-30,0.0321300000000000,25
25Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1025,16-Nov-35,0.0315300000000000,26
30Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1030,16-Nov-40,0.0303900000000000,27
40Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1040,16-Nov-50,0.0288700000000000,28
50Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1050,16-Nov-60,0.0283700000000000,29
60Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1060,17-Nov-70,0.0278400000000000,30
70Y,EUR_EUR        ,12-Nov-10,CLOSE,swap,swap_2_1070,18-Nov-80,0.0273236000000000,31
1D,JPY_EOD        ,12-Nov-10,CLOSE,mm,mm_0_1,15-Nov-10,0.0038587000000000,0
2D,JPY_EOD        ,12-Nov-10,CLOSE,mm,mm_0_20101116,16-Nov-10,0.0038586000000000,1
1W,JPY_EOD        ,12-Nov-10,CLOSE,mm,mm_2_20101123,23-Nov-10,0.0038588000000000,2
1M,JPY_EOD        ,12-Nov-10,CLOSE,mm,mm_2_101,16-Dec-10,0.0038592000000000,3
2M,JPY_EOD        ,12-Nov-10,CLOSE,mm,mm_2_102,17-Jan-11,0.0038599000000000,4
3M,JPY_EOD        ,12-Nov-10,CLOSE,mm,mm_2_103,16-Feb-11,0.0038605000000000,5
6M,JPY_EOD        ,12-Nov-10,CLOSE,mm,mm_2_106,16-May-11,0.0039375000000000,6
1Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1001,16-Nov-11,0.0040250000000000,7
18M,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_118,16-May-12,0.0041247000000000,8
2Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1002,16-Nov-12,0.0041750000000000,9
3Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1003,18-Nov-13,0.0044000000000000,10
4Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1004,17-Nov-14,0.0048250000000000,11
5Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1005,16-Nov-15,0.0054250000000000,12
6Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1006,16-Nov-16,0.0062250000000000,13
7Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1007,16-Nov-17,0.0072250000000000,14
8Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1008,16-Nov-18,0.0083750000000000,15
9Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1009,18-Nov-19,0.0096250000000000,16
10Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1010,16-Nov-20,0.0108500000000000,17
12Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1012,16-Nov-22,0.0130750000000000,18
15Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1015,17-Nov-25,0.0156500000000000,19
20Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1020,18-Nov-30,0.0182000000000000,20
25Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1025,16-Nov-35,0.0191500000000000,21
30Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1030,16-Nov-40,0.0196000000000000,22
40Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1040,16-Nov-50,0.0196000000000000,23
50Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1050,16-Nov-60,0.0196000000000000,24
52Y,JPY_EOD        ,12-Nov-10,CLOSE,swap,swap_2_1052,16-Nov-62,0.0196000000000000,25
STUB,USD_EOD_CL     ,12-Nov-10,CLOSE,mm,mm_0_20101215,15-Dec-10,0.0017320000000000,0
FUT1,USD_EOD_CL     ,12-Nov-10,CLOSE,fut,fut_1_103,16-Mar-11,0.0033500000000000,1
